x	y	z	t
1	0.0314159	0	0
0.999013	0.0628319	0	0.005
0.997041	0.0942168	0	0.01
0.994085	0.12554	0	0.015
0.99015	0.156771	0	0.02
0.985239	0.187878	0	0.025
0.979359	0.218832	0	0.03
0.972515	0.249602	0	0.035
0.964714	0.280158	0	0.04
0.955965	0.310471	0	0.045
0.946277	0.340511	0	0.05
0.935659	0.37025	0	0.055
0.924124	0.399658	0	0.06
0.911682	0.428707	0	0.065
0.898346	0.45737	0	0.07
0.884131	0.485619	0	0.075
0.86905	0.513427	0	0.08
0.853118	0.540769	0	0.085
0.836353	0.567618	0	0.09
0.818771	0.593948	0	0.095
0.800389	0.619737	0	0.1
0.781227	0.644959	0	0.105
0.761303	0.669591	0	0.11
0.740637	0.693611	0	0.115
0.719251	0.716997	0	0.12
0.697165	0.739728	0	0.125
0.674401	0.761783	0	0.13
0.650982	0.783143	0	0.135
0.626931	0.803789	0	0.14
0.602271	0.823703	0	0.145
0.577028	0.842868	0	0.15
0.551225	0.861268	0	0.155
0.524887	0.878888	0	0.16
0.498041	0.895713	0	0.165
0.470712	0.911729	0	0.17
0.442926	0.926923	0	0.175
0.414711	0.941285	0	0.18
0.386092	0.954803	0	0.185
0.357097	0.967467	0	0.19
0.327753	0.979269	0	0.195
0.298087	0.9902	0	0.2
0.268129	1.00025	0	0.205
0.237904	1.00942	0	0.21
0.20744	1.0177	0	0.215
0.176766	1.02509	0	0.22
0.14591	1.03158	0	0.225
0.114898	1.03717	0	0.23
0.0837594	1.04187	0	0.235
0.0525207	1.04566	0	0.24
0.0212097	1.04855	0	0.245
-0.0101466	1.05054	0	0.25
-0.041521	1.05163	0	0.255
-0.0728867	1.05183	0	0.26
-0.104217	1.05114	0	0.265
-0.135487	1.04957	0	0.27
-0.166668	1.04711	0	0.275
-0.197738	1.04378	0	0.28
-0.228669	1.03958	0	0.285
-0.259437	1.03453	0	0.29
-0.290018	1.02862	0	0.295
-0.320388	1.02187	0	0.3
-0.350524	1.01429	0	0.305
-0.380402	1.00589	0	0.31
-0.410001	0.996678	0	0.315
-0.439297	0.986668	0	0.32
-0.46827	0.975873	0	0.325
-0.496899	0.964304	0	0.33
-0.525164	0.951976	0	0.335
-0.553044	0.938902	0	0.34
-0.580521	0.925098	0	0.345
-0.607577	0.910577	0	0.35
-0.634192	0.895355	0	0.355
-0.66035	0.879448	0	0.36
-0.686035	0.862872	0	0.365
-0.711229	0.845644	0	0.37
-0.735918	0.82778	0	0.375
-0.760087	0.809297	0	0.38
-0.783721	0.790213	0	0.385
-0.806807	0.770545	0	0.39
-0.829332	0.750312	0	0.395
-0.851284	0.729531	0	0.4
-0.87265	0.70822	0	0.405
-0.89342	0.686399	0	0.41
-0.913584	0.664085	0	0.415
-0.933131	0.641298	0	0.42
-0.952052	0.618055	0	0.425
-0.970338	0.594377	0	0.43
-0.987982	0.570281	0	0.435
-1.00498	0.545787	0	0.44
-1.02131	0.520914	0	0.445
-1.03699	0.495681	0	0.45
-1.05199	0.470107	0	0.455
-1.06632	0.444211	0	0.46
-1.07998	0.418011	0	0.465
-1.09295	0.391527	0	0.47
-1.10523	0.364777	0	0.475
-1.11682	0.337781	0	0.48
-1.12773	0.310556	0	0.485
-1.13793	0.283121	0	0.49
-1.14745	0.255494	0	0.495
-1.15626	0.227694	0	0.5
-1.16438	0.199739	0	0.505
-1.1718	0.171647	0	0.51
-1.17853	0.143435	0	0.515
-1.18456	0.115121	0	0.52
-1.18989	0.086723	0	0.525
-1.19453	0.0582572	0	0.53
-1.19848	0.029741	0	0.535
-1.20174	0.00119112	0	0.54
-1.20431	-0.0273758	0	0.545
-1.2062	-0.0559433	0	0.55
-1.20741	-0.0844954	0	0.555
-1.20794	-0.113016	0	0.56
-1.2078	-0.14149	0	0.565
-1.207	-0.169901	0	0.57
-1.20553	-0.198235	0	0.575
-1.2034	-0.226476	0	0.58
-1.20062	-0.254609	0	0.585
-1.19719	-0.282621	0	0.59
-1.19312	-0.310497	0	0.595
-1.18842	-0.338224	0	0.6
-1.18309	-0.365786	0	0.605
-1.17714	-0.393172	0	0.61
-1.17057	-0.420368	0	0.615
-1.1634	-0.44736	0	0.62
-1.15562	-0.474137	0	0.625
-1.14725	-0.500686	0	0.63
-1.1383	-0.526995	0	0.635
-1.12877	-0.553052	0	0.64
-1.11867	-0.578845	0	0.645
-1.10801	-0.604364	0	0.65
-1.09679	-0.629596	0	0.655
-1.08503	-0.654532	0	0.66
-1.07274	-0.679161	0	0.665
-1.05992	-0.703472	0	0.67
-1.04658	-0.727456	0	0.675
-1.03274	-0.751102	0	0.68
-1.0184	-0.774402	0	0.685
-1.00356	-0.797346	0	0.69
-0.98825	-0.819925	0	0.695
-0.972467	-0.84213	0	0.7
-0.956223	-0.863952	0	0.705
-0.939528	-0.885385	0	0.71
-0.922392	-0.906419	0	0.715
-0.904825	-0.927047	0	0.72
-0.886838	-0.947261	0	0.725
-0.868439	-0.967055	0	0.73
-0.84964	-0.98642	0	0.735
-0.83045	-1.00535	0	0.74
-0.810881	-1.02384	0	0.745
-0.790942	-1.04188	0	0.75
-0.770643	-1.05947	0	0.755
-0.749996	-1.0766	0	0.76
-0.729011	-1.09326	0	0.765
-0.707698	-1.10946	0	0.77
-0.686068	-1.12518	0	0.775
-0.664131	-1.14041	0	0.78
-0.641898	-1.15517	0	0.785
-0.619381	-1.16943	0	0.79
-0.596588	-1.1832	0	0.795
-0.573532	-1.19647	0	0.8
-0.550223	-1.20924	0	0.805
-0.526672	-1.2215	0	0.81
-0.502889	-1.23325	0	0.815
-0.478885	-1.2445	0	0.82
-0.454671	-1.25522	0	0.825
-0.430258	-1.26543	0	0.83
-0.405656	-1.27512	0	0.835
-0.380876	-1.28429	0	0.84
-0.355929	-1.29293	0	0.845
-0.330826	-1.30104	0	0.85
-0.305577	-1.30862	0	0.855
-0.280193	-1.31567	0	0.86
-0.254685	-1.32219	0	0.865
-0.229064	-1.32818	0	0.87
-0.203339	-1.33363	0	0.875
-0.177522	-1.33855	0	0.88
-0.151623	-1.34293	0	0.885
-0.125653	-1.34678	0	0.89
-0.0996225	-1.35008	0	0.895
-0.0735418	-1.35285	0	0.9
-0.0474215	-1.35509	0	0.905
-0.021272	-1.35678	0	0.91
0.00489624	-1.35794	0	0.915
0.0310729	-1.35857	0	0.92
0.0572477	-1.35865	0	0.925
0.0834102	-1.35821	0	0.93
0.10955	-1.35723	0	0.935
0.135658	-1.35572	0	0.94
0.161722	-1.35368	0	0.945
0.187734	-1.35111	0	0.95
0.213682	-1.34801	0	0.955
0.239558	-1.34439	0	0.96
0.265351	-1.34024	0	0.965
0.291051	-1.33557	0	0.97
0.316648	-1.33039	0	0.975
0.342132	-1.32468	0	0.98
0.367495	-1.31847	0	0.985
0.392725	-1.31174	0	0.99
0.417815	-1.30451	0	0.995
0.442753	-1.29677	0	1
0.467531	-1.28853	0	1.005
0.492139	-1.27979	0	1.01
0.516567	-1.27056	0	1.015
0.540808	-1.26084	0	1.02
0.56485	-1.25064	0	1.025
0.588686	-1.23995	0	1.03
0.612307	-1.22878	0	1.035
0.635702	-1.21714	0	1.04
0.658864	-1.20504	0	1.045
0.681784	-1.19246	0	1.05
0.704453	-1.17943	0	1.055
0.726862	-1.16595	0	1.06
0.749003	-1.15202	0	1.065
0.770867	-1.13764	0	1.07
0.792447	-1.12282	0	1.075
0.813733	-1.10757	0	1.08
0.834718	-1.0919	0	1.085
0.855393	-1.0758	0	1.09
0.875752	-1.05929	0	1.095
0.895785	-1.04237	0	1.1
0.915485	-1.02505	0	1.105
0.934845	-1.00733	0	1.11
0.953856	-0.989219	0	1.115
0.972512	-0.970727	0	1.12
0.990806	-0.951858	0	1.125
1.00873	-0.932621	0	1.13
1.02628	-0.913021	0	1.135
1.04344	-0.893066	0	1.14
1.06021	-0.872763	0	1.145
1.07658	-0.852121	0	1.15
1.09255	-0.831145	0	1.155
1.10811	-0.809845	0	1.16
1.12326	-0.788227	0	1.165
1.13798	-0.766301	0	1.17
1.15227	-0.744073	0	1.175
1.16612	-0.721553	0	1.18
1.17954	-0.698748	0	1.185
1.1925	-0.675666	0	1.19
1.20502	-0.652318	0	1.195
1.21708	-0.62871	0	1.2
1.22868	-0.604852	0	1.205
1.23981	-0.580752	0	1.21
1.25047	-0.55642	0	1.215
1.26065	-0.531865	0	1.22
1.27035	-0.507095	0	1.225
1.27956	-0.482121	0	1.23
1.28829	-0.456951	0	1.235
1.29652	-0.431595	0	1.24
1.30425	-0.406062	0	1.245
1.31148	-0.380363	0	1.25
1.31821	-0.354506	0	1.255
1.32442	-0.328502	0	1.26
1.33013	-0.30236	0	1.265
1.33532	-0.27609	0	1.27
1.34	-0.249703	0	1.275
1.34415	-0.223209	0	1.28
1.34778	-0.196617	0	1.285
1.35089	-0.169938	0	1.29
1.35347	-0.143182	0	1.295
