x	y	z	t
0.999507	0.0314159	0	0
0.998027	0.0628008	0	0.005
0.995562	0.0941238	0	0.01
0.992114	0.125354	0	0.015
0.987687	0.15646	0	0.02
0.982286	0.187412	0	0.025
0.975915	0.218179	0	0.03
0.968581	0.248731	0	0.035
0.960291	0.279037	0	0.04
0.951053	0.309067	0	0.045
0.940876	0.338793	0	0.05
0.929771	0.368185	0	0.055
0.917749	0.397212	0	0.06
0.90482	0.425848	0	0.065
0.890999	0.454064	0	0.07
0.876298	0.481832	0	0.075
0.860733	0.509124	0	0.08
0.844318	0.535913	0	0.085
0.82707	0.562174	0	0.09
0.809006	0.58788	0	0.095
0.790143	0.613006	0	0.1
0.770501	0.637527	0	0.105
0.750098	0.661419	0	0.11
0.728955	0.684658	0	0.115
0.707093	0.707222	0	0.12
0.684533	0.729087	0	0.125
0.661298	0.750234	0	0.13
0.63741	0.77064	0	0.135
0.612893	0.790285	0	0.14
0.587772	0.809151	0	0.145
0.56207	0.827218	0	0.15
0.535814	0.84447	0	0.155
0.509029	0.860888	0	0.16
0.481742	0.876457	0	0.165
0.45398	0.891161	0	0.17
0.42577	0.904985	0	0.175
0.39714	0.917917	0	0.18
0.368118	0.929944	0	0.185
0.338733	0.941053	0	0.19
0.309014	0.951234	0	0.195
0.278989	0.960476	0	0.2
0.24869	0.968771	0	0.205
0.218146	0.97611	0	0.21
0.187386	0.982486	0	0.215
0.156441	0.987894	0	0.22
0.125342	0.992327	0	0.225
0.0941196	0.995781	0	0.23
0.0628042	0.998253	0	0.235
0.0314269	0.99974	0	0.24
1.85387e-05	1.00024	0	0.245
-0.0313898	0.999756	0	0.25
-0.0627672	0.998285	0	0.255
-0.0940827	0.995829	0	0.26
-0.125305	0.992391	0	0.265
-0.156405	0.987975	0	0.27
-0.18735	0.982584	0	0.275
-0.21811	0.976224	0	0.28
-0.248655	0.968902	0	0.285
-0.278955	0.960624	0	0.29
-0.308979	0.951399	0	0.295
-0.3387	0.941236	0	0.3
-0.368086	0.930145	0	0.305
-0.397109	0.918137	0	0.31
-0.425741	0.905223	0	0.315
-0.453953	0.891417	0	0.32
-0.481717	0.876732	0	0.325
-0.509007	0.861183	0	0.33
-0.535794	0.844784	0	0.335
-0.562054	0.827553	0	0.34
-0.587759	0.809506	0	0.345
-0.612885	0.790661	0	0.35
-0.637406	0.771036	0	0.355
-0.6613	0.750651	0	0.36
-0.684541	0.729527	0	0.365
-0.707108	0.707683	0	0.37
-0.728977	0.685141	0	0.375
-0.750128	0.661924	0	0.38
-0.77054	0.638055	0	0.385
-0.790191	0.613557	0	0.39
-0.809065	0.588454	0	0.395
-0.82714	0.562771	0	0.4
-0.844401	0.536533	0	0.405
-0.860829	0.509766	0	0.41
-0.876408	0.482497	0	0.415
-0.891124	0.454753	0	0.42
-0.904961	0.42656	0	0.425
-0.917907	0.397946	0	0.43
-0.929947	0.368941	0	0.435
-0.941072	0.339572	0	0.44
-0.951268	0.309868	0	0.445
-0.960527	0.279859	0	0.45
-0.96884	0.249574	0	0.455
-0.976197	0.219043	0	0.46
-0.982593	0.188296	0	0.465
-0.98802	0.157363	0	0.47
-0.992473	0.126276	0	0.475
-0.995948	0.0950635	0	0.48
-0.998442	0.0637578	0	0.485
-0.999951	0.0323892	0	0.49
-1.00048	0.000988724	0	0.495
-1.00001	-0.0304127	0	0.5
-0.998566	-0.0617842	0	0.505
-0.996134	-0.0930948	0	0.51
-0.992721	-0.124314	0	0.515
-0.988329	-0.15541	0	0.52
-0.982963	-0.186353	0	0.525
-0.976628	-0.217113	0	0.53
-0.969331	-0.247658	0	0.535
-0.961079	-0.27796	0	0.54
-0.951879	-0.307987	0	0.545
-0.941741	-0.337711	0	0.55
-0.930675	-0.367102	0	0.555
-0.918692	-0.396131	0	0.56
-0.905803	-0.42477	0	0.565
-0.892021	-0.45299	0	0.57
-0.87736	-0.480764	0	0.575
-0.861835	-0.508064	0	0.58
-0.84546	-0.534863	0	0.585
-0.828252	-0.561135	0	0.59
-0.810227	-0.586854	0	0.595
-0.791404	-0.611994	0	0.6
-0.7718	-0.636531	0	0.605
-0.751436	-0.660441	0	0.61
-0.730331	-0.6837	0	0.615
-0.708506	-0.706284	0	0.62
-0.685983	-0.728173	0	0.625
-0.662784	-0.749344	0	0.63
-0.638931	-0.769776	0	0.635
-0.614449	-0.789449	0	0.64
-0.58936	-0.808344	0	0.645
-0.563691	-0.826442	0	0.65
-0.537466	-0.843725	0	0.655
-0.510711	-0.860177	0	0.66
-0.483453	-0.87578	0	0.665
-0.455718	-0.890521	0	0.67
-0.427533	-0.904383	0	0.675
-0.398928	-0.917353	0	0.68
-0.369928	-0.929419	0	0.685
-0.340565	-0.940569	0	0.69
-0.310865	-0.950791	0	0.695
-0.280859	-0.960076	0	0.7
-0.250576	-0.968414	0	0.705
-0.220045	-0.975797	0	0.71
-0.189298	-0.982218	0	0.715
-0.158364	-0.987671	0	0.72
-0.127274	-0.992149	0	0.725
-0.096059	-0.99565	0	0.73
-0.0647487	-0.998168	0	0.735
-0.0333747	-0.999702	0	0.74
-0.00196767	-1.00025	0	0.745
0.0294413	-0.999812	0	0.75
0.0608212	-0.998387	0	0.755
0.0921411	-0.995978	0	0.76
0.12337	-0.992587	0	0.765
0.154477	-0.988216	0	0.77
0.185432	-0.982871	0	0.775
0.216205	-0.976557	0	0.78
0.246763	-0.969279	0	0.785
0.277079	-0.961045	0	0.79
0.307121	-0.951864	0	0.795
0.33686	-0.941743	0	0.8
0.366267	-0.930693	0	0.805
0.395313	-0.918726	0	0.81
0.423968	-0.905852	0	0.815
0.452206	-0.892084	0	0.82
0.479997	-0.877437	0	0.825
0.507315	-0.861923	0	0.83
0.534132	-0.84556	0	0.835
0.560423	-0.828362	0	0.84
0.58616	-0.810347	0	0.845
0.611319	-0.791533	0	0.85
0.635875	-0.771937	0	0.855
0.659804	-0.75158	0	0.86
0.683082	-0.730482	0	0.865
0.705685	-0.708662	0	0.87
0.727593	-0.686144	0	0.875
0.748782	-0.662949	0	0.88
0.769233	-0.639099	0	0.885
0.788925	-0.614619	0	0.89
0.807838	-0.589532	0	0.895
0.825954	-0.563864	0	0.9
0.843255	-0.537639	0	0.905
0.859724	-0.510884	0	0.91
0.875345	-0.483624	0	0.915
