E_i	M_i	A(t)
-1.43	0.805	30.6125
-1.43	0.78	0.2125
-1.45	0.8	0.175
-1.44	0.795	0.1825
-1.56	0.825	0.21
-1.48	0.785	0.18
-1.4	0.735	0.155
-1.33	0.695	0.185
-1.38	0.715	0.23
-1.41	0.775	0.21
-1.39	0.76	0.1875
-1.31	0.705	0.2175
-1.3	0.7	0.2825
-1.18	0.625	0.2525
-1.31	0.6	0.2375
-1.16	0.48	0.285
-1.1	0.46	0.315
-1.26	0.62	0.28
-1.28	0.675	0.2675
-1.21	0.61	0.2775
-1.27	0.64	0.26
-1.3	0.63	0.24
-1.36	0.66	0.21
-1.3	0.59	0.275
-1.36	0.615	0.2425
-1.28	0.52	0.2425
-1.28	0.555	0.2325
-1.16	0.485	0.34
-1.11	0.48	0.3025
-1.1	0.47	0.31
-1.23	0.565	0.2625
-1.3	0.585	0.255
-1.3	0.59	0.2425
-1.32	0.595	0.2625
-1.36	0.605	0.215
-1.46	0.615	0.2
-1.45	0.585	0.19
-1.4	0.52	0.2025
-1.24	0.495	0.2425
-1.24	0.555	0.24
-1.19	0.535	0.275
-1.05	0.495	0.28
-1.19	0.535	0.31
-1.17	0.54	0.3475
-1.11	0.54	0.285
-1.11	0.5	0.315
-1.15	0.475	0.3025
-1.18	0.515	0.28
-1.35	0.62	0.2425
-1.22	0.485	0.2625
-1.26	0.51	0.2925
-1.23	0.45	0.245
-1.13	0.47	0.305
-1.06	0.46	0.31
-1.15	0.485	0.3025
-1.29	0.515	0.295
-1.33	0.54	0.2475
-1.19	0.5	0.28
-1.23	0.565	0.3225
-1.26	0.585	0.27
-1.29	0.59	0.2475
-1.34	0.615	0.2425
-1.29	0.585	0.22
-1.31	0.545	0.285
-1.21	0.535	0.275
-1.3	0.55	0.2675
-1.25	0.52	0.265
-1.26	0.57	0.26
-1.21	0.505	0.2775
-1.24	0.555	0.295
-1.32	0.69	0.2575
-1.36	0.735	0.2175
-1.36	0.73	0.2525
-1.36	0.69	0.23
-1.23	0.625	0.2725
-1.32	0.605	0.275
-1.2	0.585	0.29
-1.18	0.51	0.2925
-1.21	0.515	0.2425
-1.16	0.465	0.265
-1.16	0.51	0.2875
-1.23	0.535	0.2725
-1.25	0.555	0.255
-1.27	0.555	0.225
-1.24	0.575	0.255
-1.34	0.63	0.2375
-1.34	0.575	0.2025
-1.25	0.56	0.2725
-1.33	0.63	0.245
-1.2	0.595	0.2675
-1.28	0.64	0.2825
-1.13	0.59	0.235
-1.26	0.615	0.3075
-1.25	0.65	0.2775
-1.33	0.715	0.2225
-1.32	0.68	0.2325
-1.23	0.675	0.2525
-1.34	0.64	0.2375
-1.3	0.625	0.2325
-1.35	0.645	0.205
-1.32	0.64	0.2025
-1.23	0.695	0.2775
-1.51	0.805	0.2
-1.42	0.785	0.205
-1.49	0.805	0.22
-1.5	0.815	0.155
-1.58	0.815	0.175
-1.52	0.82	0.1725
-1.54	0.825	0.1625
-1.48	0.77	0.1775
-1.37	0.685	0.1775
-1.51	0.75	0.1975
-1.39	0.725	0.2525
-1.27	0.65	0.2525
-1.28	0.69	0.28
-1.31	0.62	0.25
-1.25	0.6	0.255
-1.13	0.53	0.26
-1.28	0.615	0.2675
-1.2	0.575	0.295
-1.34	0.67	0.2575
-1.36	0.625	0.2375
-1.18	0.61	0.2475
-1.27	0.54	0.24
-1.25	0.475	0.2525
-0.97	0.385	0.345
-1.06	0.375	0.32
-1.14	0.315	0.36
-1.11	0.315	0.31
-1.19	0.325	0.315
-1.25	0.325	0.29
-1.11	0.3	0.2925
-1.05	0.355	0.3325
-1.09	0.345	0.33
-1.14	0.255	0.39
-1.2	0.22	0.2675
-1.15	0.18	0.305
-1.22	0.185	0.3025
-1.24	0.165	0.255
-1.22	0.085	0.27
-1.26	0.065	0.29
-1.15	0.08	0.2625
-0.98	-0.005	0.3275
-1.16	-0.155	0.355
-1.16	-0.2	0.3075
-1.1	-0.2	0.27
-1.11	-0.14	0.29
-1.09	-0.165	0.2975
-1.19	-0.175	0.34
-1.2	-0.32	0.3025
-1.16	-0.24	0.3
-1.15	-0.295	0.2775
-1.1	-0.38	0.3475
-1.16	-0.4	0.285
-1.18	-0.355	0.2825
-1.16	-0.315	0.34
-1.16	-0.245	0.29
-1.11	-0.275	0.29
-1.03	-0.33	0.3025
-1.05	-0.395	0.3775
-1.17	-0.415	0.29
-1.25	-0.415	0.29
-1.36	-0.48	0.2575
-1.33	-0.47	0.255
-1.29	-0.52	0.255
-1.36	-0.56	0.245
-1.33	-0.5	0.21
-1.28	-0.48	0.25
-1.18	-0.45	0.28
-1.23	-0.415	0.3025
-1.13	-0.435	0.305
-1.11	-0.48	0.3025
-1.27	-0.54	0.215
-1.26	-0.565	0.2475
-1.22	-0.56	0.2375
-1.31	-0.615	0.2525
-1.22	-0.625	0.27
-1.14	-0.59	0.2775
-1.19	-0.62	0.315
-1.3	-0.69	0.295
-1.3	-0.65	0.195
-1.36	-0.685	0.2975
-1.21	-0.66	0.2825
-1.24	-0.6	0.245
-1.29	-0.655	0.2625
-1.19	-0.595	0.235
-1.08	-0.63	0.2625
-1.22	-0.65	0.28
-1.3	-0.635	0.2975
-1.2	-0.63	0.2475
-1.33	-0.675	0.2325
-1.42	-0.67	0.2225
-1.44	-0.73	0.2
-1.39	-0.745	0.1875
-1.47	-0.76	0.2225
-1.28	-0.715	0.1925
-1.25	-0.655	0.275
-1.18	-0.555	0.305
-1.22	-0.545	0.26
-1.25	-0.565	0.255
-1.27	-0.595	0.285
-1.23	-0.52	0.2375
-1.12	-0.46	0.32
-1.1	-0.4	0.32
-1.07	-0.37	0.35
-1.07	-0.41	0.285
-1.16	-0.445	0.3275
-1.22	-0.45	0.2925
-1.22	-0.465	0.2875
-1.26	-0.495	0.27
-1.22	-0.575	0.3
-1.13	-0.52	0.3225
-1.12	-0.54	0.305
-1.14	-0.51	0.315
-1.08	-0.385	0.3325
-1.17	-0.395	0.32
-1.07	-0.35	0.3225
-1.05	-0.31	0.34
-0.94	-0.255	0.3625
-0.97	-0.16	0.3325
-0.96	-0.195	0.3925
-0.96	-0.165	0.375
-0.91	-0.14	0.4025
-1.02	-0.105	0.3875
-1.02	-0.105	0.35
-1.1	-0.11	0.3175
-1.07	-0.095	0.3025
-1.07	-0.135	0.325
-1.13	-0.255	0.33
-1	-0.23	0.3125
-0.99	-0.175	0.3575
-0.94	-0.185	0.355
-0.94	-0.19	0.3875
-1.05	-0.21	0.38
-1.17	-0.325	0.3475
-1.19	-0.465	0.34
