T	E[E]	E[M]	CV	X
2.08	-1.68443	0.880291	0.904269	0.346409
2.16	-1.60205	0.830238	1.13753	0.756661
2	-1.74852	0.911464	0.725462	0.194185
2.24	-1.48452	-0.121403	1.93262	160.768
2.32	-1.33586	0.00964587	1.85697	78.3823
2.48	-1.13024	0.0074225	0.960371	12.4581
2.4	-1.21159	0.0201337	1.29157	26.0096
2.54	-1.07836	-0.00949603	0.815197	8.76414
2.1	-1.66484	0.868706	0.957461	0.447958
2.02	-1.7329	0.903846	0.78046	0.233577
2.18	-1.57449	0.806768	1.28786	1.3286
2.26	-1.44543	0.0824392	2.04648	140.077
2.34	-1.29076	-0.144622	1.66944	47.9857
2.42	-1.1847	-0.015788	1.10401	18.9262
2.5	-1.11056	-0.0157362	0.899383	10.2495
2.56	-1.0608	0.00247888	0.788711	6.78296
2.12	-1.64664	-0.858801	1.00582	0.537485
2.04	-1.71808	-0.897248	0.810115	0.251689
2.2	-1.54883	0.785196	1.39314	1.87015
2.28	-1.40726	-0.177617	2.05255	108.723
2.36	-1.26459	-0.0617418	1.44705	41.8789
2.44	-1.16562	0.00280634	1.02767	16.7022
2.52	-1.0935	-0.00709503	0.834146	9.44401
2.58	-1.04646	0.0142636	0.716858	5.75183
2.14	-1.62306	0.843644	1.05552	0.595445
2.38	-1.23327	0.106547	1.28888	26.3797
2.06	-1.69886	0.886276	0.858333	0.334976
2.22	-1.51939	-0.756468	1.49665	2.99299
2.3	-1.34998	-0.00613906	1.94653	75.9059
2.46	-1.14519	0.00506941	0.946796	13.121
