S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
297	101	2	0	0	0	1	0.000625
297	101	2	0	0	0	0	0.00125
296	101	2	0	1	0	0	0.001875
296	102	2	1	0	0	0	0.0025
296	102	2	0	0	0	0	0.003125
294	103	3	1	1	0	1	0.00375
292	103	3	0	1	1	0	0.004375
290	103	5	0	0	0	2	0.005
289	104	5	0	0	0	0	0.005625
288	104	5	0	1	0	0	0.00625
287	104	5	0	0	1	0	0.006875
287	102	6	0	1	0	0	0.0075
285	102	6	0	2	0	0	0.008125
284	103	6	0	0	0	0	0.00875
282	104	6	0	1	0	0	0.009375
282	104	6	0	0	0	0	0.01
283	102	7	1	1	0	0	0.010625
283	101	8	0	0	0	0	0.01125
282	100	8	0	2	0	0	0.011875
281	100	8	0	1	0	0	0.0125
281	101	8	1	0	0	0	0.013125
281	100	9	0	0	0	0	0.01375
280	100	10	2	2	0	0	0.014375
279	100	11	0	0	0	1	0.015
281	100	11	2	0	0	0	0.015625
283	100	11	2	0	0	0	0.01625
283	100	11	1	1	0	0	0.016875
283	100	11	0	0	0	0	0.0175
281	101	12	0	0	0	1	0.018125
280	100	13	1	2	0	0	0.01875
278	102	13	1	1	0	0	0.019375
279	102	13	1	0	0	0	0.02
278	102	13	0	1	0	0	0.020625
278	102	13	0	0	0	0	0.02125
277	102	13	0	1	0	0	0.021875
278	102	13	2	1	0	0	0.0225
278	99	15	0	0	1	0	0.023125
277	100	15	0	0	0	0	0.02375
278	100	15	1	0	0	0	0.024375
279	99	15	2	2	0	0	0.025
279	100	15	1	0	0	0	0.025625
280	98	17	1	0	0	0	0.02625
281	98	17	1	0	0	0	0.026875
280	98	17	0	1	0	0	0.0275
280	98	17	0	0	0	0	0.028125
279	97	19	1	1	0	1	0.02875
277	97	21	0	0	0	2	0.029375
278	94	22	1	2	0	0	0.03
277	93	23	0	1	0	0	0.030625
277	93	23	0	0	0	0	0.03125
278	92	25	2	0	0	1	0.031875
278	92	25	0	0	0	0	0.0325
277	93	24	0	1	0	0	0.033125
276	93	24	0	1	0	0	0.03375
277	93	24	1	0	0	0	0.034375
277	93	25	1	0	0	1	0.035
277	92	25	0	0	1	0	0.035625
277	92	25	0	0	0	0	0.03625
275	91	26	0	2	0	1	0.036875
276	92	26	2	0	0	0	0.0375
275	92	26	0	1	0	0	0.038125
274	93	26	0	0	0	0	0.03875
274	93	26	0	0	0	0	0.039375
273	93	26	0	1	0	0	0.04
273	93	25	1	2	0	0	0.040625
274	93	24	0	0	0	0	0.04125
