S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
299	100	1	0	0	0	0	0.000625
299	100	1	0	0	0	0	0.00125
299	100	1	0	0	0	0	0.001875
299	100	1	0	0	0	0	0.0025
299	98	3	0	0	0	0	0.003125
298	99	3	0	0	0	0	0.00375
298	99	3	0	0	0	0	0.004375
298	99	3	0	0	0	0	0.005
298	99	3	0	0	0	0	0.005625
298	98	4	0	0	0	0	0.00625
298	98	4	0	0	0	0	0.006875
298	98	4	0	0	0	0	0.0075
298	96	6	0	0	0	0	0.008125
298	96	6	0	0	0	0	0.00875
297	97	6	0	0	0	0	0.009375
297	96	7	0	0	0	0	0.01
297	96	7	0	0	0	0	0.010625
297	96	7	0	0	0	0	0.01125
297	96	7	0	0	0	0	0.011875
297	95	8	0	0	0	0	0.0125
297	95	8	0	0	0	0	0.013125
297	95	8	0	0	0	0	0.01375
297	95	8	0	0	0	0	0.014375
297	95	8	0	0	0	0	0.015
297	94	9	0	0	0	0	0.015625
297	93	10	0	0	0	0	0.01625
296	94	10	0	0	0	0	0.016875
295	95	10	0	0	0	0	0.0175
295	95	10	0	0	0	0	0.018125
294	94	12	0	0	0	0	0.01875
293	95	12	0	0	0	0	0.019375
293	95	12	0	0	0	0	0.02
293	94	13	0	0	0	0	0.020625
293	93	14	0	0	0	0	0.02125
293	93	14	0	0	0	0	0.021875
293	93	14	0	0	0	0	0.0225
293	93	14	0	0	0	0	0.023125
293	92	15	0	0	0	0	0.02375
293	92	15	0	0	0	0	0.024375
293	91	16	0	0	0	0	0.025
293	90	17	0	0	0	0	0.025625
293	90	17	0	0	0	0	0.02625
293	90	17	0	0	0	0	0.026875
293	90	17	0	0	0	0	0.0275
293	89	18	0	0	0	0	0.028125
293	89	18	0	0	0	0	0.02875
293	88	19	0	0	0	0	0.029375
293	86	21	0	0	0	0	0.03
293	86	21	0	0	0	0	0.030625
292	87	21	0	0	0	0	0.03125
292	87	21	0	0	0	0	0.031875
292	87	21	0	0	0	0	0.0325
292	86	22	0	0	0	0	0.033125
292	86	22	0	0	0	0	0.03375
292	86	22	0	0	0	0	0.034375
292	86	22	0	0	0	0	0.035
292	86	22	0	0	0	0	0.035625
292	86	22	0	0	0	0	0.03625
292	86	22	0	0	0	0	0.036875
292	85	23	0	0	0	0	0.0375
291	86	23	0	0	0	0	0.038125
291	86	23	0	0	0	0	0.03875
291	86	23	0	0	0	0	0.039375
290	87	23	0	0	0	0	0.04
290	87	23	0	0	0	0	0.040625
291	87	22	0	0	0	0	0.04125
291	86	23	0	0	0	0	0.041875
291	86	23	0	0	0	0	0.0425
291	86	23	0	0	0	0	0.043125
291	86	23	0	0	0	0	0.04375
291	86	23	0	0	0	0	0.044375
291	85	24	0	0	0	0	0.045
290	86	24	0	0	0	0	0.045625
290	86	24	0	0	0	0	0.04625
289	87	24	0	0	0	0	0.046875
289	87	24	0	0	0	0	0.0475
289	87	24	0	0	0	0	0.048125
289	87	24	0	0	0	0	0.04875
289	86	25	0	0	0	0	0.049375
288	87	25	0	0	0	0	0.05
288	87	25	0	0	0	0	0.050625
288	87	25	0	0	0	0	0.05125
287	88	25	0	0	0	0	0.051875
287	87	26	0	0	0	0	0.0525
287	87	26	0	0	0	0	0.053125
287	87	26	0	0	0	0	0.05375
287	87	26	0	0	0	0	0.054375
287	87	26	0	0	0	0	0.055
286	88	26	0	0	0	0	0.055625
286	87	27	0	0	0	0	0.05625
286	87	27	0	0	0	0	0.056875
285	88	27	0	0	0	0	0.0575
285	88	27	0	0	0	0	0.058125
285	88	27	0	0	0	0	0.05875
285	88	27	0	0	0	0	0.059375
284	89	27	0	0	0	0	0.06
284	89	27	0	0	0	0	0.060625
283	89	28	0	0	0	0	0.06125
283	89	28	0	0	0	0	0.061875
283	89	28	0	0	0	0	0.0625
283	89	28	0	0	0	0	0.063125
283	89	28	0	0	0	0	0.06375
283	89	28	0	0	0	0	0.064375
283	89	28	0	0	0	0	0.065
283	88	29	0	0	0	0	0.065625
283	87	30	0	0	0	0	0.06625
283	87	30	0	0	0	0	0.066875
283	87	30	0	0	0	0	0.0675
282	88	30	0	0	0	0	0.068125
281	88	31	0	0	0	0	0.06875
281	87	32	0	0	0	0	0.069375
281	86	33	0	0	0	0	0.07
281	86	33	0	0	0	0	0.070625
281	86	33	0	0	0	0	0.07125
280	87	33	0	0	0	0	0.071875
280	87	33	0	0	0	0	0.0725
279	88	33	0	0	0	0	0.073125
278	89	33	0	0	0	0	0.07375
277	90	33	0	0	0	0	0.074375
277	88	35	0	0	0	0	0.075
277	88	35	0	0	0	0	0.075625
277	88	35	0	0	0	0	0.07625
277	88	35	0	0	0	0	0.076875
277	88	35	0	0	0	0	0.0775
277	88	35	0	0	0	0	0.078125
277	88	35	0	0	0	0	0.07875
277	88	35	0	0	0	0	0.079375
277	88	35	0	0	0	0	0.08
277	87	36	0	0	0	0	0.080625
277	87	36	0	0	0	0	0.08125
277	87	36	0	0	0	0	0.081875
277	87	36	0	0	0	0	0.0825
275	89	36	0	0	0	0	0.083125
275	89	36	0	0	0	0	0.08375
275	89	36	0	0	0	0	0.084375
275	89	36	0	0	0	0	0.085
274	90	36	0	0	0	0	0.085625
274	90	36	0	0	0	0	0.08625
274	90	36	0	0	0	0	0.086875
274	90	36	0	0	0	0	0.0875
272	92	36	0	0	0	0	0.088125
272	92	36	0	0	0	0	0.08875
272	92	36	0	0	0	0	0.089375
273	91	36	0	0	0	0	0.09
273	91	36	0	0	0	0	0.090625
272	92	36	0	0	0	0	0.09125
272	92	36	0	0	0	0	0.091875
272	91	37	0	0	0	0	0.0925
272	90	38	0	0	0	0	0.093125
272	90	38	0	0	0	0	0.09375
272	90	38	0	0	0	0	0.094375
271	91	38	0	0	0	0	0.095
271	90	39	0	0	0	0	0.095625
270	91	39	0	0	0	0	0.09625
270	90	40	0	0	0	0	0.096875
270	90	40	0	0	0	0	0.0975
270	90	40	0	0	0	0	0.098125
269	91	40	0	0	0	0	0.09875
269	91	40	0	0	0	0	0.099375
269	91	40	0	0	0	0	0.1
269	91	40	0	0	0	0	0.100625
269	91	40	0	0	0	0	0.10125
269	91	40	0	0	0	0	0.101875
269	91	40	0	0	0	0	0.1025
269	91	40	0	0	0	0	0.103125
269	91	40	0	0	0	0	0.10375
269	91	40	0	0	0	0	0.104375
269	91	40	0	0	0	0	0.105
269	91	40	0	0	0	0	0.105625
269	91	40	0	0	0	0	0.10625
268	92	40	0	0	0	0	0.106875
268	92	40	0	0	0	0	0.1075
268	92	40	0	0	0	0	0.108125
268	92	40	0	0	0	0	0.10875
268	92	40	0	0	0	0	0.109375
268	92	40	0	0	0	0	0.11
268	92	40	0	0	0	0	0.110625
268	92	40	0	0	0	0	0.11125
267	93	40	0	0	0	0	0.111875
267	92	41	0	0	0	0	0.1125
267	91	42	0	0	0	0	0.113125
267	91	42	0	0	0	0	0.11375
267	91	42	0	0	0	0	0.114375
267	90	43	0	0	0	0	0.115
267	89	44	0	0	0	0	0.115625
267	89	44	0	0	0	0	0.11625
267	89	44	0	0	0	0	0.116875
267	89	44	0	0	0	0	0.1175
267	88	45	0	0	0	0	0.118125
267	88	45	0	0	0	0	0.11875
267	88	45	0	0	0	0	0.119375
267	88	45	0	0	0	0	0.12
267	88	45	0	0	0	0	0.120625
267	88	45	0	0	0	0	0.12125
266	89	45	0	0	0	0	0.121875
266	89	45	0	0	0	0	0.1225
266	89	45	0	0	0	0	0.123125
266	89	45	0	0	0	0	0.12375
266	88	46	0	0	0	0	0.124375
266	88	46	0	0	0	0	0.125
266	88	46	0	0	0	0	0.125625
266	88	46	0	0	0	0	0.12625
266	88	46	0	0	0	0	0.126875
266	88	46	0	0	0	0	0.1275
266	88	46	0	0	0	0	0.128125
266	87	47	0	0	0	0	0.12875
266	87	47	0	0	0	0	0.129375
266	87	47	0	0	0	0	0.13
266	87	47	0	0	0	0	0.130625
266	87	47	0	0	0	0	0.13125
266	87	47	0	0	0	0	0.131875
266	87	47	0	0	0	0	0.1325
266	87	47	0	0	0	0	0.133125
266	87	47	0	0	0	0	0.13375
265	87	48	0	0	0	0	0.134375
264	88	48	0	0	0	0	0.135
263	89	48	0	0	0	0	0.135625
263	89	48	0	0	0	0	0.13625
263	87	50	0	0	0	0	0.136875
263	87	50	0	0	0	0	0.1375
263	87	50	0	0	0	0	0.138125
263	87	50	0	0	0	0	0.13875
263	87	50	0	0	0	0	0.139375
263	87	50	0	0	0	0	0.14
262	88	50	0	0	0	0	0.140625
262	87	51	0	0	0	0	0.14125
262	86	52	0	0	0	0	0.141875
262	86	52	0	0	0	0	0.1425
262	86	52	0	0	0	0	0.143125
262	86	52	0	0	0	0	0.14375
262	85	53	0	0	0	0	0.144375
262	85	53	0	0	0	0	0.145
261	86	53	0	0	0	0	0.145625
261	85	54	0	0	0	0	0.14625
261	85	54	0	0	0	0	0.146875
261	85	54	0	0	0	0	0.1475
261	85	54	0	0	0	0	0.148125
261	85	54	0	0	0	0	0.14875
261	85	54	0	0	0	0	0.149375
261	85	54	0	0	0	0	0.15
260	86	54	0	0	0	0	0.150625
260	86	54	0	0	0	0	0.15125
260	86	54	0	0	0	0	0.151875
260	86	54	0	0	0	0	0.1525
260	86	54	0	0	0	0	0.153125
260	86	54	0	0	0	0	0.15375
260	86	54	0	0	0	0	0.154375
260	86	54	0	0	0	0	0.155
259	87	54	0	0	0	0	0.155625
259	87	54	0	0	0	0	0.15625
259	87	54	0	0	0	0	0.156875
258	87	55	0	0	0	0	0.1575
259	86	55	0	0	0	0	0.158125
259	86	55	0	0	0	0	0.15875
259	85	56	0	0	0	0	0.159375
259	85	56	0	0	0	0	0.16
259	85	56	0	0	0	0	0.160625
259	85	56	0	0	0	0	0.16125
259	85	56	0	0	0	0	0.161875
259	84	57	0	0	0	0	0.1625
259	83	58	0	0	0	0	0.163125
259	83	58	0	0	0	0	0.16375
259	83	58	0	0	0	0	0.164375
259	83	58	0	0	0	0	0.165
259	83	58	0	0	0	0	0.165625
259	83	58	0	0	0	0	0.16625
258	84	58	0	0	0	0	0.166875
258	84	58	0	0	0	0	0.1675
259	84	57	0	0	0	0	0.168125
258	85	57	0	0	0	0	0.16875
258	85	57	0	0	0	0	0.169375
258	85	57	0	0	0	0	0.17
258	84	58	0	0	0	0	0.170625
258	84	58	0	0	0	0	0.17125
258	84	58	0	0	0	0	0.171875
258	84	58	0	0	0	0	0.1725
258	84	58	0	0	0	0	0.173125
258	84	58	0	0	0	0	0.17375
258	84	58	0	0	0	0	0.174375
258	84	58	0	0	0	0	0.175
258	84	58	0	0	0	0	0.175625
258	84	58	0	0	0	0	0.17625
257	85	58	0	0	0	0	0.176875
257	84	59	0	0	0	0	0.1775
256	85	59	0	0	0	0	0.178125
256	85	59	0	0	0	0	0.17875
256	85	59	0	0	0	0	0.179375
256	85	59	0	0	0	0	0.18
256	85	59	0	0	0	0	0.180625
256	85	59	0	0	0	0	0.18125
256	85	59	0	0	0	0	0.181875
256	85	59	0	0	0	0	0.1825
255	86	59	0	0	0	0	0.183125
255	85	60	0	0	0	0	0.18375
254	86	60	0	0	0	0	0.184375
254	86	60	0	0	0	0	0.185
254	84	62	0	0	0	0	0.185625
254	84	62	0	0	0	0	0.18625
254	84	62	0	0	0	0	0.186875
254	84	62	0	0	0	0	0.1875
254	84	62	0	0	0	0	0.188125
253	85	62	0	0	0	0	0.18875
253	85	62	0	0	0	0	0.189375
253	85	62	0	0	0	0	0.19
253	85	62	0	0	0	0	0.190625
254	85	61	0	0	0	0	0.19125
254	85	61	0	0	0	0	0.191875
254	85	61	0	0	0	0	0.1925
254	85	61	0	0	0	0	0.193125
254	84	62	0	0	0	0	0.19375
254	83	63	0	0	0	0	0.194375
254	83	63	0	0	0	0	0.195
254	83	63	0	0	0	0	0.195625
253	84	63	0	0	0	0	0.19625
253	84	63	0	0	0	0	0.196875
253	83	64	0	0	0	0	0.1975
253	82	65	0	0	0	0	0.198125
253	82	65	0	0	0	0	0.19875
253	82	65	0	0	0	0	0.199375
253	82	65	0	0	0	0	0.2
253	82	65	0	0	0	0	0.200625
253	82	65	0	0	0	0	0.20125
253	82	65	0	0	0	0	0.201875
253	82	65	0	0	0	0	0.2025
253	82	65	0	0	0	0	0.203125
253	82	65	0	0	0	0	0.20375
253	82	65	0	0	0	0	0.204375
253	81	66	0	0	0	0	0.205
253	81	66	0	0	0	0	0.205625
253	81	66	0	0	0	0	0.20625
253	81	66	0	0	0	0	0.206875
253	81	66	0	0	0	0	0.2075
253	81	66	0	0	0	0	0.208125
253	81	66	0	0	0	0	0.20875
253	81	66	0	0	0	0	0.209375
253	81	66	0	0	0	0	0.21
252	81	67	0	0	0	0	0.210625
252	81	67	0	0	0	0	0.21125
252	81	67	0	0	0	0	0.211875
252	81	67	0	0	0	0	0.2125
251	82	67	0	0	0	0	0.213125
250	83	67	0	0	0	0	0.21375
250	83	67	0	0	0	0	0.214375
250	83	67	0	0	0	0	0.215
250	83	67	0	0	0	0	0.215625
250	82	68	0	0	0	0	0.21625
251	82	67	0	0	0	0	0.216875
250	83	67	0	0	0	0	0.2175
250	82	68	0	0	0	0	0.218125
250	81	69	0	0	0	0	0.21875
250	81	69	0	0	0	0	0.219375
