S	I	R	e	d	dI	t
300	100	0	0	0	0	0
299	101	0	0	0	0	0.0025
299	101	0	0	0	0	0.005
299	101	0	0	0	0	0.0075
297	102	1	0	0	0	0.01
297	101	2	0	0	0	0.0125
296	102	2	0	0	0	0.015
296	101	3	0	0	0	0.0175
296	101	3	0	0	0	0.02
295	101	4	0	0	0	0.0225
294	101	5	0	0	0	0.025
294	101	5	0	0	0	0.0275
294	101	5	0	0	0	0.03
294	101	5	0	0	0	0.0325
294	101	5	0	0	0	0.035
294	101	5	0	0	0	0.0375
293	102	5	0	0	0	0.04
293	102	5	0	0	0	0.0425
292	103	5	0	0	0	0.045
291	104	5	0	0	0	0.0475
291	104	5	0	0	0	0.05
291	104	5	0	0	0	0.0525
291	103	6	0	0	0	0.055
290	103	7	0	0	0	0.0575
289	104	7	0	0	0	0.06
289	104	7	0	0	0	0.0625
289	104	7	0	0	0	0.065
289	104	7	0	0	0	0.0675
288	105	7	0	0	0	0.07
288	104	8	0	0	0	0.0725
288	104	8	0	0	0	0.075
287	105	8	0	0	0	0.0775
284	107	9	0	0	0	0.08
283	108	9	0	0	0	0.0825
283	107	10	0	0	0	0.085
282	108	10	0	0	0	0.0875
282	108	10	0	0	0	0.09
281	109	10	0	0	0	0.0925
281	109	10	0	0	0	0.095
280	110	10	0	0	0	0.0975
279	111	10	0	0	0	0.1
277	113	10	0	0	0	0.1025
277	112	11	0	0	0	0.105
277	112	11	0	0	0	0.1075
275	114	11	0	0	0	0.11
274	115	11	0	0	0	0.1125
273	116	11	0	0	0	0.115
270	118	12	0	0	0	0.1175
268	120	12	0	0	0	0.12
268	120	12	0	0	0	0.1225
268	120	12	0	0	0	0.125
268	120	12	0	0	0	0.1275
268	120	12	0	0	0	0.13
268	119	13	0	0	0	0.1325
267	119	14	0	0	0	0.135
267	119	14	0	0	0	0.1375
266	119	15	0	0	0	0.14
265	120	15	0	0	0	0.1425
264	120	16	0	0	0	0.145
262	122	16	0	0	0	0.1475
262	121	17	0	0	0	0.15
261	122	17	0	0	0	0.1525
261	122	17	0	0	0	0.155
259	124	17	0	0	0	0.1575
257	126	17	0	0	0	0.16
256	127	17	0	0	0	0.1625
255	128	17	0	0	0	0.165
255	128	17	0	0	0	0.1675
254	129	17	0	0	0	0.17
254	128	18	0	0	0	0.1725
252	130	18	0	0	0	0.175
252	129	19	0	0	0	0.1775
248	133	19	0	0	0	0.18
247	133	20	0	0	0	0.1825
243	137	20	0	0	0	0.185
243	137	20	0	0	0	0.1875
242	137	21	0	0	0	0.19
242	134	24	0	0	0	0.1925
241	135	24	0	0	0	0.195
239	137	24	0	0	0	0.1975
236	139	25	0	0	0	0.2
236	138	26	0	0	0	0.2025
233	141	26	0	0	0	0.205
233	141	26	0	0	0	0.2075
233	140	27	0	0	0	0.21
232	141	27	0	0	0	0.2125
231	143	26	0	0	0	0.215
231	143	26	0	0	0	0.2175
229	145	26	0	0	0	0.22
229	145	26	0	0	0	0.2225
229	144	27	0	0	0	0.225
227	146	27	0	0	0	0.2275
225	146	29	0	0	0	0.23
225	146	29	0	0	0	0.2325
225	146	29	0	0	0	0.235
225	146	29	0	0	0	0.2375
224	146	30	0	0	0	0.24
223	147	30	0	0	0	0.2425
222	148	30	0	0	0	0.245
222	148	30	0	0	0	0.2475
221	149	30	0	0	0	0.25
220	150	30	0	0	0	0.2525
217	153	30	0	0	0	0.255
216	154	30	0	0	0	0.2575
216	154	30	0	0	0	0.26
215	153	32	0	0	0	0.2625
215	152	33	0	0	0	0.265
214	153	33	0	0	0	0.2675
211	156	33	0	0	0	0.27
210	157	33	0	0	0	0.2725
210	157	33	0	0	0	0.275
209	158	33	0	0	0	0.2775
208	159	33	0	0	0	0.28
208	159	33	0	0	0	0.2825
