S	I	R	t
300	100	0	0
300	100	0	0.000833333
300	100	0	0.00166667
300	99	1	0.0025
300	98	2	0.00333333
300	98	2	0.00416667
300	98	2	0.005
299	98	3	0.00583333
298	98	4	0.00666667
298	96	6	0.0075
298	96	6	0.00833333
298	96	6	0.00916667
298	96	6	0.01
297	97	6	0.0108333
297	97	6	0.0116667
297	96	7	0.0125
297	96	7	0.0133333
297	96	7	0.0141667
297	96	7	0.015
297	96	7	0.0158333
297	96	7	0.0166667
296	97	7	0.0175
296	97	7	0.0183333
295	97	8	0.0191667
295	97	8	0.02
295	96	9	0.0208333
295	96	9	0.0216667
295	96	9	0.0225
295	96	9	0.0233333
295	96	9	0.0241667
295	96	9	0.025
295	96	9	0.0258333
295	96	9	0.0266667
295	95	10	0.0275
295	95	10	0.0283333
295	95	10	0.0291667
295	95	10	0.03
295	95	10	0.0308333
295	95	10	0.0316667
295	95	10	0.0325
295	95	10	0.0333333
295	94	11	0.0341667
294	95	11	0.035
293	96	11	0.0358333
293	96	11	0.0366667
293	96	11	0.0375
293	96	11	0.0383333
293	96	11	0.0391667
293	96	11	0.04
292	97	11	0.0408333
292	97	11	0.0416667
292	97	11	0.0425
291	98	11	0.0433333
291	98	11	0.0441667
290	99	11	0.045
290	98	12	0.0458333
290	98	12	0.0466667
289	99	12	0.0475
289	99	12	0.0483333
289	98	13	0.0491667
289	98	13	0.05
289	98	13	0.0508333
289	97	14	0.0516667
289	97	14	0.0525
289	97	14	0.0533333
289	97	14	0.0541667
289	95	16	0.055
289	95	16	0.0558333
289	95	16	0.0566667
289	95	16	0.0575
289	95	16	0.0583333
289	94	17	0.0591667
288	95	17	0.06
288	95	17	0.0608333
288	95	17	0.0616667
288	95	17	0.0625
287	96	17	0.0633333
287	96	17	0.0641667
287	96	17	0.065
287	96	17	0.0658333
287	96	17	0.0666667
287	96	17	0.0675
287	96	17	0.0683333
286	97	17	0.0691667
285	98	17	0.07
285	98	17	0.0708333
285	98	17	0.0716667
285	98	17	0.0725
285	98	17	0.0733333
284	97	19	0.0741667
284	97	19	0.075
284	97	19	0.0758333
284	97	19	0.0766667
284	97	19	0.0775
283	98	19	0.0783333
283	98	19	0.0791667
283	98	19	0.08
283	98	19	0.0808333
283	97	20	0.0816667
281	99	20	0.0825
281	97	22	0.0833333
281	97	22	0.0841667
281	97	22	0.085
281	97	22	0.0858333
281	97	22	0.0866667
280	97	23	0.0875
278	99	23	0.0883333
278	99	23	0.0891667
278	99	23	0.09
277	100	23	0.0908333
277	100	23	0.0916667
277	100	23	0.0925
277	99	24	0.0933333
277	98	25	0.0941667
277	97	26	0.095
277	97	26	0.0958333
277	97	26	0.0966667
277	97	26	0.0975
277	96	27	0.0983333
277	95	28	0.0991667
277	95	28	0.1
277	95	28	0.100833
277	95	28	0.101667
277	95	28	0.1025
277	94	29	0.103333
277	93	30	0.104167
277	93	30	0.105
277	93	30	0.105833
277	92	31	0.106667
277	92	31	0.1075
277	91	32	0.108333
277	91	32	0.109167
277	90	33	0.11
277	90	33	0.110833
276	90	34	0.111667
276	90	34	0.1125
275	91	34	0.113333
275	91	34	0.114167
276	90	34	0.115
274	91	35	0.115833
274	89	37	0.116667
274	88	38	0.1175
274	88	38	0.118333
274	88	38	0.119167
274	88	38	0.12
274	88	38	0.120833
274	88	38	0.121667
274	88	38	0.1225
273	89	38	0.123333
273	89	38	0.124167
271	91	38	0.125
271	91	38	0.125833
271	91	38	0.126667
271	90	39	0.1275
271	90	39	0.128333
271	90	39	0.129167
272	90	38	0.13
272	90	38	0.130833
272	90	38	0.131667
272	90	38	0.1325
272	90	38	0.133333
272	90	38	0.134167
272	89	39	0.135
272	89	39	0.135833
272	89	39	0.136667
273	89	38	0.1375
273	89	38	0.138333
273	89	38	0.139167
273	89	38	0.14
272	90	38	0.140833
271	91	38	0.141667
271	91	38	0.1425
271	91	38	0.143333
271	91	38	0.144167
270	91	39	0.145
270	91	39	0.145833
270	91	39	0.146667
270	90	40	0.1475
270	90	40	0.148333
269	91	40	0.149167
269	91	40	0.15
269	91	40	0.150833
269	90	41	0.151667
269	90	41	0.1525
269	89	42	0.153333
269	88	43	0.154167
269	88	43	0.155
269	88	43	0.155833
269	88	43	0.156667
269	88	43	0.1575
269	87	44	0.158333
269	87	44	0.159167
269	86	45	0.16
269	86	45	0.160833
269	86	45	0.161667
269	86	45	0.1625
268	86	46	0.163333
268	86	46	0.164167
268	85	47	0.165
268	85	47	0.165833
268	85	47	0.166667
268	85	47	0.1675
268	85	47	0.168333
267	86	47	0.169167
267	86	47	0.17
267	85	48	0.170833
267	85	48	0.171667
267	84	49	0.1725
267	83	50	0.173333
267	82	51	0.174167
266	83	51	0.175
266	83	51	0.175833
266	83	51	0.176667
266	83	51	0.1775
266	82	52	0.178333
266	82	52	0.179167
265	83	52	0.18
265	83	52	0.180833
265	83	52	0.181667
263	84	53	0.1825
262	85	53	0.183333
262	85	53	0.184167
262	85	53	0.185
262	85	53	0.185833
261	86	53	0.186667
261	86	53	0.1875
261	86	53	0.188333
261	86	53	0.189167
261	86	53	0.19
261	86	53	0.190833
261	86	53	0.191667
260	87	53	0.1925
260	86	54	0.193333
260	85	55	0.194167
259	86	55	0.195
259	86	55	0.195833
259	86	55	0.196667
259	86	55	0.1975
259	86	55	0.198333
258	86	56	0.199167
258	86	56	0.2
258	86	56	0.200833
258	86	56	0.201667
258	86	56	0.2025
258	86	56	0.203333
256	88	56	0.204167
256	87	57	0.205
256	87	57	0.205833
256	87	57	0.206667
256	86	58	0.2075
256	86	58	0.208333
256	86	58	0.209167
256	86	58	0.21
256	86	58	0.210833
256	86	58	0.211667
256	85	59	0.2125
255	86	59	0.213333
255	86	59	0.214167
255	86	59	0.215
255	86	59	0.215833
255	85	60	0.216667
255	85	60	0.2175
255	85	60	0.218333
255	84	61	0.219167
255	84	61	0.22
255	84	61	0.220833
255	84	61	0.221667
254	85	61	0.2225
254	85	61	0.223333
253	86	61	0.224167
252	87	61	0.225
252	87	61	0.225833
252	87	61	0.226667
252	87	61	0.2275
252	86	62	0.228333
252	86	62	0.229167
252	86	62	0.23
252	86	62	0.230833
252	86	62	0.231667
252	85	63	0.2325
252	85	63	0.233333
252	85	63	0.234167
252	85	63	0.235
252	84	64	0.235833
