S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
299	100	1	0	0	0	0	0.00125
299	100	1	0	0	0	0	0.0025
299	100	1	0	0	0	0	0.00375
298	101	1	0	0	0	0	0.005
298	101	1	0	0	0	0	0.00625
297	101	2	0	0	0	0	0.0075
297	100	3	0	0	0	0	0.00875
296	101	3	0	0	0	0	0.01
294	103	3	0	0	0	0	0.01125
294	101	5	0	0	0	0	0.0125
294	101	5	0	0	0	0	0.01375
293	102	5	0	0	0	0	0.015
293	102	5	0	0	0	0	0.01625
290	104	6	0	0	0	0	0.0175
288	106	6	0	0	0	0	0.01875
288	106	6	0	0	0	0	0.02
288	106	6	0	0	0	0	0.02125
288	106	6	0	0	0	0	0.0225
287	107	6	0	0	0	0	0.02375
286	108	6	0	0	0	0	0.025
285	108	7	0	0	0	0	0.02625
285	108	7	0	0	0	0	0.0275
285	107	8	0	0	0	0	0.02875
285	107	8	0	0	0	0	0.03
284	107	9	0	0	0	0	0.03125
284	107	9	0	0	0	0	0.0325
284	107	9	0	0	0	0	0.03375
284	107	9	0	0	0	0	0.035
284	107	9	0	0	0	0	0.03625
284	107	9	0	0	0	0	0.0375
284	107	9	0	0	0	0	0.03875
284	107	9	0	0	0	0	0.04
283	108	9	0	0	0	0	0.04125
283	108	9	0	0	0	0	0.0425
283	107	10	0	0	0	0	0.04375
283	107	10	0	0	0	0	0.045
281	109	10	0	0	0	0	0.04625
280	110	10	0	0	0	0	0.0475
279	110	11	0	0	0	0	0.04875
279	110	11	0	0	0	0	0.05
279	110	11	0	0	0	0	0.05125
279	110	11	0	0	0	0	0.0525
279	110	11	0	0	0	0	0.05375
279	110	11	0	0	0	0	0.055
279	110	11	0	0	0	0	0.05625
279	110	11	0	0	0	0	0.0575
279	110	11	0	0	0	0	0.05875
279	110	11	0	0	0	0	0.06
279	109	12	0	0	0	0	0.06125
278	109	13	0	0	0	0	0.0625
278	108	14	0	0	0	0	0.06375
277	109	14	0	0	0	0	0.065
277	109	14	0	0	0	0	0.06625
276	110	14	0	0	0	0	0.0675
276	110	14	0	0	0	0	0.06875
276	110	14	0	0	0	0	0.07
276	110	14	0	0	0	0	0.07125
276	110	14	0	0	0	0	0.0725
276	110	14	0	0	0	0	0.07375
276	110	14	0	0	0	0	0.075
276	109	15	0	0	0	0	0.07625
276	109	15	0	0	0	0	0.0775
275	109	16	0	0	0	0	0.07875
275	109	16	0	0	0	0	0.08
275	109	16	0	0	0	0	0.08125
275	108	17	0	0	0	0	0.0825
275	107	18	0	0	0	0	0.08375
275	107	18	0	0	0	0	0.085
274	108	18	0	0	0	0	0.08625
274	106	20	0	0	0	0	0.0875
273	106	21	0	0	0	0	0.08875
273	105	22	0	0	0	0	0.09
272	105	23	0	0	0	0	0.09125
272	105	23	0	0	0	0	0.0925
272	105	23	0	0	0	0	0.09375
272	104	24	0	0	0	0	0.095
272	104	24	0	0	0	0	0.09625
272	104	24	0	0	0	0	0.0975
271	105	24	0	0	0	0	0.09875
271	104	25	0	0	0	0	0.1
270	105	25	0	0	0	0	0.10125
270	105	25	0	0	0	0	0.1025
270	105	25	0	0	0	0	0.10375
