S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
300	100	0	0	0	0	0	0.0025
300	100	0	0	0	0	0	0.005
300	100	0	0	0	0	0	0.0075
297	103	0	0	0	0	0	0.01
295	105	0	0	0	0	0	0.0125
294	106	0	0	0	0	0	0.015
294	106	0	0	0	0	0	0.0175
293	106	1	0	0	0	0	0.02
292	106	2	0	0	0	0	0.0225
292	106	2	0	0	0	0	0.025
292	106	2	0	0	0	0	0.0275
292	106	2	0	0	0	0	0.03
292	106	2	0	0	0	0	0.0325
291	107	2	0	0	0	0	0.035
291	107	2	0	0	0	0	0.0375
290	108	2	0	0	0	0	0.04
289	109	2	0	0	0	0	0.0425
287	111	2	0	0	0	0	0.045
287	111	2	0	0	0	0	0.0475
286	112	2	0	0	0	0	0.05
286	112	2	0	0	0	0	0.0525
284	114	2	0	0	0	0	0.055
284	112	4	0	0	0	0	0.0575
283	112	5	0	0	0	0	0.06
283	111	6	0	0	0	0	0.0625
282	112	6	0	0	0	0	0.065
282	111	7	0	0	0	0	0.0675
282	111	7	0	0	0	0	0.07
281	112	7	0	0	0	0	0.0725
280	113	7	0	0	0	0	0.075
280	112	8	0	0	0	0	0.0775
279	113	8	0	0	0	0	0.08
277	115	8	0	0	0	0	0.0825
277	114	9	0	0	0	0	0.085
277	114	9	0	0	0	0	0.0875
277	113	10	0	0	0	0	0.09
276	114	10	0	0	0	0	0.0925
276	114	10	0	0	0	0	0.095
276	113	11	0	0	0	0	0.0975
274	115	11	0	0	0	0	0.1
272	117	11	0	0	0	0	0.1025
270	119	11	0	0	0	0	0.105
268	120	12	0	0	0	0	0.1075
266	122	12	0	0	0	0	0.11
265	123	12	0	0	0	0	0.1125
265	123	12	0	0	0	0	0.115
261	127	12	0	0	0	0	0.1175
260	128	12	0	0	0	0	0.12
259	129	12	0	0	0	0	0.1225
258	129	13	0	0	0	0	0.125
258	128	14	0	0	0	0	0.1275
257	129	14	0	0	0	0	0.13
256	130	14	0	0	0	0	0.1325
254	132	14	0	0	0	0	0.135
252	134	14	0	0	0	0	0.1375
252	134	14	0	0	0	0	0.14
251	135	14	0	0	0	0	0.1425
250	136	14	0	0	0	0	0.145
249	137	14	0	0	0	0	0.1475
249	136	15	0	0	0	0	0.15
248	137	15	0	0	0	0	0.1525
243	142	15	0	0	0	0	0.155
243	141	16	0	0	0	0	0.1575
242	142	16	0	0	0	0	0.16
240	144	16	0	0	0	0	0.1625
240	144	16	0	0	0	0	0.165
237	147	16	0	0	0	0	0.1675
236	148	16	0	0	0	0	0.17
235	149	16	0	0	0	0	0.1725
234	150	16	0	0	0	0	0.175
234	150	16	0	0	0	0	0.1775
234	149	17	0	0	0	0	0.18
234	149	17	0	0	0	0	0.1825
234	149	17	0	0	0	0	0.185
234	148	18	0	0	0	0	0.1875
234	147	19	0	0	0	0	0.19
234	147	19	0	0	0	0	0.1925
232	149	19	0	0	0	0	0.195
231	150	19	0	0	0	0	0.1975
229	152	19	0	0	0	0	0.2
229	152	19	0	0	0	0	0.2025
228	152	20	0	0	0	0	0.205
227	153	20	0	0	0	0	0.2075
227	152	21	0	0	0	0	0.21
227	152	21	0	0	0	0	0.2125
226	153	21	0	0	0	0	0.215
227	153	20	0	0	0	0	0.2175
224	156	20	0	0	0	0	0.22
224	156	20	0	0	0	0	0.2225
223	157	20	0	0	0	0	0.225
222	157	21	0	0	0	0	0.2275
221	157	22	0	0	0	0	0.23
218	160	22	0	0	0	0	0.2325
217	161	22	0	0	0	0	0.235
216	162	22	0	0	0	0	0.2375
214	164	22	0	0	0	0	0.24
214	164	22	0	0	0	0	0.2425
212	166	22	0	0	0	0	0.245
212	165	23	0	0	0	0	0.2475
212	163	25	0	0	0	0	0.25
210	164	26	0	0	0	0	0.2525
210	164	26	0	0	0	0	0.255
210	164	26	0	0	0	0	0.2575
208	166	26	0	0	0	0	0.26
208	166	26	0	0	0	0	0.2625
207	167	26	0	0	0	0	0.265
206	168	26	0	0	0	0	0.2675
206	168	26	0	0	0	0	0.27
205	169	26	0	0	0	0	0.2725
205	169	26	0	0	0	0	0.275
205	169	26	0	0	0	0	0.2775
203	170	27	0	0	0	0	0.28
202	171	27	0	0	0	0	0.2825
202	171	27	0	0	0	0	0.285
201	173	26	0	0	0	0	0.2875
201	173	26	0	0	0	0	0.29
201	173	26	0	0	0	0	0.2925
200	173	27	0	0	0	0	0.295
200	172	28	0	0	0	0	0.2975
200	171	29	0	0	0	0	0.3
199	172	29	0	0	0	0	0.3025
198	172	30	0	0	0	0	0.305
197	173	30	0	0	0	0	0.3075
196	172	32	0	0	0	0	0.31
195	173	32	0	0	0	0	0.3125
192	176	32	0	0	0	0	0.315
191	177	32	0	0	0	0	0.3175
189	178	33	0	0	0	0	0.32
188	179	33	0	0	0	0	0.3225
187	180	33	0	0	0	0	0.325
186	181	33	0	0	0	0	0.3275
184	184	32	0	0	0	0	0.33
183	185	32	0	0	0	0	0.3325
181	187	32	0	0	0	0	0.335
181	187	32	0	0	0	0	0.3375
180	188	32	0	0	0	0	0.34
180	188	32	0	0	0	0	0.3425
180	188	32	0	0	0	0	0.345
178	188	34	0	0	0	0	0.3475
177	187	36	0	0	0	0	0.35
177	187	36	0	0	0	0	0.3525
177	186	37	0	0	0	0	0.355
177	186	37	0	0	0	0	0.3575
175	188	37	0	0	0	0	0.36
176	187	37	0	0	0	0	0.3625
174	189	37	0	0	0	0	0.365
174	188	38	0	0	0	0	0.3675
172	190	38	0	0	0	0	0.37
171	191	38	0	0	0	0	0.3725
170	192	38	0	0	0	0	0.375
168	194	38	0	0	0	0	0.3775
168	194	38	0	0	0	0	0.38
168	194	38	0	0	0	0	0.3825
166	196	38	0	0	0	0	0.385
165	196	39	0	0	0	0	0.3875
