S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
297	103	0	0	0	0	0	0.0025
297	102	1	0	0	0	0	0.005
296	103	1	0	0	0	0	0.0075
294	105	1	0	0	0	0	0.01
291	108	1	0	0	0	0	0.0125
290	109	1	0	0	0	0	0.015
289	109	2	0	0	0	0	0.0175
289	109	2	0	0	0	0	0.02
288	109	3	0	0	0	0	0.0225
287	110	3	0	0	0	0	0.025
286	111	3	0	0	0	0	0.0275
285	111	4	0	0	0	0	0.03
283	113	4	0	0	0	0	0.0325
281	115	4	0	0	0	0	0.035
278	118	4	0	0	0	0	0.0375
278	117	5	0	0	0	0	0.04
276	119	5	0	0	0	0	0.0425
271	124	5	0	0	0	0	0.045
268	127	5	0	0	0	0	0.0475
266	129	5	0	0	0	0	0.05
262	133	5	0	0	0	0	0.0525
260	135	5	0	0	0	0	0.055
260	135	5	0	0	0	0	0.0575
258	137	5	0	0	0	0	0.06
257	137	6	0	0	0	0	0.0625
257	137	6	0	0	0	0	0.065
255	139	6	0	0	0	0	0.0675
253	141	6	0	0	0	0	0.07
253	140	7	0	0	0	0	0.0725
249	144	7	0	0	0	0	0.075
248	145	7	0	0	0	0	0.0775
248	145	7	0	0	0	0	0.08
247	146	7	0	0	0	0	0.0825
245	147	8	0	0	0	0	0.085
243	149	8	0	0	0	0	0.0875
241	151	8	0	0	0	0	0.09
240	152	8	0	0	0	0	0.0925
237	155	8	0	0	0	0	0.095
235	157	8	0	0	0	0	0.0975
231	161	8	0	0	0	0	0.1
229	163	8	0	0	0	0	0.1025
227	164	9	0	0	0	0	0.105
227	164	9	0	0	0	0	0.1075
224	167	9	0	0	0	0	0.11
222	169	9	0	0	0	0	0.1125
221	169	10	0	0	0	0	0.115
221	168	11	0	0	0	0	0.1175
220	169	11	0	0	0	0	0.12
220	168	12	0	0	0	0	0.1225
215	173	12	0	0	0	0	0.125
215	173	12	0	0	0	0	0.1275
214	174	12	0	0	0	0	0.13
211	177	12	0	0	0	0	0.1325
209	179	12	0	0	0	0	0.135
209	179	12	0	0	0	0	0.1375
206	181	13	0	0	0	0	0.14
202	184	14	0	0	0	0	0.1425
201	185	14	0	0	0	0	0.145
195	191	14	0	0	0	0	0.1475
195	191	14	0	0	0	0	0.15
193	193	14	0	0	0	0	0.1525
191	193	16	0	0	0	0	0.155
190	194	16	0	0	0	0	0.1575
188	196	16	0	0	0	0	0.16
185	199	16	0	0	0	0	0.1625
184	199	17	0	0	0	0	0.165
183	198	19	0	0	0	0	0.1675
181	199	20	0	0	0	0	0.17
181	198	21	0	0	0	0	0.1725
180	199	21	0	0	0	0	0.175
179	200	21	0	0	0	0	0.1775
176	203	21	0	0	0	0	0.18
176	203	21	0	0	0	0	0.1825
171	208	21	0	0	0	0	0.185
168	211	21	0	0	0	0	0.1875
165	214	21	0	0	0	0	0.19
164	213	23	0	0	0	0	0.1925
163	214	23	0	0	0	0	0.195
163	214	23	0	0	0	0	0.1975
162	213	25	0	0	0	0	0.2
161	214	25	0	0	0	0	0.2025
160	214	26	0	0	0	0	0.205
159	214	27	0	0	0	0	0.2075
157	216	27	0	0	0	0	0.21
153	220	27	0	0	0	0	0.2125
152	220	28	0	0	0	0	0.215
151	219	30	0	0	0	0	0.2175
149	221	30	0	0	0	0	0.22
149	221	30	0	0	0	0	0.2225
148	221	31	0	0	0	0	0.225
148	221	31	0	0	0	0	0.2275
148	219	33	0	0	0	0	0.23
148	219	33	0	0	0	0	0.2325
147	219	34	0	0	0	0	0.235
147	218	35	0	0	0	0	0.2375
145	220	35	0	0	0	0	0.24
144	219	37	0	0	0	0	0.2425
143	219	38	0	0	0	0	0.245
142	219	39	0	0	0	0	0.2475
142	218	40	0	0	0	0	0.25
141	219	40	0	0	0	0	0.2525
141	219	40	0	0	0	0	0.255
141	220	39	0	0	0	0	0.2575
141	220	39	0	0	0	0	0.26
140	221	39	0	0	0	0	0.2625
139	220	41	0	0	0	0	0.265
139	220	41	0	0	0	0	0.2675
139	219	42	0	0	0	0	0.27
138	220	42	0	0	0	0	0.2725
136	220	44	0	0	0	0	0.275
135	220	45	0	0	0	0	0.2775
135	220	45	0	0	0	0	0.28
135	219	46	0	0	0	0	0.2825
135	219	46	0	0	0	0	0.285
135	219	46	0	0	0	0	0.2875
135	219	46	0	0	0	0	0.29
134	220	46	0	0	0	0	0.2925
133	221	46	0	0	0	0	0.295
133	220	47	0	0	0	0	0.2975
133	219	48	0	0	0	0	0.3
133	218	49	0	0	0	0	0.3025
132	218	50	0	0	0	0	0.305
132	218	50	0	0	0	0	0.3075
132	218	50	0	0	0	0	0.31
132	215	53	0	0	0	0	0.3125
131	214	55	0	0	0	0	0.315
130	214	56	0	0	0	0	0.3175
130	213	57	0	0	0	0	0.32
129	215	56	0	0	0	0	0.3225
127	215	58	0	0	0	0	0.325
127	213	60	0	0	0	0	0.3275
127	213	60	0	0	0	0	0.33
127	211	62	0	0	0	0	0.3325
127	211	62	0	0	0	0	0.335
128	211	61	0	0	0	0	0.3375
128	210	62	0	0	0	0	0.34
128	209	63	0	0	0	0	0.3425
128	209	63	0	0	0	0	0.345
127	209	64	0	0	0	0	0.3475
126	210	64	0	0	0	0	0.35
126	210	64	0	0	0	0	0.3525
126	209	65	0	0	0	0	0.355
126	209	65	0	0	0	0	0.3575
126	207	67	0	0	0	0	0.36
127	207	66	0	0	0	0	0.3625
127	206	67	0	0	0	0	0.365
127	206	67	0	0	0	0	0.3675
127	206	67	0	0	0	0	0.37
127	205	68	0	0	0	0	0.3725
127	204	69	0	0	0	0	0.375
126	205	69	0	0	0	0	0.3775
126	205	69	0	0	0	0	0.38
127	203	70	0	0	0	0	0.3825
127	203	70	0	0	0	0	0.385
127	202	71	0	0	0	0	0.3875
126	202	72	0	0	0	0	0.39
126	199	75	0	0	0	0	0.3925
126	198	76	0	0	0	0	0.395
126	197	77	0	0	0	0	0.3975
127	196	77	0	0	0	0	0.4
127	196	77	0	0	0	0	0.4025
127	197	76	0	0	0	0	0.405
127	197	76	0	0	0	0	0.4075
127	196	77	0	0	0	0	0.41
127	195	78	0	0	0	0	0.4125
127	195	78	0	0	0	0	0.415
125	197	78	0	0	0	0	0.4175
125	197	78	0	0	0	0	0.42
125	197	78	0	0	0	0	0.4225
125	197	78	0	0	0	0	0.425
125	197	78	0	0	0	0	0.4275
126	197	77	0	0	0	0	0.43
127	197	76	0	0	0	0	0.4325
127	197	76	0	0	0	0	0.435
127	196	77	0	0	0	0	0.4375
127	196	77	0	0	0	0	0.44
127	196	77	0	0	0	0	0.4425
127	196	77	0	0	0	0	0.445
127	195	78	0	0	0	0	0.4475
127	195	78	0	0	0	0	0.45
127	193	80	0	0	0	0	0.4525
128	192	80	0	0	0	0	0.455
128	192	80	0	0	0	0	0.4575
128	192	80	0	0	0	0	0.46
128	191	81	0	0	0	0	0.4625
128	189	83	0	0	0	0	0.465
128	188	84	0	0	0	0	0.4675
128	188	84	0	0	0	0	0.47
128	187	85	0	0	0	0	0.4725
129	186	85	0	0	0	0	0.475
129	185	86	0	0	0	0	0.4775
129	184	87	0	0	0	0	0.48
129	184	87	0	0	0	0	0.4825
129	183	88	0	0	0	0	0.485
129	182	89	0	0	0	0	0.4875
129	182	89	0	0	0	0	0.49
129	181	90	0	0	0	0	0.4925
129	181	90	0	0	0	0	0.495
129	181	90	0	0	0	0	0.4975
129	181	90	0	0	0	0	0.5
129	181	90	0	0	0	0	0.5025
129	181	90	0	0	0	0	0.505
129	181	90	0	0	0	0	0.5075
129	180	91	0	0	0	0	0.51
129	180	91	0	0	0	0	0.5125
129	180	91	0	0	0	0	0.515
129	180	91	0	0	0	0	0.5175
129	180	91	0	0	0	0	0.52
129	180	91	0	0	0	0	0.5225
129	180	91	0	0	0	0	0.525
129	180	91	0	0	0	0	0.5275
129	180	91	0	0	0	0	0.53
129	180	91	0	0	0	0	0.5325
129	179	92	0	0	0	0	0.535
129	178	93	0	0	0	0	0.5375
129	178	93	0	0	0	0	0.54
129	178	93	0	0	0	0	0.5425
129	176	95	0	0	0	0	0.545
129	176	95	0	0	0	0	0.5475
129	176	95	0	0	0	0	0.55
129	176	95	0	0	0	0	0.5525
129	176	95	0	0	0	0	0.555
129	176	95	0	0	0	0	0.5575
129	176	95	0	0	0	0	0.56
129	176	95	0	0	0	0	0.5625
129	175	96	0	0	0	0	0.565
129	175	96	0	0	0	0	0.5675
129	175	96	0	0	0	0	0.57
129	174	97	0	0	0	0	0.5725
129	172	99	0	0	0	0	0.575
129	172	99	0	0	0	0	0.5775
129	172	99	0	0	0	0	0.58
130	172	98	0	0	0	0	0.5825
130	172	98	0	0	0	0	0.585
130	172	98	0	0	0	0	0.5875
130	172	98	0	0	0	0	0.59
130	171	99	0	0	0	0	0.5925
131	170	99	0	0	0	0	0.595
131	169	100	0	0	0	0	0.5975
131	169	100	0	0	0	0	0.6
130	170	100	0	0	0	0	0.6025
130	170	100	0	0	0	0	0.605
130	170	100	0	0	0	0	0.6075
130	168	102	0	0	0	0	0.61
130	168	102	0	0	0	0	0.6125
130	168	102	0	0	0	0	0.615
130	168	102	0	0	0	0	0.6175
130	166	104	0	0	0	0	0.62
130	162	108	0	0	0	0	0.6225
130	161	109	0	0	0	0	0.625
130	161	109	0	0	0	0	0.6275
130	161	109	0	0	0	0	0.63
129	162	109	0	0	0	0	0.6325
128	163	109	0	0	0	0	0.635
128	162	110	0	0	0	0	0.6375
129	162	109	0	0	0	0	0.64
129	162	109	0	0	0	0	0.6425
129	162	109	0	0	0	0	0.645
130	162	108	0	0	0	0	0.6475
130	161	109	0	0	0	0	0.65
130	161	109	0	0	0	0	0.6525
130	160	110	0	0	0	0	0.655
130	160	110	0	0	0	0	0.6575
130	160	110	0	0	0	0	0.66
129	160	111	0	0	0	0	0.6625
130	160	110	0	0	0	0	0.665
130	160	110	0	0	0	0	0.6675
130	160	110	0	0	0	0	0.67
130	159	111	0	0	0	0	0.6725
130	159	111	0	0	0	0	0.675
129	159	112	0	0	0	0	0.6775
129	159	112	0	0	0	0	0.68
129	159	112	0	0	0	0	0.6825
129	158	113	0	0	0	0	0.685
129	159	112	0	0	0	0	0.6875
127	161	112	0	0	0	0	0.69
125	163	112	0	0	0	0	0.6925
124	164	112	0	0	0	0	0.695
123	165	112	0	0	0	0	0.6975
123	164	113	0	0	0	0	0.7
123	164	113	0	0	0	0	0.7025
124	164	112	0	0	0	0	0.705
124	164	112	0	0	0	0	0.7075
124	163	113	0	0	0	0	0.71
124	163	113	0	0	0	0	0.7125
122	164	114	0	0	0	0	0.715
123	164	113	0	0	0	0	0.7175
121	166	113	0	0	0	0	0.72
121	166	113	0	0	0	0	0.7225
121	166	113	0	0	0	0	0.725
121	166	113	0	0	0	0	0.7275
121	166	113	0	0	0	0	0.73
121	165	114	0	0	0	0	0.7325
121	165	114	0	0	0	0	0.735
120	166	114	0	0	0	0	0.7375
120	166	114	0	0	0	0	0.74
120	166	114	0	0	0	0	0.7425
120	166	114	0	0	0	0	0.745
120	165	115	0	0	0	0	0.7475
120	164	116	0	0	0	0	0.75
119	165	116	0	0	0	0	0.7525
119	165	116	0	0	0	0	0.755
119	165	116	0	0	0	0	0.7575
119	165	116	0	0	0	0	0.76
119	165	116	0	0	0	0	0.7625
119	164	117	0	0	0	0	0.765
118	163	119	0	0	0	0	0.7675
118	161	121	0	0	0	0	0.77
118	161	121	0	0	0	0	0.7725
118	161	121	0	0	0	0	0.775
118	160	122	0	0	0	0	0.7775
118	160	122	0	0	0	0	0.78
118	161	121	0	0	0	0	0.7825
118	160	122	0	0	0	0	0.785
118	159	123	0	0	0	0	0.7875
116	159	125	0	0	0	0	0.79
115	159	126	0	0	0	0	0.7925
114	160	126	0	0	0	0	0.795
114	158	128	0	0	0	0	0.7975
113	159	128	0	0	0	0	0.8
113	159	128	0	0	0	0	0.8025
112	160	128	0	0	0	0	0.805
111	161	128	0	0	0	0	0.8075
110	162	128	0	0	0	0	0.81
111	162	127	0	0	0	0	0.8125
111	162	127	0	0	0	0	0.815
110	163	127	0	0	0	0	0.8175
110	162	128	0	0	0	0	0.82
110	161	129	0	0	0	0	0.8225
109	162	129	0	0	0	0	0.825
108	163	129	0	0	0	0	0.8275
108	162	130	0	0	0	0	0.83
108	162	130	0	0	0	0	0.8325
108	162	130	0	0	0	0	0.835
109	162	129	0	0	0	0	0.8375
110	162	128	0	0	0	0	0.84
110	162	128	0	0	0	0	0.8425
109	163	128	0	0	0	0	0.845
109	162	129	0	0	0	0	0.8475
107	163	130	0	0	0	0	0.85
106	164	130	0	0	0	0	0.8525
107	164	129	0	0	0	0	0.855
107	163	130	0	0	0	0	0.8575
107	163	130	0	0	0	0	0.86
106	164	130	0	0	0	0	0.8625
106	164	130	0	0	0	0	0.865
105	165	130	0	0	0	0	0.8675
105	165	130	0	0	0	0	0.87
