S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
148	253	0	1	0	0	0	0.0025
78	323	0	0	0	0	0	0.005
44	357	0	0	0	0	0	0.0075
16	383	2	0	0	0	0	0.01
3	395	3	0	0	0	0	0.0125
1	397	3	0	0	0	0	0.015
0	396	5	0	0	0	0	0.0175
0	396	5	0	0	0	0	0.02
0	395	6	0	0	0	0	0.0225
0	392	9	0	0	0	0	0.025
0	392	9	0	0	0	0	0.0275
0	393	9	1	0	0	0	0.03
0	393	9	0	0	0	0	0.0325
0	391	11	0	0	0	0	0.035
0	390	12	0	0	0	0	0.0375
0	389	13	0	0	0	0	0.04
0	387	15	0	0	0	0	0.0425
0	386	16	0	0	0	0	0.045
0	384	18	0	0	0	0	0.0475
0	383	19	0	0	0	0	0.05
0	382	20	0	0	0	0	0.0525
0	380	22	0	0	0	0	0.055
0	379	23	0	0	0	0	0.0575
0	378	24	0	0	0	0	0.06
0	376	26	0	0	0	0	0.0625
0	374	28	0	0	0	0	0.065
0	373	29	0	0	0	0	0.0675
0	372	30	0	0	0	0	0.07
0	369	33	0	0	0	0	0.0725
0	367	35	0	0	0	0	0.075
0	367	35	0	0	0	0	0.0775
0	365	36	0	1	0	0	0.08
0	363	38	0	0	0	0	0.0825
0	361	40	0	0	0	0	0.085
0	360	41	0	0	0	0	0.0875
0	360	41	0	0	0	0	0.09
0	359	42	0	0	0	0	0.0925
0	357	44	0	0	0	0	0.095
0	356	45	0	0	0	0	0.0975
0	355	46	0	0	0	0	0.1
0	354	47	0	0	0	0	0.1025
0	353	48	0	0	0	0	0.105
0	349	52	0	0	0	0	0.1075
0	348	53	0	0	0	0	0.11
0	346	55	0	0	0	0	0.1125
0	346	55	0	0	0	0	0.115
0	345	56	0	0	0	0	0.1175
0	345	56	0	0	0	0	0.12
0	344	57	0	0	0	0	0.1225
0	344	57	0	0	0	0	0.125
0	344	57	0	0	0	0	0.1275
0	344	57	0	0	0	0	0.13
0	343	58	0	0	0	0	0.1325
0	342	59	0	0	0	0	0.135
0	342	59	0	0	0	0	0.1375
1	340	60	0	0	0	0	0.14
1	339	61	0	0	0	0	0.1425
0	340	61	0	0	0	0	0.145
0	340	61	0	0	0	0	0.1475
0	339	62	0	0	0	0	0.15
0	339	62	0	0	0	0	0.1525
0	335	66	0	0	0	0	0.155
0	335	66	0	0	0	0	0.1575
0	334	67	0	0	0	0	0.16
0	333	68	0	0	0	0	0.1625
0	331	70	0	0	0	0	0.165
0	328	73	0	0	0	0	0.1675
0	327	74	0	0	0	0	0.17
0	327	74	0	0	0	0	0.1725
0	327	74	0	0	0	0	0.175
0	326	75	0	0	0	0	0.1775
0	325	76	0	0	0	0	0.18
0	324	77	0	0	0	0	0.1825
0	324	77	0	0	0	0	0.185
0	324	77	0	0	0	0	0.1875
0	323	78	0	0	0	0	0.19
1	321	79	0	0	0	0	0.1925
1	319	81	0	0	0	0	0.195
1	318	82	0	0	0	0	0.1975
1	317	83	0	0	0	0	0.2
1	317	83	0	0	0	0	0.2025
1	317	83	0	0	0	0	0.205
0	318	83	0	0	0	0	0.2075
0	318	83	0	0	0	0	0.21
1	317	83	0	0	0	0	0.2125
1	316	84	0	0	0	0	0.215
1	316	84	0	0	0	0	0.2175
1	316	84	0	0	0	0	0.22
1	316	84	0	0	0	0	0.2225
1	317	83	0	0	0	0	0.225
1	316	84	0	0	0	0	0.2275
1	316	84	0	0	0	0	0.23
1	316	84	0	0	0	0	0.2325
1	316	84	0	0	0	0	0.235
1	316	84	0	0	0	0	0.2375
1	316	84	0	0	0	0	0.24
1	316	84	0	0	0	0	0.2425
1	315	85	0	0	0	0	0.245
1	313	87	0	0	0	0	0.2475
1	312	88	0	0	0	0	0.25
1	312	88	0	0	0	0	0.2525
2	312	87	0	0	0	0	0.255
2	311	88	0	0	0	0	0.2575
2	310	89	0	0	0	0	0.26
2	309	90	0	0	0	0	0.2625
2	309	90	0	0	0	0	0.265
2	309	90	0	0	0	0	0.2675
2	308	91	0	0	0	0	0.27
2	308	91	0	0	0	0	0.2725
2	308	91	0	0	0	0	0.275
2	307	91	0	1	0	0	0.2775
2	306	92	0	0	0	0	0.28
2	304	94	0	0	0	0	0.2825
2	304	94	0	0	0	0	0.285
3	304	93	0	0	0	0	0.2875
3	303	94	0	0	0	0	0.29
3	302	95	0	0	0	0	0.2925
3	302	95	0	0	0	0	0.295
3	300	97	0	0	0	0	0.2975
3	299	98	0	0	0	0	0.3
3	298	99	0	0	0	0	0.3025
3	297	100	0	0	0	0	0.305
3	297	100	0	0	0	0	0.3075
3	295	102	0	0	0	0	0.31
3	295	102	0	0	0	0	0.3125
4	295	101	0	0	0	0	0.315
4	293	103	0	0	0	0	0.3175
4	293	103	0	0	0	0	0.32
4	293	103	0	0	0	0	0.3225
4	293	103	0	0	0	0	0.325
4	293	103	0	0	0	0	0.3275
4	293	103	0	0	0	0	0.33
4	293	103	0	0	0	0	0.3325
4	292	104	0	0	0	0	0.335
4	291	105	0	0	0	0	0.3375
4	291	105	0	0	0	0	0.34
4	291	105	0	0	0	0	0.3425
4	289	107	0	0	0	0	0.345
4	289	107	0	0	0	0	0.3475
4	288	108	0	0	0	0	0.35
4	288	108	0	0	0	0	0.3525
4	288	108	0	0	0	0	0.355
4	288	108	0	0	0	0	0.3575
6	286	108	0	0	0	0	0.36
6	284	110	0	0	0	0	0.3625
6	284	110	0	0	0	0	0.365
6	282	112	0	0	0	0	0.3675
6	280	114	0	0	0	0	0.37
6	280	114	0	0	0	0	0.3725
6	278	116	0	0	0	0	0.375
6	277	117	0	0	0	0	0.3775
6	276	118	0	0	0	0	0.38
7	275	118	0	0	0	0	0.3825
7	275	118	0	0	0	0	0.385
7	273	119	0	1	0	0	0.3875
7	271	121	0	0	0	0	0.39
7	270	122	0	0	0	0	0.3925
7	269	123	0	0	0	0	0.395
7	269	123	0	0	0	0	0.3975
7	268	124	0	0	0	0	0.4
7	268	124	0	0	0	0	0.4025
7	267	125	0	0	0	0	0.405
7	266	126	0	0	0	0	0.4075
7	266	126	0	0	0	0	0.41
8	266	125	0	0	0	0	0.4125
8	264	127	0	0	0	0	0.415
8	264	127	0	0	0	0	0.4175
9	262	128	0	0	0	0	0.42
9	261	129	0	0	0	0	0.4225
10	261	128	0	0	0	0	0.425
10	259	130	0	0	0	0	0.4275
10	259	130	0	0	0	0	0.43
10	258	131	0	0	0	0	0.4325
10	258	131	0	0	0	0	0.435
10	257	132	0	0	0	0	0.4375
10	256	133	0	0	0	0	0.44
10	254	135	0	0	0	0	0.4425
10	253	136	0	0	0	0	0.445
10	252	137	0	0	0	0	0.4475
10	249	140	0	0	0	0	0.45
10	248	141	0	0	0	0	0.4525
10	247	142	0	0	0	0	0.455
10	246	143	0	0	0	0	0.4575
10	246	143	0	0	0	0	0.46
10	246	143	0	0	0	0	0.4625
10	246	143	0	0	0	0	0.465
10	245	144	0	0	0	0	0.4675
10	244	145	0	0	0	0	0.47
10	243	146	0	0	0	0	0.4725
10	241	148	0	0	0	0	0.475
10	239	150	0	0	0	0	0.4775
9	238	152	0	0	0	1	0.48
9	238	152	0	0	0	0	0.4825
9	238	152	0	0	0	0	0.485
8	237	154	0	0	0	1	0.4875
8	236	155	0	0	0	0	0.49
8	236	155	0	0	0	0	0.4925
9	236	154	0	0	0	0	0.495
9	235	155	0	0	0	0	0.4975
9	235	155	0	0	0	0	0.5
9	234	156	0	0	0	0	0.5025
9	234	156	0	0	0	0	0.505
9	234	156	0	0	0	0	0.5075
9	232	158	0	0	0	0	0.51
9	231	159	0	0	0	0	0.5125
9	231	159	0	0	0	0	0.515
10	231	158	0	0	0	0	0.5175
10	230	159	0	0	0	0	0.52
10	229	160	0	0	0	0	0.5225
10	229	160	0	0	0	0	0.525
10	229	160	0	0	0	0	0.5275
10	227	162	0	0	0	0	0.53
10	227	162	0	0	0	0	0.5325
10	226	163	0	0	0	0	0.535
10	226	163	0	0	0	0	0.5375
11	226	162	0	0	0	0	0.54
11	225	163	0	0	0	0	0.5425
11	224	164	0	0	0	0	0.545
11	223	165	0	0	0	0	0.5475
10	222	167	0	0	0	1	0.55
10	221	168	0	0	0	0	0.5525
10	221	168	0	0	0	0	0.555
11	221	167	0	0	0	0	0.5575
11	221	167	0	0	0	0	0.56
11	220	168	0	0	0	0	0.5625
11	220	168	0	0	0	0	0.565
11	220	168	0	0	0	0	0.5675
12	218	169	0	0	0	0	0.57
12	217	170	0	0	0	0	0.5725
12	216	171	0	0	0	0	0.575
13	214	172	0	0	0	0	0.5775
13	213	173	0	0	0	0	0.58
14	213	172	0	0	0	0	0.5825
14	212	173	0	0	0	0	0.585
14	212	173	0	0	0	0	0.5875
14	210	175	0	0	0	0	0.59
15	210	174	0	0	0	0	0.5925
15	210	174	0	0	0	0	0.595
16	210	173	0	0	0	0	0.5975
16	210	173	0	0	0	0	0.6
17	210	173	1	0	0	0	0.6025
18	210	172	0	0	0	0	0.605
18	208	174	0	0	0	0	0.6075
18	208	174	0	0	0	0	0.61
18	208	174	0	0	0	0	0.6125
18	208	174	0	0	0	0	0.615
18	207	175	0	0	0	0	0.6175
17	207	176	0	0	0	1	0.62
18	205	177	0	0	0	0	0.6225
18	205	177	0	0	0	0	0.625
19	205	176	0	0	0	0	0.6275
19	204	177	0	0	0	0	0.63
20	201	179	0	0	0	0	0.6325
20	201	179	0	0	0	0	0.635
20	201	179	0	0	0	0	0.6375
20	200	179	0	1	0	0	0.64
20	198	181	0	0	0	0	0.6425
20	198	181	0	0	0	0	0.645
20	198	181	0	0	0	0	0.6475
19	195	185	0	0	0	1	0.65
19	194	186	0	0	0	0	0.6525
19	194	186	0	0	0	0	0.655
19	194	186	0	0	0	0	0.6575
19	193	187	0	0	0	0	0.66
20	193	186	0	0	0	0	0.6625
22	192	185	0	0	0	0	0.665
22	192	185	0	0	0	1	0.6675
22	192	185	0	0	0	0	0.67
22	191	186	0	0	0	0	0.6725
22	190	187	0	0	0	0	0.675
22	190	187	0	0	0	0	0.6775
22	190	187	0	0	0	0	0.68
22	189	188	0	0	0	0	0.6825
22	189	188	0	0	0	0	0.685
23	189	187	0	0	0	0	0.6875
23	189	187	0	0	0	0	0.69
24	189	186	0	0	0	0	0.6925
25	188	186	0	0	0	0	0.695
26	187	186	0	0	0	0	0.6975
26	186	187	0	0	0	0	0.7
27	186	186	0	0	0	0	0.7025
28	186	185	0	0	0	0	0.705
28	186	185	0	0	0	0	0.7075
28	185	186	0	0	0	0	0.71
28	185	186	0	0	0	0	0.7125
28	185	186	0	0	0	0	0.715
28	185	186	0	0	0	0	0.7175
27	184	188	0	0	0	1	0.72
26	184	189	0	0	0	1	0.7225
26	184	189	0	0	0	0	0.725
26	184	189	0	0	0	0	0.7275
25	183	191	0	0	0	1	0.73
25	183	191	0	0	0	0	0.7325
25	182	192	0	0	0	0	0.735
25	181	193	0	0	0	0	0.7375
25	180	194	0	0	0	0	0.74
25	179	195	0	0	0	0	0.7425
25	179	195	0	0	0	0	0.745
25	178	196	0	0	0	0	0.7475
25	178	196	0	0	0	0	0.75
25	177	197	0	0	0	0	0.7525
25	177	197	0	0	0	0	0.755
25	178	196	0	0	0	0	0.7575
25	178	196	0	0	0	0	0.76
24	179	196	0	0	0	0	0.7625
24	179	196	0	0	0	0	0.765
24	179	196	0	0	0	0	0.7675
24	179	196	0	0	0	0	0.77
23	180	196	0	0	0	0	0.7725
23	181	195	0	0	0	0	0.775
21	183	195	0	0	0	0	0.7775
22	184	193	0	0	0	0	0.78
20	188	191	0	0	0	0	0.7825
19	188	192	0	0	0	1	0.785
16	191	192	0	0	0	0	0.7875
14	192	193	0	0	0	0	0.79
14	193	192	0	0	0	0	0.7925
12	194	193	0	0	0	0	0.795
11	194	194	0	0	0	0	0.7975
9	196	194	0	0	0	0	0.8
8	197	194	0	0	0	0	0.8025
6	199	194	0	0	0	0	0.805
4	201	194	0	0	0	0	0.8075
4	201	194	0	0	0	0	0.81
2	202	195	0	0	0	0	0.8125
2	202	195	0	0	0	0	0.815
2	202	195	0	0	0	0	0.8175
3	201	195	0	0	0	0	0.82
1	203	195	0	0	0	0	0.8225
1	203	195	0	0	0	0	0.825
0	202	197	0	0	0	0	0.8275
0	202	197	0	0	0	0	0.83
0	202	197	0	0	0	0	0.8325
0	201	198	0	0	0	0	0.835
2	200	197	0	0	0	0	0.8375
2	200	197	0	0	0	0	0.84
2	200	197	0	0	0	0	0.8425
1	200	198	0	0	0	0	0.845
1	200	198	0	0	0	0	0.8475
2	199	198	0	0	0	0	0.85
0	201	198	0	0	0	0	0.8525
0	201	198	0	0	0	0	0.855
0	200	199	0	0	0	0	0.8575
0	200	199	0	0	0	0	0.86
1	199	199	0	0	0	0	0.8625
1	200	198	0	0	0	0	0.865
1	200	198	0	0	0	0	0.8675
1	198	200	0	0	0	0	0.87
1	198	200	0	0	0	0	0.8725
1	198	200	0	0	0	0	0.875
1	197	201	0	0	0	0	0.8775
1	197	201	0	0	0	0	0.88
1	197	201	0	0	0	0	0.8825
0	196	203	0	0	0	0	0.885
0	194	205	0	0	0	0	0.8875
0	194	205	0	0	0	0	0.89
0	194	205	0	0	0	0	0.8925
0	194	205	0	0	0	0	0.895
1	194	204	0	0	0	0	0.8975
0	195	204	0	0	0	0	0.9
0	195	204	0	0	0	0	0.9025
0	195	204	0	0	0	0	0.905
0	194	205	0	0	0	0	0.9075
0	194	205	0	0	0	0	0.91
1	194	204	0	0	0	0	0.9125
0	195	204	0	0	0	0	0.915
0	194	205	0	0	0	0	0.9175
1	194	204	0	0	0	0	0.92
1	193	205	0	0	0	0	0.9225
0	194	205	0	0	0	0	0.925
0	194	205	0	0	0	0	0.9275
0	193	206	0	0	0	0	0.93
0	193	206	0	0	0	0	0.9325
0	191	208	0	0	0	0	0.935
1	191	207	0	0	0	0	0.9375
1	192	206	0	0	0	0	0.94
1	191	207	0	0	0	0	0.9425
0	192	207	0	0	0	0	0.945
0	192	207	0	0	0	0	0.9475
1	191	207	0	0	0	0	0.95
0	191	208	0	0	0	0	0.9525
0	191	208	0	0	0	0	0.955
0	190	209	0	0	0	0	0.9575
0	190	209	0	0	0	0	0.96
0	189	210	0	0	0	0	0.9625
0	189	210	0	0	0	0	0.965
1	188	210	0	0	0	0	0.9675
1	188	210	0	0	0	0	0.97
1	189	209	0	0	0	0	0.9725
0	189	210	0	0	0	0	0.975
0	188	211	0	0	0	0	0.9775
0	188	211	0	0	0	0	0.98
0	188	211	0	0	0	0	0.9825
0	187	211	0	1	0	0	0.985
0	187	211	0	0	0	0	0.9875
1	187	210	0	0	0	0	0.99
0	186	212	0	0	0	0	0.9925
0	185	213	0	0	0	0	0.995
1	184	213	0	0	0	0	0.9975
2	183	213	0	0	0	0	1
2	183	213	0	0	0	0	1.0025
1	182	215	0	0	0	0	1.005
0	183	215	0	0	0	0	1.0075
0	183	215	0	0	0	0	1.01
0	182	216	0	0	0	0	1.0125
0	182	216	0	0	0	0	1.015
0	181	217	0	0	0	0	1.0175
0	179	219	0	0	0	0	1.02
0	178	220	0	0	0	0	1.0225
0	177	221	0	0	0	0	1.025
1	176	221	0	0	0	0	1.0275
0	176	222	0	0	0	0	1.03
2	174	222	0	0	0	0	1.0325
2	175	221	0	0	0	0	1.035
1	176	221	0	0	0	0	1.0375
0	176	222	0	0	0	0	1.04
0	175	223	0	0	0	0	1.0425
0	175	223	0	0	0	0	1.045
0	175	223	0	0	0	0	1.0475
0	173	225	0	0	0	0	1.05
1	173	224	0	0	0	0	1.0525
1	173	224	0	0	0	0	1.055
1	174	223	0	0	0	0	1.0575
1	174	223	0	0	0	0	1.06
1	172	225	0	0	0	0	1.0625
1	172	225	0	0	0	0	1.065
3	172	223	0	0	0	0	1.0675
2	173	223	0	0	0	0	1.07
2	170	226	0	0	0	0	1.0725
2	171	225	0	0	0	0	1.075
1	171	226	0	0	0	0	1.0775
1	171	226	0	0	0	0	1.08
3	169	226	0	0	0	0	1.0825
2	170	226	0	0	0	0	1.085
3	170	225	0	0	0	0	1.0875
1	172	225	0	0	0	0	1.09
1	171	226	0	0	0	0	1.0925
0	171	227	0	0	0	0	1.095
1	170	227	0	0	0	0	1.0975
2	170	226	0	0	0	0	1.1
3	170	225	0	0	0	0	1.1025
1	173	224	0	0	0	0	1.105
0	172	226	0	0	0	0	1.1075
1	172	225	0	0	0	0	1.11
1	171	226	0	0	0	0	1.1125
0	172	226	0	0	0	0	1.115
2	172	224	0	0	0	0	1.1175
1	173	224	0	0	0	0	1.12
1	173	224	0	0	0	0	1.1225
0	174	224	0	0	0	0	1.125
0	171	226	0	0	1	0	1.1275
0	171	226	0	0	0	0	1.13
0	169	228	0	0	0	0	1.1325
0	169	228	0	0	0	0	1.135
0	168	229	0	0	0	0	1.1375
0	167	230	0	0	0	0	1.14
1	167	229	0	0	0	0	1.1425
0	167	230	0	0	0	0	1.145
0	167	230	0	0	0	0	1.1475
0	167	230	0	0	0	0	1.15
