S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
299	101	0	0	0	0	0	0.0025
298	102	0	0	0	0	0	0.005
291	105	4	0	0	0	3	0.0075
290	105	5	0	0	0	1	0.01
286	108	6	0	0	0	1	0.0125
285	106	9	0	0	0	1	0.015
283	106	11	0	0	0	2	0.0175
283	106	11	0	0	0	0	0.02
283	106	11	0	0	0	0	0.0225
281	107	12	0	0	0	0	0.025
278	109	13	0	0	0	1	0.0275
277	109	14	0	0	0	0	0.03
277	108	15	0	0	0	0	0.0325
275	108	17	0	0	0	2	0.035
275	107	18	0	0	0	0	0.0375
274	107	19	0	0	0	1	0.04
272	109	19	0	0	0	0	0.0425
272	109	19	0	0	0	0	0.045
270	111	19	0	0	0	0	0.0475
269	112	19	0	0	0	0	0.05
266	113	21	0	0	0	2	0.0525
266	112	22	0	0	0	0	0.055
264	113	23	0	0	0	1	0.0575
262	115	23	0	0	0	0	0.06
261	114	25	0	0	0	1	0.0625
258	116	26	0	0	0	1	0.065
256	118	26	0	0	0	0	0.0675
254	119	27	0	0	0	1	0.07
251	121	28	0	0	0	1	0.0725
250	122	28	0	0	0	0	0.075
249	122	29	0	0	0	1	0.0775
248	122	30	0	0	0	1	0.08
248	121	31	0	0	0	0	0.0825
247	122	31	0	0	0	0	0.085
247	123	30	0	0	0	0	0.0875
246	124	30	0	0	0	0	0.09
246	124	30	0	0	0	0	0.0925
243	127	30	0	0	0	1	0.095
243	127	30	0	0	0	0	0.0975
241	127	32	0	0	0	2	0.1
237	129	34	0	0	0	2	0.1025
237	128	35	0	0	0	0	0.105
237	128	35	0	0	0	0	0.1075
236	127	37	0	0	0	1	0.11
234	128	38	0	0	0	1	0.1125
231	131	38	0	0	0	0	0.115
230	131	39	0	0	0	0	0.1175
230	130	40	0	0	0	0	0.12
228	132	40	0	0	0	0	0.1225
227	132	41	0	0	0	1	0.125
227	132	41	0	0	0	0	0.1275
224	133	43	0	0	0	1	0.13
223	133	44	0	0	0	1	0.1325
223	133	44	0	0	0	0	0.135
222	133	45	0	0	0	0	0.1375
220	134	46	0	0	0	1	0.14
218	135	47	0	0	0	1	0.1425
217	135	48	0	0	0	1	0.145
217	135	48	0	0	0	0	0.1475
215	136	49	0	0	0	1	0.15
215	136	49	0	0	0	0	0.1525
214	137	49	0	0	0	0	0.155
214	137	49	0	0	0	0	0.1575
214	134	52	0	0	0	0	0.16
211	137	52	0	0	0	0	0.1625
209	138	53	0	0	0	1	0.165
207	137	56	0	0	0	2	0.1675
204	139	57	0	0	0	1	0.17
203	140	57	0	0	0	0	0.1725
203	140	57	0	0	0	0	0.175
202	142	56	0	0	0	0	0.1775
201	142	57	0	0	0	1	0.18
198	142	60	0	0	0	3	0.1825
197	143	60	0	0	0	0	0.185
197	142	61	0	0	0	0	0.1875
197	142	61	0	0	0	0	0.19
195	141	64	0	0	0	2	0.1925
194	142	64	0	0	0	0	0.195
194	142	64	0	0	0	0	0.1975
194	142	64	0	0	0	0	0.2
192	142	66	0	0	0	2	0.2025
192	142	66	0	0	0	0	0.205
192	142	66	0	0	0	0	0.2075
192	142	66	0	0	0	0	0.21
194	142	64	0	0	0	0	0.2125
193	143	64	0	0	0	0	0.215
193	143	64	0	0	0	0	0.2175
192	144	64	0	0	0	0	0.22
192	143	65	0	0	0	0	0.2225
192	143	65	0	0	0	0	0.225
189	144	67	0	0	0	2	0.2275
189	144	67	0	0	0	0	0.23
188	144	68	0	0	0	1	0.2325
187	144	69	0	0	0	1	0.235
184	145	71	0	0	0	2	0.2375
183	145	72	0	0	0	1	0.24
180	146	74	0	0	0	2	0.2425
180	146	74	0	0	0	0	0.245
178	148	74	0	0	0	0	0.2475
178	148	74	0	0	0	0	0.25
177	148	75	0	0	0	1	0.2525
177	148	75	0	0	0	0	0.255
175	148	77	0	0	0	2	0.2575
172	148	80	0	0	0	2	0.26
172	148	80	0	0	0	0	0.2625
171	148	81	0	0	0	1	0.265
170	148	82	0	0	0	1	0.2675
169	148	83	0	0	0	1	0.27
168	148	84	0	0	0	1	0.2725
166	150	84	0	0	0	0	0.275
166	150	84	0	0	0	0	0.2775
165	150	85	0	0	0	1	0.28
164	150	86	0	0	0	0	0.2825
161	150	89	0	0	0	3	0.285
158	151	91	0	0	0	2	0.2875
158	151	91	0	0	0	0	0.29
158	150	92	0	0	0	0	0.2925
158	150	92	0	0	0	0	0.295
157	151	92	0	0	0	0	0.2975
155	150	95	0	0	0	2	0.3
155	150	95	0	0	0	0	0.3025
153	150	97	0	0	0	2	0.305
153	150	97	0	0	0	0	0.3075
152	150	98	0	0	0	1	0.31
151	150	99	0	0	0	1	0.3125
150	151	99	0	0	0	0	0.315
150	151	99	0	0	0	0	0.3175
149	151	100	0	0	0	1	0.32
148	150	102	0	0	0	1	0.3225
148	150	102	0	0	0	0	0.325
148	149	103	0	0	0	0	0.3275
148	149	103	0	0	0	0	0.33
146	151	103	0	0	0	1	0.3325
143	153	104	0	0	0	1	0.335
142	154	104	0	0	0	0	0.3375
140	154	106	0	0	0	1	0.34
140	154	106	0	0	0	0	0.3425
140	154	106	0	0	0	0	0.345
139	154	107	0	0	0	1	0.3475
140	154	106	0	0	0	0	0.35
140	151	109	0	0	0	0	0.3525
137	153	110	0	0	0	0	0.355
135	155	110	0	0	0	0	0.3575
135	155	110	0	0	0	0	0.36
134	155	111	0	0	0	0	0.3625
134	155	111	0	0	0	1	0.365
133	156	111	0	0	0	0	0.3675
132	157	111	0	0	0	0	0.37
131	157	112	0	0	0	1	0.3725
130	158	112	0	0	0	0	0.375
129	159	112	0	0	0	0	0.3775
