S	I	R	e	d	dI	t
300	100	0	0	0	0	0
298	101	1	0	0	0	0.0025
294	103	3	0	0	0	0.005
292	102	6	0	0	0	0.0075
291	103	6	0	0	0	0.01
289	103	8	0	0	0	0.0125
288	103	9	0	0	0	0.015
286	103	11	0	0	0	0.0175
285	103	12	0	0	0	0.02
280	102	18	0	0	0	0.0225
278	103	19	0	0	0	0.025
276	104	20	0	0	0	0.0275
274	102	24	0	0	0	0.03
272	103	25	0	0	0	0.0325
267	105	28	0	0	0	0.035
265	106	29	0	0	0	0.0375
265	105	30	0	0	0	0.04
264	105	31	0	0	0	0.0425
262	105	33	0	0	0	0.045
259	105	36	0	0	0	0.0475
257	106	37	0	0	0	0.05
255	107	38	0	0	0	0.0525
252	109	39	0	0	0	0.055
252	109	39	0	0	0	0.0575
251	109	40	0	0	0	0.06
249	109	42	0	0	0	0.0625
247	110	43	0	0	0	0.065
247	110	43	0	0	0	0.0675
244	111	45	0	0	0	0.07
241	112	47	0	0	0	0.0725
240	111	49	0	0	0	0.075
238	113	49	0	0	0	0.0775
238	113	49	0	0	0	0.08
235	113	52	0	0	0	0.0825
232	114	54	0	0	0	0.085
229	115	56	0	0	0	0.0875
226	117	57	0	0	0	0.09
225	117	58	0	0	0	0.0925
224	116	60	0	0	0	0.095
223	116	61	0	0	0	0.0975
222	116	62	0	0	0	0.1
219	116	65	0	0	0	0.1025
217	117	66	0	0	0	0.105
214	118	68	0	0	0	0.1075
211	118	71	0	0	0	0.11
210	118	72	0	0	0	0.1125
209	118	73	0	0	0	0.115
206	119	75	0	0	0	0.1175
203	119	78	0	0	0	0.12
201	121	78	0	0	0	0.1225
201	120	79	0	0	0	0.125
200	119	81	0	0	0	0.1275
199	120	81	0	0	0	0.13
198	121	81	0	0	0	0.1325
195	123	82	0	0	0	0.135
192	125	83	0	0	0	0.1375
191	125	84	0	0	0	0.14
188	125	87	0	0	0	0.1425
189	125	86	0	0	0	0.145
190	125	85	0	0	0	0.1475
189	124	87	0	0	0	0.15
185	126	89	0	0	0	0.1525
183	127	90	0	0	0	0.155
181	129	90	0	0	0	0.1575
181	129	90	0	0	0	0.16
181	129	90	0	0	0	0.1625
180	129	91	0	0	0	0.165
179	130	91	0	0	0	0.1675
178	130	92	0	0	0	0.17
178	130	92	0	0	0	0.1725
176	130	94	0	0	0	0.175
175	130	95	0	0	0	0.1775
174	129	97	0	0	0	0.18
174	129	97	0	0	0	0.1825
174	129	97	0	0	0	0.185
173	129	98	0	0	0	0.1875
172	129	99	0	0	0	0.19
172	128	100	0	0	0	0.1925
172	128	100	0	0	0	0.195
169	128	103	0	0	0	0.1975
165	130	105	0	0	0	0.2
164	129	107	0	0	0	0.2025
163	128	109	0	0	0	0.205
162	128	110	0	0	0	0.2075
163	128	109	0	0	0	0.21
160	130	110	0	0	0	0.2125
161	130	109	0	0	0	0.215
161	130	109	0	0	0	0.2175
159	130	111	0	0	0	0.22
156	131	113	0	0	0	0.2225
155	132	113	0	0	0	0.225
156	132	112	0	0	0	0.2275
155	132	113	0	0	0	0.23
154	132	114	0	0	0	0.2325
152	134	114	0	0	0	0.235
