S	I	R	e	d	dI	f	t
380	20	0	0	0	0	0	0
380	20	0	0	0	0	0	0.0025
380	20	0	0	0	0	0	0.005
380	20	0	0	0	0	0	0.0075
380	20	0	0	0	0	0	0.01
380	20	0	0	0	0	0	0.0125
380	20	0	0	0	0	0	0.015
380	20	0	0	0	0	0	0.0175
380	20	0	0	0	0	0	0.02
380	20	0	0	0	0	0	0.0225
380	20	0	0	0	0	0	0.025
380	20	0	0	0	0	0	0.0275
380	20	0	0	0	0	0	0.03
379	21	0	0	0	0	0	0.0325
377	23	0	0	0	0	0	0.035
377	23	0	0	0	0	0	0.0375
377	23	0	0	0	0	0	0.04
377	23	0	0	0	0	0	0.0425
377	23	0	0	0	0	0	0.045
377	23	0	0	0	0	0	0.0475
377	22	0	0	0	1	0	0.05
377	22	0	0	0	0	0	0.0525
377	22	0	0	0	0	0	0.055
377	22	0	0	0	0	0	0.0575
377	22	0	0	0	0	0	0.06
377	22	0	0	0	0	0	0.0625
377	22	0	0	0	0	0	0.065
377	22	0	0	0	0	0	0.0675
377	22	0	0	0	0	0	0.07
377	22	0	0	0	0	0	0.0725
377	22	0	0	0	0	0	0.075
377	22	0	0	0	0	0	0.0775
377	22	0	0	0	0	0	0.08
377	22	0	0	0	0	0	0.0825
377	22	0	0	0	0	0	0.085
377	22	0	0	0	0	0	0.0875
376	23	0	0	0	0	0	0.09
376	23	0	0	0	0	0	0.0925
376	23	0	0	0	0	0	0.095
376	23	0	0	0	0	0	0.0975
376	22	1	0	0	0	0	0.1
376	22	1	0	0	0	0	0.1025
374	24	1	0	0	0	0	0.105
374	24	1	0	0	0	0	0.1075
374	23	1	0	0	1	0	0.11
374	23	1	0	0	0	0	0.1125
373	23	2	0	0	0	0	0.115
373	23	2	0	0	0	0	0.1175
373	23	2	0	0	0	0	0.12
373	22	2	0	0	1	0	0.1225
373	22	2	0	0	0	0	0.125
371	24	2	0	0	0	0	0.1275
371	24	2	0	0	0	0	0.13
370	25	2	0	0	0	0	0.1325
370	25	2	0	0	0	0	0.135
370	25	2	0	0	0	0	0.1375
370	25	2	0	0	0	0	0.14
370	24	3	0	0	0	0	0.1425
370	24	3	0	0	0	0	0.145
370	23	3	0	0	1	0	0.1475
370	23	3	0	0	0	0	0.15
369	24	3	0	0	0	0	0.1525
367	26	3	0	0	0	0	0.155
367	25	4	0	0	0	0	0.1575
367	25	4	0	0	0	0	0.16
367	25	4	0	0	0	0	0.1625
366	26	4	0	0	0	0	0.165
366	25	4	0	0	1	0	0.1675
366	25	4	0	0	0	0	0.17
366	25	4	0	0	0	0	0.1725
366	25	4	0	0	0	0	0.175
366	25	4	0	0	0	0	0.1775
366	25	4	0	0	0	0	0.18
366	25	4	0	0	0	0	0.1825
366	25	4	0	0	0	0	0.185
365	26	4	0	0	0	0	0.1875
365	26	4	0	0	0	0	0.19
365	26	4	0	0	0	0	0.1925
363	28	4	0	0	0	0	0.195
362	29	4	0	0	0	0	0.1975
361	30	4	0	0	0	0	0.2
359	32	4	0	0	0	0	0.2025
358	33	4	0	0	0	0	0.205
357	34	4	0	0	0	0	0.2075
357	34	4	0	0	0	0	0.21
357	34	4	0	0	0	0	0.2125
357	34	4	0	0	0	0	0.215
356	35	4	0	0	0	0	0.2175
356	35	4	0	0	0	0	0.22
356	35	4	0	0	0	0	0.2225
355	35	4	0	0	1	0	0.225
354	35	4	0	0	1	0	0.2275
354	34	5	0	0	0	0	0.23
354	34	5	0	0	0	0	0.2325
353	35	5	0	0	0	0	0.235
352	36	5	0	0	0	0	0.2375
352	36	5	0	0	0	0	0.24
352	36	5	0	0	0	0	0.2425
351	36	6	0	0	0	0	0.245
351	36	6	0	0	0	0	0.2475
351	36	6	0	0	0	0	0.25
351	35	7	0	0	0	0	0.2525
350	36	7	0	0	0	0	0.255
349	37	7	0	0	0	0	0.2575
348	37	8	0	0	0	0	0.26
348	37	8	0	0	0	0	0.2625
347	38	8	0	0	0	0	0.265
347	38	8	0	0	0	0	0.2675
346	39	8	0	0	0	0	0.27
346	39	8	0	0	0	0	0.2725
344	41	8	0	0	0	0	0.275
344	41	8	0	0	0	0	0.2775
344	41	8	0	0	0	0	0.28
343	42	8	0	0	0	0	0.2825
342	43	8	0	0	0	0	0.285
341	44	8	0	0	0	0	0.2875
341	43	8	0	0	1	0	0.29
341	42	8	0	0	1	0	0.2925
339	44	8	0	0	0	0	0.295
338	45	8	0	0	0	0	0.2975
337	46	8	0	0	0	0	0.3
334	49	8	0	0	0	0	0.3025
334	49	8	0	0	0	0	0.305
334	49	8	0	0	0	0	0.3075
334	49	8	0	0	0	0	0.31
333	50	8	0	0	0	0	0.3125
332	50	9	0	0	0	0	0.315
332	49	10	0	0	0	0	0.3175
332	49	10	0	0	0	0	0.32
331	48	10	0	0	2	0	0.3225
330	49	10	0	0	0	0	0.325
330	49	10	0	0	0	0	0.3275
330	49	10	0	0	0	0	0.33
330	49	10	0	0	0	0	0.3325
329	49	11	0	0	0	0	0.335
328	50	11	0	0	0	0	0.3375
328	48	12	0	0	1	0	0.34
329	48	12	1	0	0	0	0.3425
330	48	11	0	0	0	0	0.345
330	47	11	0	0	1	0	0.3475
329	48	11	0	0	0	0	0.35
329	48	11	0	0	0	0	0.3525
329	46	13	0	0	0	0	0.355
328	47	13	0	0	0	0	0.3575
327	48	13	0	0	0	0	0.36
