S	I	R	e	d	dI	f	t
380	20	0	0	0	0	0	0
379	20	1	0	0	0	1	0.0025
378	20	2	0	0	0	1	0.005
377	20	3	0	0	0	1	0.0075
376	21	3	0	0	0	0	0.01
376	21	3	0	0	0	0	0.0125
376	21	3	0	0	0	0	0.015
375	22	3	0	0	0	0	0.0175
373	22	5	0	0	0	2	0.02
373	22	5	0	0	0	0	0.0225
373	22	5	0	0	0	0	0.025
372	22	6	0	0	0	1	0.0275
372	21	7	0	0	0	0	0.03
372	21	7	0	0	0	0	0.0325
372	21	7	0	0	0	0	0.035
371	21	8	0	0	0	1	0.0375
371	21	8	0	0	0	0	0.04
371	21	8	0	0	0	0	0.0425
371	21	8	0	0	0	0	0.045
371	20	9	0	0	0	0	0.0475
371	20	9	0	0	0	0	0.05
371	20	9	0	0	0	0	0.0525
371	20	9	0	0	0	0	0.055
371	20	9	0	0	0	0	0.0575
369	20	11	0	0	0	2	0.06
369	20	11	0	0	0	0	0.0625
369	20	11	0	0	0	0	0.065
368	20	12	0	0	0	1	0.0675
367	20	13	0	0	0	1	0.07
367	20	13	0	0	0	0	0.0725
367	20	13	0	0	0	0	0.075
365	21	14	0	0	0	1	0.0775
364	22	14	0	0	0	0	0.08
364	22	14	0	0	0	0	0.0825
363	22	15	0	0	0	1	0.085
363	21	15	0	0	1	0	0.0875
363	21	15	0	0	0	0	0.09
363	21	15	0	0	0	0	0.0925
362	21	16	0	0	0	1	0.095
362	21	16	0	0	0	0	0.0975
361	22	16	0	0	0	0	0.1
361	21	17	0	0	0	0	0.1025
360	21	18	0	0	0	1	0.105
360	21	18	0	0	0	0	0.1075
361	21	17	0	0	0	0	0.11
361	21	17	0	0	0	0	0.1125
360	22	17	0	0	0	0	0.115
359	22	18	0	0	0	1	0.1175
359	22	18	0	0	0	0	0.12
359	22	18	0	0	0	0	0.1225
359	21	19	0	0	0	0	0.125
357	22	20	0	0	0	1	0.1275
356	23	20	0	0	0	0	0.13
356	23	20	0	0	0	0	0.1325
355	23	21	0	0	0	1	0.135
353	25	21	0	0	0	0	0.1375
352	25	21	0	0	1	0	0.14
352	25	21	0	0	0	0	0.1425
351	26	21	0	0	0	0	0.145
350	26	22	0	0	0	1	0.1475
349	26	22	0	0	1	0	0.15
349	26	22	0	0	0	0	0.1525
348	26	22	0	0	1	0	0.155
346	28	22	0	0	0	0	0.1575
346	28	22	0	0	0	0	0.16
344	30	22	0	0	0	0	0.1625
343	30	23	0	0	0	1	0.165
342	30	24	0	0	0	0	0.1675
342	30	24	0	0	0	0	0.17
342	30	24	0	0	0	0	0.1725
343	30	24	1	0	0	0	0.175
340	31	26	0	0	0	1	0.1775
340	31	26	0	0	0	0	0.18
340	31	26	0	0	0	0	0.1825
340	31	26	0	0	0	0	0.185
339	31	27	0	0	0	1	0.1875
337	31	29	0	0	0	2	0.19
337	31	29	0	0	0	0	0.1925
336	31	30	0	0	0	1	0.195
335	31	31	0	0	0	1	0.1975
335	31	31	0	0	0	0	0.2
335	31	31	0	0	0	0	0.2025
335	31	31	0	0	0	0	0.205
332	33	32	0	0	0	1	0.2075
332	32	32	0	0	1	0	0.21
332	32	32	0	0	0	0	0.2125
331	33	32	0	0	0	0	0.215
331	32	33	0	0	0	0	0.2175
331	32	33	0	0	0	0	0.22
330	33	33	0	0	0	0	0.2225
329	34	33	0	0	0	0	0.225
329	34	33	0	0	0	0	0.2275
329	34	33	0	0	0	1	0.23
330	34	33	1	0	0	0	0.2325
329	34	34	0	0	0	1	0.235
329	34	34	0	0	0	0	0.2375
327	35	35	0	0	0	1	0.24
327	33	37	0	0	0	0	0.2425
328	32	38	1	0	0	0	0.245
327	32	39	0	0	0	1	0.2475
325	33	40	0	0	0	1	0.25
323	35	40	0	0	0	0	0.2525
320	37	42	1	0	0	2	0.255
319	38	42	0	0	0	0	0.2575
318	39	42	0	0	0	0	0.26
318	38	42	0	0	1	0	0.2625
318	38	42	0	0	0	0	0.265
318	38	42	0	0	0	0	0.2675
317	38	43	0	0	0	1	0.27
317	38	43	0	0	0	0	0.2725
317	38	43	0	0	0	0	0.275
317	37	43	0	0	1	0	0.2775
316	36	44	0	0	1	1	0.28
315	36	45	0	0	0	1	0.2825
315	36	45	0	0	0	0	0.285
315	36	45	0	0	0	0	0.2875
312	36	47	0	0	1	2	0.29
312	36	47	0	0	0	0	0.2925
312	36	47	0	0	0	0	0.295
310	36	49	0	0	0	2	0.2975
309	36	50	0	0	0	1	0.3
309	36	50	0	0	0	0	0.3025
308	36	51	0	0	0	1	0.305
307	37	50	0	1	0	0	0.3075
307	37	50	0	0	0	0	0.31
307	37	50	0	0	0	0	0.3125
307	37	50	0	0	0	0	0.315
307	37	50	0	0	0	0	0.3175
307	36	50	0	0	1	0	0.32
308	36	49	0	0	0	0	0.3225
307	36	50	0	0	0	0	0.325
306	36	51	0	0	0	1	0.3275
305	36	52	0	0	0	1	0.33
305	37	51	0	0	0	0	0.3325
304	38	51	0	0	0	0	0.335
302	38	53	0	0	0	2	0.3375
302	38	53	0	0	0	0	0.34
302	38	53	0	0	0	0	0.3425
302	38	53	0	0	0	0	0.345
302	38	53	0	0	0	0	0.3475
302	38	53	0	0	0	0	0.35
301	38	54	0	0	0	1	0.3525
300	38	55	0	0	0	1	0.355
299	39	55	0	0	0	0	0.3575
298	40	55	0	0	0	0	0.36
298	40	55	0	0	0	0	0.3625
298	40	55	0	0	0	0	0.365
298	40	55	0	0	0	0	0.3675
296	40	57	0	0	0	1	0.37
297	40	56	0	0	0	0	0.3725
297	40	56	0	0	0	0	0.375
296	41	56	0	0	0	0	0.3775
294	41	58	0	0	0	1	0.38
295	41	57	0	0	0	0	0.3825
294	41	58	0	0	0	1	0.385
294	41	58	0	0	0	0	0.3875
293	41	59	0	0	0	1	0.39
293	41	59	0	0	0	0	0.3925
293	41	59	0	0	0	0	0.395
291	42	60	0	0	0	1	0.3975
290	42	61	0	0	0	1	0.4
289	43	61	0	0	0	0	0.4025
290	43	60	0	0	0	0	0.405
290	43	60	0	0	0	0	0.4075
290	43	60	0	0	0	0	0.41
290	43	60	0	0	0	0	0.4125
287	43	63	0	0	0	3	0.415
288	43	62	0	0	0	0	0.4175
286	44	63	0	0	0	1	0.42
286	43	63	0	0	1	0	0.4225
285	43	64	0	0	0	1	0.425
283	45	64	0	0	0	0	0.4275
277	48	66	0	0	1	2	0.43
276	49	66	0	0	0	0	0.4325
274	50	67	0	0	0	0	0.435
274	50	67	0	0	0	0	0.4375
273	50	68	0	0	0	1	0.44
272	51	68	0	0	0	0	0.4425
272	52	67	0	0	0	0	0.445
272	51	68	0	0	0	0	0.4475
272	51	68	0	0	0	0	0.45
272	51	68	0	0	0	0	0.4525
272	51	68	0	0	0	0	0.455
271	52	68	0	0	0	0	0.4575
271	52	68	0	0	0	0	0.46
271	52	68	0	0	0	1	0.4625
270	53	68	0	0	0	0	0.465
269	54	68	0	0	0	0	0.4675
269	54	68	0	0	0	0	0.47
269	54	68	0	0	0	0	0.4725
269	53	68	0	0	1	0	0.475
267	55	68	0	0	0	0	0.4775
267	54	68	0	0	1	1	0.48
266	55	68	0	0	0	0	0.4825
265	56	68	0	0	0	0	0.485
265	56	68	0	0	0	0	0.4875
262	57	70	0	0	0	2	0.49
260	57	72	0	0	0	2	0.4925
260	58	72	1	0	0	0	0.495
259	59	72	0	0	0	0	0.4975
259	58	73	0	0	0	0	0.5
257	59	74	0	0	0	1	0.5025
257	59	74	0	0	0	0	0.505
256	59	74	0	0	1	0	0.5075
255	60	74	0	0	0	0	0.51
254	60	74	0	0	1	0	0.5125
253	60	75	0	0	0	1	0.515
252	61	75	0	0	0	0	0.5175
252	61	75	0	0	0	0	0.52
251	61	76	0	0	0	1	0.5225
250	62	76	0	0	0	0	0.525
249	63	76	0	0	0	0	0.5275
248	64	76	0	0	0	0	0.53
249	64	75	0	0	0	0	0.5325
249	64	75	0	0	0	0	0.535
248	65	75	0	0	0	0	0.5375
247	66	75	0	0	0	0	0.54
246	67	75	0	0	0	0	0.5425
245	68	75	0	0	0	0	0.545
244	69	75	0	0	0	0	0.5475
244	68	75	0	0	1	0	0.55
245	68	74	0	0	0	0	0.5525
244	69	74	0	0	0	0	0.555
243	69	75	0	0	0	1	0.5575
244	69	74	0	0	0	0	0.56
243	70	74	0	0	0	0	0.5625
241	71	75	0	0	0	1	0.565
238	74	75	0	0	0	0	0.5675
235	74	77	0	0	1	2	0.57
232	77	77	0	0	0	0	0.5725
231	77	78	0	0	0	1	0.575
230	76	78	0	1	1	0	0.5775
228	77	79	0	0	0	1	0.58
229	77	78	0	0	0	0	0.5825
229	77	78	0	0	0	0	0.585
228	78	78	0	0	0	0	0.5875
227	79	78	0	0	0	0	0.59
227	79	78	0	0	0	0	0.5925
227	78	79	0	0	0	0	0.595
226	78	80	0	0	0	1	0.5975
226	78	80	0	0	0	0	0.6
226	77	81	0	0	0	0	0.6025
226	77	81	0	0	0	0	0.605
226	76	82	0	0	0	0	0.6075
225	76	83	0	0	0	1	0.61
224	77	83	0	0	0	0	0.6125
224	77	83	0	0	0	0	0.615
223	78	83	0	0	0	0	0.6175
221	79	84	0	0	0	0	0.62
220	79	85	0	0	0	1	0.6225
219	81	84	0	0	0	0	0.625
219	81	84	0	0	0	0	0.6275
218	82	84	0	0	0	0	0.63
218	82	84	0	0	0	0	0.6325
218	82	84	0	0	0	0	0.635
218	82	84	0	0	0	0	0.6375
218	82	84	0	0	0	0	0.64
217	83	84	0	0	0	0	0.6425
217	83	84	0	0	0	0	0.645
215	83	85	0	0	1	1	0.6475
214	84	85	0	0	0	0	0.65
212	85	86	0	0	0	1	0.6525
211	86	86	0	0	0	0	0.655
211	86	86	0	0	0	0	0.6575
211	85	87	0	0	0	0	0.66
210	86	87	0	0	0	0	0.6625
210	85	88	0	0	0	0	0.665
209	86	88	0	0	0	0	0.6675
209	85	88	0	0	1	0	0.67
209	85	88	0	0	0	0	0.6725
209	85	88	0	0	0	0	0.675
209	85	88	0	0	0	0	0.6775
207	86	89	0	0	0	1	0.68
207	86	89	0	0	0	0	0.6825
206	87	89	0	0	0	0	0.685
203	87	91	0	0	1	2	0.6875
203	86	91	0	0	1	0	0.69
203	86	91	0	0	0	0	0.6925
201	87	92	0	0	0	1	0.695
200	85	94	0	0	1	1	0.6975
199	85	95	0	0	0	1	0.7
199	85	95	0	0	0	0	0.7025
199	85	95	0	0	0	0	0.705
199	84	96	0	0	0	0	0.7075
199	84	96	0	0	0	0	0.71
198	84	97	0	0	0	1	0.7125
199	84	97	1	0	0	0	0.715
200	84	96	0	0	0	0	0.7175
200	84	96	0	0	0	0	0.72
200	84	96	0	0	0	0	0.7225
200	84	96	0	0	0	0	0.725
200	83	97	0	0	0	0	0.7275
198	84	98	0	0	0	1	0.73
197	85	98	0	0	0	0	0.7325
197	83	99	0	0	1	0	0.735
195	84	100	0	0	0	1	0.7375
195	84	100	0	0	0	0	0.74
195	84	100	0	0	0	0	0.7425
195	83	100	0	0	1	0	0.745
195	83	100	0	0	0	0	0.7475
193	86	99	0	0	0	0	0.75
193	84	100	0	0	1	0	0.7525
193	83	101	0	0	0	0	0.755
194	82	100	0	0	1	0	0.7575
194	82	100	0	0	0	0	0.76
192	83	101	0	0	0	0	0.7625
191	84	101	0	0	0	0	0.765
189	85	102	0	0	0	1	0.7675
188	85	103	0	0	0	1	0.77
188	85	103	0	0	0	0	0.7725
188	83	104	0	0	1	0	0.775
187	83	105	0	0	0	1	0.7775
187	83	105	0	0	0	0	0.78
188	83	105	1	0	0	0	0.7825
187	82	107	0	0	0	1	0.785
185	82	109	0	0	0	2	0.7875
183	83	110	0	0	0	1	0.79
183	83	110	0	0	0	0	0.7925
183	82	111	0	0	0	0	0.795
182	82	112	0	0	0	1	0.7975
182	82	112	0	0	0	0	0.8
182	82	112	0	0	0	0	0.8025
181	83	112	0	0	0	0	0.805
179	83	112	0	1	1	0	0.8075
179	83	112	0	0	0	0	0.81
179	82	112	0	0	1	0	0.8125
179	82	112	0	0	0	0	0.815
179	82	112	0	0	0	0	0.8175
179	82	112	0	0	0	0	0.82
178	83	112	0	0	0	0	0.8225
178	83	112	0	0	0	0	0.825
179	83	111	0	0	0	0	0.8275
179	84	110	0	0	0	0	0.83
179	84	110	0	0	0	0	0.8325
178	85	110	0	0	0	0	0.835
177	86	110	0	0	0	0	0.8375
177	86	110	0	0	0	0	0.84
177	86	110	0	0	0	0	0.8425
177	84	111	0	0	1	0	0.845
176	85	111	0	0	0	0	0.8475
175	85	112	0	0	0	1	0.85
175	85	112	0	0	0	0	0.8525
174	86	112	0	0	0	0	0.855
173	87	112	0	0	0	0	0.8575
173	87	112	0	0	0	0	0.86
174	87	111	0	0	0	0	0.8625
173	87	112	0	0	0	0	0.865
171	89	112	0	0	0	0	0.8675
171	90	111	0	0	0	0	0.87
171	90	111	0	0	0	0	0.8725
170	91	111	0	0	0	0	0.875
170	91	111	0	0	0	0	0.8775
170	91	111	0	0	0	0	0.88
170	91	111	0	0	0	0	0.8825
170	91	111	0	0	0	0	0.885
170	90	112	0	0	0	0	0.8875
170	90	112	0	0	0	0	0.89
170	90	112	0	0	0	0	0.8925
170	89	112	0	0	1	0	0.895
170	88	112	0	0	1	0	0.8975
170	88	112	0	0	0	0	0.9
169	89	112	0	0	0	0	0.9025
169	88	113	0	0	0	0	0.905
167	89	114	0	0	0	1	0.9075
166	88	115	0	0	1	1	0.91
166	87	116	0	0	0	1	0.9125
166	87	116	0	0	0	0	0.915
166	87	116	0	0	0	0	0.9175
