S	I	R	e	d	dI	f	t
380	20	0	0	0	0	0	0
373	20	7	0	0	0	7	0.0025
360	20	20	0	0	0	13	0.005
352	21	27	0	0	0	7	0.0075
343	21	36	0	0	0	9	0.01
339	21	40	0	0	0	4	0.0125
334	21	45	0	0	0	5	0.015
325	21	54	0	0	0	9	0.0175
321	21	58	0	0	0	4	0.02
313	22	65	0	0	0	7	0.0225
306	22	72	0	0	0	7	0.025
297	22	81	0	0	0	9	0.0275
292	22	86	0	0	0	5	0.03
284	23	93	0	0	0	7	0.0325
280	23	97	0	0	0	4	0.035
275	23	101	0	1	0	5	0.0375
270	23	106	0	0	0	5	0.04
263	23	113	0	0	0	7	0.0425
255	23	121	0	0	0	8	0.045
247	24	128	0	0	0	7	0.0475
243	24	132	0	0	0	5	0.05
237	23	138	0	0	1	6	0.0525
234	23	141	0	0	0	4	0.055
231	23	144	0	0	0	4	0.0575
223	23	152	0	0	0	8	0.06
220	23	155	0	0	0	4	0.0625
216	23	159	0	0	0	4	0.065
211	23	164	0	0	0	5	0.0675
209	23	166	0	0	0	2	0.07
207	23	168	0	0	0	3	0.0725
203	22	173	0	0	0	4	0.075
201	22	175	0	0	0	3	0.0775
200	22	176	0	0	0	1	0.08
199	23	176	0	0	0	1	0.0825
197	22	178	0	0	1	3	0.085
195	22	180	0	0	0	3	0.0875
190	22	185	0	0	0	5	0.09
186	22	189	0	0	0	4	0.0925
180	22	195	0	0	0	6	0.095
175	21	200	0	0	1	5	0.0975
172	21	203	0	0	0	3	0.1
169	21	206	0	0	0	3	0.1025
167	21	208	0	0	0	2	0.105
160	20	215	0	0	1	7	0.1075
154	20	221	0	0	0	6	0.11
152	20	223	0	0	0	2	0.1125
150	18	225	0	0	2	2	0.115
149	18	226	0	0	0	1	0.1175
145	19	229	0	0	0	3	0.12
141	19	233	0	0	0	4	0.1225
138	20	235	0	0	0	2	0.125
133	20	240	0	0	0	5	0.1275
130	20	243	0	0	0	4	0.13
126	20	247	0	0	0	4	0.1325
122	20	251	0	0	0	4	0.135
118	20	255	0	0	0	5	0.1375
117	20	256	0	0	0	1	0.14
116	20	257	0	0	0	1	0.1425
111	20	262	0	0	0	6	0.145
110	19	264	0	0	0	1	0.1475
112	19	262	0	0	0	0	0.15
110	19	264	0	0	0	2	0.1525
107	19	267	0	0	0	3	0.155
106	19	268	0	0	0	1	0.1575
104	18	270	0	0	1	2	0.16
101	18	273	0	0	0	4	0.1625
100	18	274	0	0	0	1	0.165
100	18	274	0	0	0	0	0.1675
98	18	277	1	0	0	3	0.17
96	18	279	0	0	0	3	0.1725
95	18	279	0	1	0	1	0.175
94	18	280	0	0	0	1	0.1775
92	18	282	0	0	0	2	0.18
92	18	282	0	0	0	1	0.1825
91	18	283	0	0	0	1	0.185
90	19	283	0	0	0	0	0.1875
87	19	286	0	0	0	3	0.19
86	19	287	0	0	0	1	0.1925
86	19	287	0	0	0	0	0.195
84	18	289	0	0	1	2	0.1975
84	18	289	0	0	0	2	0.2
83	18	290	0	0	0	1	0.2025
83	18	290	0	0	0	0	0.205
82	18	291	0	0	0	2	0.2075
82	18	291	0	0	0	0	0.21
80	17	294	0	0	0	2	0.2125
77	18	296	0	0	0	2	0.215
76	18	297	0	0	0	2	0.2175
72	18	301	0	0	0	4	0.22
71	18	302	0	0	0	1	0.2225
70	18	303	0	0	0	1	0.225
71	18	302	0	0	0	0	0.2275
70	18	303	0	0	0	2	0.23
68	18	305	0	0	0	2	0.2325
67	18	306	0	0	0	1	0.235
66	18	307	0	0	0	1	0.2375
65	18	308	0	0	0	2	0.24
63	18	310	0	0	0	2	0.2425
61	18	312	0	0	0	2	0.245
60	18	313	0	0	0	1	0.2475
58	18	315	0	0	0	2	0.25
57	18	316	0	0	0	1	0.2525
56	18	317	0	0	0	1	0.255
56	17	317	0	0	1	0	0.2575
54	17	319	0	0	0	3	0.26
52	17	321	0	0	0	2	0.2625
52	17	321	0	0	0	1	0.265
52	17	321	0	0	0	0	0.2675
53	17	320	0	0	0	1	0.27
53	17	320	0	0	0	1	0.2725
52	17	321	0	0	0	1	0.275
50	17	323	0	0	0	2	0.2775
51	17	322	0	0	0	0	0.28
50	17	323	0	0	0	1	0.2825
47	17	326	0	0	0	3	0.285
48	17	325	0	0	0	0	0.2875
47	16	326	0	0	1	1	0.29
46	16	327	0	0	0	1	0.2925
46	16	327	0	0	0	0	0.295
46	16	327	0	0	0	1	0.2975
46	16	327	0	0	0	1	0.3
45	16	328	0	0	0	1	0.3025
46	15	327	0	0	1	0	0.305
46	15	327	0	0	0	0	0.3075
46	16	326	0	0	0	0	0.31
46	16	326	0	0	0	0	0.3125
45	16	327	0	0	0	1	0.315
45	16	327	0	0	0	0	0.3175
45	16	327	0	0	0	1	0.32
44	16	328	0	0	0	1	0.3225
44	15	329	0	0	0	1	0.325
43	15	330	0	0	0	1	0.3275
40	15	333	0	0	0	3	0.33
39	15	334	0	0	0	1	0.3325
40	15	333	0	0	0	0	0.335
39	15	334	0	0	0	1	0.3375
37	15	336	0	0	0	2	0.34
37	15	336	0	0	0	0	0.3425
37	15	336	0	0	0	0	0.345
39	15	334	0	0	0	0	0.3475
38	15	335	0	0	0	1	0.35
37	15	336	0	0	0	2	0.3525
34	15	339	0	0	0	3	0.355
35	15	338	0	0	0	0	0.3575
35	15	338	0	0	0	0	0.36
34	15	339	0	0	0	1	0.3625
32	15	341	0	0	0	2	0.365
33	15	340	0	0	0	0	0.3675
35	15	338	0	0	0	1	0.37
35	15	338	0	0	0	0	0.3725
37	15	336	0	0	0	0	0.375
38	15	335	0	0	0	0	0.3775
39	15	334	0	0	0	0	0.38
36	16	335	0	1	0	1	0.3825
39	16	332	0	0	0	0	0.385
40	16	331	0	0	0	1	0.3875
41	15	330	0	0	1	0	0.39
43	15	328	0	0	0	0	0.3925
43	15	328	0	0	0	1	0.395
44	15	327	0	0	0	0	0.3975
44	15	327	0	0	0	0	0.4
44	15	327	0	0	0	0	0.4025
43	15	328	0	0	0	1	0.405
44	15	327	0	0	0	0	0.4075
44	15	327	0	0	0	0	0.41
44	14	328	0	0	0	0	0.4125
44	14	328	0	0	0	0	0.415
41	14	331	0	0	0	3	0.4175
41	14	331	0	0	0	0	0.42
41	14	331	0	0	0	1	0.4225
41	15	330	0	0	0	0	0.425
38	15	333	0	0	0	3	0.4275
37	15	334	0	0	0	1	0.43
37	15	334	0	0	0	1	0.4325
37	15	334	0	0	0	0	0.435
38	15	333	0	0	0	0	0.4375
37	15	334	0	0	0	2	0.44
35	15	336	0	0	0	3	0.4425
36	15	335	0	0	0	0	0.445
36	15	335	0	0	0	0	0.4475
36	15	334	0	1	0	0	0.45
36	15	334	0	0	0	0	0.4525
36	15	334	0	0	0	0	0.455
36	15	334	0	0	0	0	0.4575
39	15	331	0	0	0	0	0.46
39	15	331	0	0	0	0	0.4625
38	15	332	0	0	0	1	0.465
37	15	333	0	0	0	1	0.4675
37	15	333	0	0	0	0	0.47
35	15	335	0	0	0	2	0.4725
35	15	335	0	0	0	1	0.475
34	15	336	0	0	0	1	0.4775
35	15	335	0	0	0	0	0.48
35	15	335	0	0	0	0	0.4825
34	15	336	0	0	0	1	0.485
33	15	337	0	0	0	1	0.4875
33	15	337	0	0	0	0	0.49
33	15	337	0	0	0	0	0.4925
33	15	337	0	0	0	0	0.495
34	15	336	0	0	0	0	0.4975
34	15	336	0	0	0	0	0.5
32	16	337	0	0	0	1	0.5025
30	16	339	0	0	0	2	0.505
31	16	338	0	0	0	0	0.5075
31	16	338	0	0	0	1	0.51
31	16	338	0	0	0	1	0.5125
31	16	338	0	0	0	0	0.515
31	16	338	0	0	0	1	0.5175
29	16	340	0	0	0	2	0.52
29	16	340	0	0	0	0	0.5225
30	16	339	0	0	0	0	0.525
30	16	339	0	0	0	0	0.5275
29	16	340	0	0	0	1	0.53
29	16	340	0	0	0	0	0.5325
26	16	343	0	0	0	3	0.535
27	15	343	0	0	0	0	0.5375
28	15	342	0	0	0	0	0.54
27	15	343	0	0	0	1	0.5425
27	15	343	0	0	0	0	0.545
26	15	344	0	0	0	1	0.5475
