S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
296	100	4	0	0	0	4	0.0025
286	100	14	0	0	0	10	0.005
281	102	17	0	0	0	3	0.0075
269	101	29	0	0	1	12	0.01
263	100	35	0	0	1	6	0.0125
260	100	38	0	0	0	3	0.015
256	100	42	0	0	0	4	0.0175
254	100	44	0	0	0	2	0.02
250	100	48	0	0	0	4	0.0225
248	99	50	0	0	1	2	0.025
242	99	56	0	0	0	6	0.0275
237	99	61	0	0	0	5	0.03
229	98	69	0	0	1	7	0.0325
223	98	75	0	0	0	6	0.035
213	98	85	0	0	0	10	0.0375
208	98	89	0	0	1	6	0.04
202	99	93	0	0	1	4	0.0425
199	98	96	0	0	1	3	0.045
194	96	101	0	0	2	5	0.0475
188	96	107	0	0	0	6	0.05
186	96	109	0	0	0	3	0.0525
183	95	113	0	0	0	3	0.055
177	96	118	0	0	0	5	0.0575
169	96	125	0	0	1	7	0.06
164	96	130	0	0	0	5	0.0625
160	96	134	0	0	0	5	0.065
156	96	137	0	0	1	3	0.0675
156	96	137	0	0	0	1	0.07
154	96	138	0	0	1	1	0.0725
151	95	141	0	0	1	3	0.075
146	96	145	0	0	0	4	0.0775
141	96	150	0	0	0	5	0.08
141	95	151	0	0	0	1	0.0825
139	95	153	0	0	0	2	0.085
136	96	155	0	0	0	2	0.0875
132	95	159	0	0	1	4	0.09
130	95	161	0	0	0	2	0.0925
128	95	163	0	0	0	2	0.095
124	95	167	0	0	0	4	0.0975
121	96	169	0	0	0	2	0.1
119	97	170	0	0	0	1	0.1025
116	96	173	0	0	1	3	0.105
112	97	176	0	0	0	3	0.1075
110	96	179	0	0	0	2	0.11
106	96	183	0	0	0	4	0.1125
102	96	186	0	0	1	2	0.115
100	97	187	0	0	0	1	0.1175
97	98	189	0	0	0	2	0.12
95	99	190	0	0	0	2	0.1225
92	100	192	0	0	0	2	0.125
88	100	196	0	0	0	4	0.1275
88	99	196	0	0	1	0	0.13
86	99	198	0	0	0	2	0.1325
83	98	201	0	0	1	2	0.135
80	97	205	0	0	0	3	0.1375
80	97	205	0	0	0	0	0.14
80	97	205	0	0	0	0	0.1425
80	97	204	0	1	0	1	0.145
77	99	205	0	0	0	1	0.1475
75	99	207	0	0	0	2	0.15
76	98	206	0	0	1	0	0.1525
75	98	207	0	0	0	1	0.155
72	96	210	0	0	2	3	0.1575
71	95	211	0	0	1	1	0.16
69	96	212	0	0	0	1	0.1625
68	95	214	0	0	0	1	0.165
65	94	217	0	0	1	3	0.1675
63	93	220	0	0	0	3	0.17
63	93	220	0	0	0	1	0.1725
60	93	223	0	0	0	3	0.175
57	92	227	0	0	0	3	0.1775
56	92	228	0	0	0	1	0.18
54	91	231	0	0	0	2	0.1825
52	91	233	0	0	0	2	0.185
52	91	233	0	0	0	0	0.1875
51	91	234	0	0	0	1	0.19
49	92	235	0	0	0	1	0.1925
49	91	235	0	0	1	0	0.195
49	90	236	0	0	0	0	0.1975
49	90	236	0	0	0	0	0.2
48	89	237	0	0	1	1	0.2025
47	88	239	0	0	0	1	0.205
46	88	240	0	0	0	2	0.2075
46	88	241	1	0	0	2	0.21
46	88	241	0	0	0	1	0.2125
46	86	243	0	0	0	0	0.215
46	86	243	0	0	0	0	0.2175
45	86	244	0	0	0	1	0.22
44	85	245	0	0	1	1	0.2225
42	86	246	0	0	0	1	0.225
39	87	248	0	0	0	2	0.2275
39	87	248	0	0	0	0	0.23
39	87	248	0	0	0	1	0.2325
39	87	248	0	0	0	0	0.235
38	87	249	0	0	0	1	0.2375
36	88	250	0	0	0	1	0.24
36	88	250	0	0	0	1	0.2425
37	88	249	0	0	0	0	0.245
37	88	249	0	0	0	0	0.2475
36	88	250	0	0	0	1	0.25
36	88	250	0	0	0	1	0.2525
34	87	252	0	0	1	2	0.255
34	87	252	0	0	0	0	0.2575
35	86	252	0	0	0	0	0.26
35	86	252	0	0	0	0	0.2625
34	86	253	0	0	0	1	0.265
32	87	254	0	0	0	1	0.2675
31	87	255	0	0	0	1	0.27
29	88	256	0	0	0	1	0.2725
28	89	256	0	0	0	0	0.275
28	89	256	0	0	0	0	0.2775
28	88	257	0	0	0	0	0.28
29	87	256	0	0	1	0	0.2825
29	86	257	0	0	0	0	0.285
28	86	258	0	0	0	1	0.2875
26	85	261	0	0	0	2	0.29
26	84	262	0	0	0	0	0.2925
26	84	262	0	0	0	0	0.295
25	84	263	0	0	0	1	0.2975
25	84	263	0	0	0	0	0.3
25	83	264	0	0	0	0	0.3025
24	83	265	0	0	0	1	0.305
23	83	266	0	0	0	1	0.3075
23	83	266	0	0	0	0	0.31
24	82	266	0	0	0	0	0.3125
24	82	266	0	0	0	0	0.315
23	82	267	0	0	0	1	0.3175
22	81	268	0	0	1	1	0.32
22	79	270	0	0	0	0	0.3225
24	79	268	0	0	0	0	0.325
25	79	267	0	0	0	0	0.3275
25	78	268	0	0	0	0	0.33
27	78	266	0	0	0	0	0.3325
27	78	266	0	0	0	0	0.335
27	78	266	0	0	0	0	0.3375
27	77	267	0	0	0	0	0.34
27	77	267	0	0	0	0	0.3425
26	77	268	0	0	0	1	0.345
26	77	268	0	0	0	0	0.3475
26	76	269	0	0	0	1	0.35
26	76	269	0	0	0	0	0.3525
26	76	269	0	0	0	0	0.355
26	76	269	0	0	0	0	0.3575
25	76	270	0	0	0	1	0.36
23	76	272	0	0	0	2	0.3625
23	76	272	0	0	0	0	0.365
23	76	272	0	0	0	0	0.3675
24	75	272	0	0	0	0	0.37
24	75	272	0	0	0	0	0.3725
24	75	272	0	0	0	1	0.375
24	74	273	0	0	0	0	0.3775
23	74	274	0	0	0	1	0.38
23	74	274	0	0	0	0	0.3825
23	74	274	0	0	0	0	0.385
24	74	273	0	0	0	0	0.3875
26	74	271	0	0	0	0	0.39
25	75	271	0	0	0	0	0.3925
25	73	273	0	0	0	0	0.395
24	73	274	0	0	0	1	0.3975
23	73	274	0	0	1	0	0.4
22	73	275	0	0	0	1	0.4025
22	73	275	0	0	0	0	0.405
23	71	274	0	0	2	0	0.4075
