S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
298	102	0	0	0	0	0	0.00125
297	102	1	0	0	0	1	0.0025
297	100	3	0	0	0	0	0.00375
296	99	3	0	0	2	0	0.005
293	99	6	0	0	0	3	0.00625
292	99	6	0	0	1	0	0.0075
290	99	8	0	0	0	2	0.00875
290	99	8	0	0	0	0	0.01
288	100	9	0	0	0	1	0.01125
287	100	10	0	0	0	1	0.0125
286	99	12	0	0	0	1	0.01375
285	99	13	0	0	0	1	0.015
285	98	14	0	0	0	0	0.01625
283	97	16	0	0	1	2	0.0175
282	97	17	0	0	0	1	0.01875
277	100	19	0	0	0	2	0.02
274	100	22	0	0	0	3	0.02125
272	100	24	0	0	0	2	0.0225
272	100	24	0	0	0	0	0.02375
272	99	24	0	0	1	0	0.025
271	100	24	0	0	0	0	0.02625
271	100	24	0	0	0	0	0.0275
269	100	26	0	0	0	2	0.02875
269	100	26	0	0	0	0	0.03
268	100	27	0	0	0	0	0.03125
268	100	27	0	0	0	0	0.0325
265	101	29	0	0	0	2	0.03375
264	100	31	0	0	0	1	0.035
262	101	32	0	0	0	1	0.03625
262	100	33	0	0	0	0	0.0375
261	100	34	0	0	0	0	0.03875
259	99	36	0	0	1	1	0.04
256	101	37	0	0	0	1	0.04125
253	101	40	0	0	0	2	0.0425
252	101	41	0	0	0	1	0.04375
249	102	43	0	0	0	2	0.045
248	101	45	0	0	0	1	0.04625
247	101	46	0	0	0	1	0.0475
247	101	46	0	0	0	0	0.04875
245	101	48	0	0	0	2	0.05
245	101	48	0	0	0	0	0.05125
243	101	49	0	1	0	1	0.0525
243	100	49	0	0	1	0	0.05375
239	101	52	0	0	0	3	0.055
237	101	54	0	0	0	2	0.05625
237	101	54	0	0	0	0	0.0575
235	103	54	0	0	0	0	0.05875
233	103	56	0	0	0	2	0.06
233	102	56	0	0	1	0	0.06125
233	102	56	0	0	0	0	0.0625
230	104	57	0	0	0	1	0.06375
230	104	57	0	0	0	0	0.065
230	102	59	0	0	0	0	0.06625
229	102	60	0	0	0	1	0.0675
226	100	64	0	0	1	3	0.06875
226	99	64	0	0	1	0	0.07
224	100	65	0	0	0	1	0.07125
224	100	65	0	0	0	0	0.0725
225	100	64	0	0	0	0	0.07375
224	101	64	0	0	0	0	0.075
222	101	66	0	0	0	2	0.07625
221	101	67	0	0	0	1	0.0775
219	100	70	0	0	0	1	0.07875
219	100	70	0	0	0	0	0.08
217	100	72	0	0	0	2	0.08125
217	100	72	0	0	0	0	0.0825
214	101	74	0	0	0	2	0.08375
213	101	75	0	0	0	1	0.085
213	101	75	0	0	0	0	0.08625
212	100	77	0	0	0	1	0.0875
211	101	77	0	0	0	0	0.08875
211	100	78	0	0	0	0	0.09
209	101	79	0	0	0	1	0.09125
208	101	80	0	0	0	1	0.0925
207	101	81	0	0	0	1	0.09375
205	101	83	0	0	0	1	0.095
204	102	83	0	0	0	0	0.09625
203	103	83	0	0	0	0	0.0975
202	103	84	0	0	0	1	0.09875
202	102	85	0	0	0	0	0.1
200	103	86	0	0	0	1	0.10125
199	104	86	0	0	0	0	0.1025
197	104	88	0	0	0	2	0.10375
197	104	88	0	0	0	0	0.105
196	103	90	0	0	0	1	0.10625
196	103	90	0	0	0	0	0.1075
196	103	90	0	0	0	0	0.10875
196	103	90	0	0	0	0	0.11
196	103	90	0	0	0	0	0.11125
196	103	90	0	0	0	0	0.1125
196	103	90	0	0	0	0	0.11375
195	103	91	0	0	0	1	0.115
195	103	91	0	0	0	0	0.11625
195	102	91	0	0	1	0	0.1175
195	102	91	0	0	0	0	0.11875
195	102	91	0	0	0	1	0.12
195	102	91	0	0	0	0	0.12125
195	102	91	0	0	0	0	0.1225
194	102	92	0	0	0	1	0.12375
191	105	92	0	0	0	0	0.125
190	106	92	0	0	0	0	0.12625
188	105	94	0	0	1	2	0.1275
187	105	95	0	0	0	1	0.12875
186	105	96	0	0	0	1	0.13
186	105	96	0	0	0	0	0.13125
185	105	97	0	0	0	1	0.1325
184	106	97	0	0	0	0	0.13375
183	107	97	0	0	0	0	0.135
183	107	97	0	0	0	0	0.13625
183	107	97	0	0	0	0	0.1375
183	106	97	0	0	1	0	0.13875
182	106	98	0	0	0	1	0.14
181	106	99	0	0	0	1	0.14125
180	106	100	0	0	0	1	0.1425
179	106	101	0	0	0	1	0.14375
