S	I	R	e	d	dI	f	t
380	20	0	0	0	0	0	0
379	21	0	0	0	0	0	0.00125
379	21	0	0	0	0	0	0.0025
379	21	0	0	0	0	0	0.00375
378	22	0	0	0	0	0	0.005
378	22	0	0	0	0	0	0.00625
378	22	0	0	0	0	0	0.0075
378	22	0	0	0	0	0	0.00875
378	22	0	0	0	0	0	0.01
378	22	0	0	0	0	0	0.01125
378	22	0	0	0	0	0	0.0125
377	23	0	0	0	0	0	0.01375
376	24	0	0	0	0	0	0.015
376	24	0	0	0	0	0	0.01625
376	24	0	0	0	0	0	0.0175
376	24	0	0	0	0	0	0.01875
376	24	0	0	0	0	0	0.02
376	23	1	0	0	0	0	0.02125
376	23	1	0	0	0	0	0.0225
376	23	1	0	0	0	0	0.02375
375	24	1	0	0	0	0	0.025
375	24	1	0	0	0	0	0.02625
375	24	1	0	0	0	0	0.0275
375	24	1	0	0	0	0	0.02875
375	24	1	0	0	0	0	0.03
375	24	1	0	0	0	0	0.03125
375	24	1	0	0	0	0	0.0325
375	24	1	0	0	0	0	0.03375
375	24	1	0	0	0	0	0.035
374	25	1	0	0	0	0	0.03625
374	25	1	0	0	0	0	0.0375
374	25	1	0	0	0	0	0.03875
374	25	1	0	0	0	0	0.04
374	25	1	0	0	0	0	0.04125
374	25	1	0	0	0	0	0.0425
374	25	1	0	0	0	0	0.04375
374	25	1	0	0	0	0	0.045
374	25	1	0	0	0	0	0.04625
374	25	1	0	0	0	0	0.0475
374	25	1	0	0	0	0	0.04875
374	25	1	0	0	0	0	0.05
374	25	1	0	0	0	0	0.05125
374	25	1	0	0	0	0	0.0525
374	25	1	0	0	0	0	0.05375
373	26	1	0	0	0	0	0.055
373	26	1	0	0	0	0	0.05625
373	26	1	0	0	0	0	0.0575
372	27	1	0	0	0	0	0.05875
372	27	1	0	0	0	0	0.06
372	27	1	0	0	0	0	0.06125
372	27	1	0	0	0	0	0.0625
372	27	1	0	0	0	0	0.06375
371	27	1	0	1	0	0	0.065
371	27	1	0	0	0	0	0.06625
370	27	1	0	1	0	0	0.0675
370	27	1	0	0	0	0	0.06875
370	27	1	0	0	0	0	0.07
370	27	1	0	0	0	0	0.07125
370	27	1	0	0	0	0	0.0725
370	27	1	0	0	0	0	0.07375
370	27	1	0	0	0	0	0.075
370	27	1	0	0	0	0	0.07625
370	27	1	0	0	0	0	0.0775
370	27	1	0	0	0	0	0.07875
369	28	1	0	0	0	0	0.08
369	28	1	0	0	0	0	0.08125
369	28	1	0	0	0	0	0.0825
369	28	1	0	0	0	0	0.08375
369	28	1	0	0	0	0	0.085
369	28	1	0	0	0	0	0.08625
369	28	1	0	0	0	0	0.0875
369	28	1	0	0	0	0	0.08875
369	28	1	0	0	0	0	0.09
369	28	1	0	0	0	0	0.09125
369	28	1	0	0	0	0	0.0925
369	28	1	0	0	0	0	0.09375
367	30	1	0	0	0	0	0.095
367	30	1	0	0	0	0	0.09625
366	31	1	0	0	0	0	0.0975
366	31	1	0	0	0	0	0.09875
366	31	1	0	0	0	0	0.1
366	31	1	0	0	0	0	0.10125
366	31	1	0	0	0	0	0.1025
366	31	1	0	0	0	0	0.10375
365	32	1	0	0	0	0	0.105
365	32	1	0	0	0	0	0.10625
365	32	1	0	0	0	0	0.1075
365	32	1	0	0	0	0	0.10875
365	32	1	0	0	0	0	0.11
365	32	1	0	0	0	0	0.11125
365	32	1	0	0	0	0	0.1125
365	32	1	0	0	0	0	0.11375
365	32	1	0	0	0	0	0.115
364	33	1	0	0	0	0	0.11625
364	33	1	0	0	0	0	0.1175
364	33	1	0	0	0	0	0.11875
363	33	2	0	0	0	0	0.12
363	33	2	0	0	0	0	0.12125
362	34	2	0	0	0	0	0.1225
362	34	2	0	0	0	0	0.12375
362	34	2	0	0	0	0	0.125
362	34	2	0	0	0	0	0.12625
362	34	2	0	0	0	0	0.1275
360	35	3	0	0	0	0	0.12875
359	36	3	0	0	0	0	0.13
359	36	3	0	0	0	0	0.13125
359	35	4	0	0	0	0	0.1325
359	35	4	0	0	0	0	0.13375
359	35	4	0	0	0	0	0.135
359	35	4	0	0	0	0	0.13625
359	35	4	0	0	0	0	0.1375
359	35	4	0	0	0	0	0.13875
359	35	4	0	0	0	0	0.14
358	35	4	0	1	0	0	0.14125
357	36	4	0	0	0	0	0.1425
356	37	4	0	0	0	0	0.14375
355	38	4	0	0	0	0	0.145
355	38	4	0	0	0	0	0.14625
355	37	5	0	0	0	0	0.1475
355	37	5	0	0	0	0	0.14875
355	37	5	0	0	0	0	0.15
355	37	5	0	0	0	0	0.15125
355	37	5	0	0	0	0	0.1525
355	37	5	0	0	0	0	0.15375
355	37	5	0	0	0	0	0.155
355	37	5	0	0	0	0	0.15625
