S	I	R	e	d	dI	f	t
380	20	0	0	0	0	0	0
379	21	0	0	0	0	0	0.00125
379	21	0	0	0	0	0	0.0025
379	21	0	0	0	0	0	0.00375
379	21	0	0	0	0	0	0.005
379	21	0	0	0	0	0	0.00625
379	21	0	0	0	0	0	0.0075
379	21	0	0	0	0	0	0.00875
379	21	0	0	0	0	0	0.01
379	21	0	0	0	0	0	0.01125
379	21	0	0	0	0	0	0.0125
379	21	0	0	0	0	0	0.01375
379	21	0	0	0	0	0	0.015
379	21	0	0	0	0	0	0.01625
379	21	0	0	0	0	0	0.0175
378	22	0	0	0	0	0	0.01875
378	22	0	0	0	0	0	0.02
378	22	0	0	0	0	0	0.02125
378	22	0	0	0	0	0	0.0225
378	22	0	0	0	0	0	0.02375
378	22	0	0	0	0	0	0.025
378	22	0	0	0	0	0	0.02625
378	21	1	0	0	0	0	0.0275
377	22	1	0	0	0	0	0.02875
377	22	1	0	0	0	0	0.03
377	21	2	0	0	0	0	0.03125
377	21	2	0	0	0	0	0.0325
377	21	2	0	0	0	0	0.03375
376	22	2	0	0	0	0	0.035
376	22	2	0	0	0	0	0.03625
376	22	2	0	0	0	0	0.0375
376	20	3	0	0	1	0	0.03875
375	21	3	0	0	0	0	0.04
374	22	3	0	0	0	0	0.04125
374	22	3	0	0	0	0	0.0425
375	22	3	1	0	0	0	0.04375
375	22	3	0	0	0	0	0.045
375	22	3	0	0	0	0	0.04625
375	22	3	0	0	0	0	0.0475
375	22	3	0	0	0	0	0.04875
375	22	3	0	0	0	0	0.05
375	22	3	0	0	0	0	0.05125
375	22	3	0	0	0	0	0.0525
375	22	3	0	0	0	0	0.05375
375	22	3	0	0	0	0	0.055
375	22	3	0	0	0	0	0.05625
373	24	3	0	0	0	0	0.0575
373	24	3	0	0	0	0	0.05875
373	24	3	0	0	0	0	0.06
373	24	3	0	0	0	0	0.06125
373	24	3	0	0	0	0	0.0625
373	24	3	0	0	0	0	0.06375
373	24	3	0	0	0	0	0.065
373	24	3	0	0	0	0	0.06625
373	24	3	0	0	0	0	0.0675
373	24	3	0	0	0	0	0.06875
373	24	3	0	0	0	0	0.07
373	24	3	0	0	0	0	0.07125
373	24	3	0	0	0	0	0.0725
373	24	3	0	0	0	0	0.07375
373	24	3	0	0	0	0	0.075
373	24	3	0	0	0	0	0.07625
372	26	3	1	0	0	0	0.0775
372	25	3	0	0	1	0	0.07875
372	25	3	0	0	0	0	0.08
372	25	3	0	0	0	0	0.08125
372	25	3	0	0	0	0	0.0825
372	25	3	0	0	0	0	0.08375
372	25	3	0	0	0	0	0.085
372	25	3	0	0	0	0	0.08625
372	25	3	0	0	0	0	0.0875
372	25	3	0	0	0	0	0.08875
372	25	3	0	0	0	0	0.09
372	25	3	0	0	0	0	0.09125
371	25	4	0	0	0	0	0.0925
370	26	4	0	0	0	0	0.09375
370	26	4	0	0	0	0	0.095
370	26	4	0	0	0	0	0.09625
370	26	4	0	0	0	0	0.0975
370	25	4	0	0	1	0	0.09875
370	25	4	0	0	0	0	0.1
370	25	4	0	0	0	0	0.10125
370	25	4	0	0	0	0	0.1025
370	25	4	0	0	0	0	0.10375
370	25	4	0	0	0	0	0.105
370	25	4	0	0	0	0	0.10625
370	25	4	0	0	0	0	0.1075
370	25	4	0	0	0	0	0.10875
370	25	4	0	0	0	0	0.11
370	25	4	0	0	0	0	0.11125
370	25	4	0	0	0	0	0.1125
370	25	4	0	0	0	0	0.11375
371	25	4	1	0	0	0	0.115
371	25	4	0	0	0	0	0.11625
371	25	4	0	0	0	0	0.1175
371	25	4	0	0	0	0	0.11875
370	26	4	0	0	0	0	0.12
370	26	4	0	0	0	0	0.12125
370	26	4	0	0	0	0	0.1225
369	27	4	0	0	0	0	0.12375
368	27	4	0	1	0	0	0.125
368	27	4	0	0	0	0	0.12625
368	27	4	0	0	0	0	0.1275
368	27	4	0	0	0	0	0.12875
368	27	4	0	0	0	0	0.13
367	28	4	0	0	0	0	0.13125
366	29	4	0	0	0	0	0.1325
366	29	4	0	0	0	0	0.13375
366	29	4	0	0	0	0	0.135
365	30	4	0	0	0	0	0.13625
364	31	4	0	0	0	0	0.1375
364	30	5	0	0	0	0	0.13875
364	30	5	0	0	0	0	0.14
364	30	5	0	0	0	0	0.14125
363	31	5	0	0	0	0	0.1425
363	31	5	0	0	0	0	0.14375
363	31	5	0	0	0	0	0.145
364	31	5	1	0	0	0	0.14625
364	31	5	0	0	0	0	0.1475
362	33	5	0	0	0	0	0.14875
361	33	6	0	0	0	0	0.15
361	33	6	0	0	0	0	0.15125
361	33	6	0	0	0	0	0.1525
361	33	6	0	0	0	0	0.15375
360	34	6	0	0	0	0	0.155
359	35	6	0	0	0	0	0.15625
