S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
299	101	0	0	0	0	0	0.00125
299	99	2	0	0	0	0	0.0025
299	99	2	0	0	0	0	0.00375
299	99	2	0	0	0	0	0.005
298	99	2	0	0	1	0	0.00625
298	99	2	0	0	0	0	0.0075
297	99	3	0	0	0	0	0.00875
296	100	3	0	0	0	0	0.01
296	98	5	0	0	0	0	0.01125
294	100	5	0	0	0	0	0.0125
293	100	5	0	0	1	0	0.01375
292	101	5	0	0	0	0	0.015
292	100	5	0	0	1	0	0.01625
290	102	5	0	0	0	0	0.0175
290	102	5	0	0	0	0	0.01875
289	102	6	0	0	0	0	0.02
288	103	6	0	0	0	0	0.02125
288	103	6	0	0	0	0	0.0225
288	103	6	0	0	0	0	0.02375
287	104	6	0	0	0	0	0.025
285	105	7	0	0	0	0	0.02625
284	106	7	0	0	0	0	0.0275
282	108	7	0	0	0	0	0.02875
282	108	7	0	0	0	0	0.03
282	107	7	0	0	1	0	0.03125
282	107	7	0	0	0	0	0.0325
281	107	8	0	0	0	0	0.03375
281	107	8	0	0	0	0	0.035
281	106	8	0	0	1	0	0.03625
281	106	8	0	0	0	0	0.0375
279	108	8	0	0	0	0	0.03875
279	108	8	0	0	0	0	0.04
279	108	8	0	0	0	0	0.04125
279	108	8	0	0	0	0	0.0425
279	108	8	0	0	0	0	0.04375
279	108	8	0	0	0	0	0.045
279	108	8	0	0	0	0	0.04625
278	109	8	0	0	0	0	0.0475
278	109	8	0	0	0	0	0.04875
277	109	8	0	0	1	0	0.05
277	108	9	0	0	0	0	0.05125
277	107	10	0	0	0	0	0.0525
276	108	10	0	0	0	0	0.05375
276	108	10	0	0	0	0	0.055
276	107	11	0	0	0	0	0.05625
275	108	11	0	0	0	0	0.0575
275	108	11	0	0	0	0	0.05875
275	108	11	0	0	0	0	0.06
274	108	12	0	0	0	0	0.06125
273	107	12	0	0	2	0	0.0625
273	107	12	0	0	0	0	0.06375
271	108	13	0	0	0	0	0.065
271	108	13	0	0	0	0	0.06625
271	108	13	0	0	0	0	0.0675
271	106	14	0	0	1	0	0.06875
271	105	14	0	0	1	0	0.07
270	106	14	0	0	0	0	0.07125
270	105	14	0	0	1	0	0.0725
269	106	14	0	0	0	0	0.07375
269	106	14	0	0	0	0	0.075
269	106	14	0	0	0	0	0.07625
269	106	14	0	0	0	0	0.0775
266	109	14	0	0	0	0	0.07875
264	111	14	0	0	0	0	0.08
265	111	14	1	0	0	0	0.08125
265	111	14	0	0	0	0	0.0825
264	112	14	0	0	0	0	0.08375
264	112	14	0	0	0	0	0.085
263	113	14	0	0	0	0	0.08625
263	113	14	0	0	0	0	0.0875
262	114	14	0	0	0	0	0.08875
262	114	14	0	0	0	0	0.09
261	114	14	0	0	1	0	0.09125
261	114	14	0	0	0	0	0.0925
260	115	14	0	0	0	0	0.09375
260	114	15	0	0	0	0	0.095
259	114	16	0	0	0	0	0.09625
259	112	17	0	0	1	0	0.0975
259	112	17	0	0	0	0	0.09875
258	113	17	0	0	0	0	0.1
258	113	17	0	0	0	0	0.10125
258	113	17	0	0	0	0	0.1025
256	115	17	0	0	0	0	0.10375
255	115	18	0	0	0	0	0.105
255	115	18	0	0	0	0	0.10625
255	114	19	0	0	0	0	0.1075
254	115	19	0	0	0	0	0.10875
254	115	19	0	0	0	0	0.11
254	115	19	0	0	0	0	0.11125
254	115	19	0	0	0	0	0.1125
253	115	20	0	0	0	0	0.11375
253	113	20	0	0	2	0	0.115
253	112	21	0	0	0	0	0.11625
250	115	21	0	0	0	0	0.1175
250	114	21	0	0	1	0	0.11875
250	114	21	0	0	0	0	0.12
250	114	21	0	0	0	0	0.12125
249	114	22	0	0	0	0	0.1225
248	114	23	0	0	0	0	0.12375
247	115	23	0	0	0	0	0.125
247	115	23	0	0	0	0	0.12625
246	116	23	0	0	0	0	0.1275
246	116	23	0	0	0	0	0.12875
246	115	24	0	0	0	0	0.13
246	114	25	0	0	0	0	0.13125
246	114	25	0	0	0	0	0.1325
246	114	25	0	0	0	0	0.13375
246	114	25	0	0	0	0	0.135
246	112	27	0	0	0	0	0.13625
246	112	26	0	1	0	0	0.1375
246	111	27	0	0	0	0	0.13875
246	109	29	0	0	0	0	0.14
246	108	30	0	0	0	0	0.14125
246	107	31	0	0	0	0	0.1425
246	107	31	0	0	0	0	0.14375
246	106	31	0	0	1	0	0.145
247	105	31	0	0	0	0	0.14625
247	104	32	0	0	0	0	0.1475
247	104	32	0	0	0	0	0.14875
247	104	32	0	0	0	0	0.15
247	103	32	0	0	1	0	0.15125
247	103	32	0	0	0	0	0.1525
246	102	33	0	0	1	0	0.15375
246	101	34	0	0	0	0	0.155
246	101	34	0	0	0	0	0.15625
246	100	34	0	0	1	0	0.1575
246	100	34	0	0	0	0	0.15875
246	100	34	0	0	0	0	0.16
246	100	34	0	0	0	0	0.16125
246	100	34	0	0	0	0	0.1625
246	100	34	0	0	0	0	0.16375
245	99	35	0	0	1	0	0.165
245	98	36	0	0	0	0	0.16625
245	98	36	0	0	0	0	0.1675
244	99	36	0	0	0	0	0.16875
244	98	37	0	0	0	0	0.17
244	98	37	0	0	0	0	0.17125
244	97	38	0	0	0	0	0.1725
243	98	38	0	0	0	0	0.17375
243	98	38	0	0	0	0	0.175
242	99	38	0	0	0	0	0.17625
242	98	39	0	0	0	0	0.1775
241	98	40	0	0	0	0	0.17875
240	98	41	0	0	0	0	0.18
239	99	41	0	0	0	0	0.18125
240	97	42	0	0	0	0	0.1825
240	95	43	0	0	1	0	0.18375
239	96	43	0	0	0	0	0.185
239	96	43	0	0	0	0	0.18625
238	95	44	0	0	1	0	0.1875
238	95	44	0	0	0	0	0.18875
238	95	44	0	0	0	0	0.19
238	94	45	0	0	0	0	0.19125
237	95	45	0	0	0	0	0.1925
237	95	45	0	0	0	0	0.19375
