S	I	R	t
300	100	0	0
295.028	101.639	3.33304	0.0166667
290.072	103.224	6.70375	0.0333333
285.154	104.747	10.0984	0.05
280.278	106.207	13.5146	0.0666667
275.45	107.6	16.9499	0.0833333
270.674	108.924	20.4021	0.1
265.954	110.178	23.8686	0.116667
261.295	111.358	27.347	0.133333
256.7	112.465	30.8347	0.15
252.175	113.496	34.3292	0.166667
247.721	114.451	37.8278	0.183333
243.342	115.33	41.3281	0.2
239.042	116.131	44.8274	0.216667
234.823	116.854	48.3231	0.233333
230.687	117.5	51.8128	0.25
226.637	118.069	55.2939	0.266667
222.674	118.562	58.7639	0.283333
218.801	118.978	62.2205	0.3
215.019	119.32	65.6611	0.316667
211.328	119.589	69.0835	0.333333
207.73	119.785	72.4853	0.35
204.226	119.91	75.8645	0.366667
200.816	119.966	79.2187	0.383333
197.5	119.954	82.546	0.4
194.278	119.877	85.8444	0.416667
191.151	119.737	89.112	0.433333
188.118	119.535	92.3469	0.45
185.178	119.274	95.5474	0.466667
182.332	118.956	98.7118	0.483333
179.578	118.584	101.839	0.5
176.915	118.159	104.926	0.516667
174.343	117.684	107.974	0.533333
171.86	117.161	110.979	0.55
169.465	116.593	113.942	0.566667
167.158	115.982	116.86	0.583333
164.935	115.331	119.734	0.6
162.798	114.641	122.561	0.616667
160.743	113.916	125.342	0.633333
158.769	113.157	128.074	0.65
156.874	112.367	130.759	0.666667
155.058	111.547	133.394	0.683333
153.319	110.701	135.98	0.7
151.654	109.83	138.516	0.716667
150.062	108.936	141.002	0.733333
148.542	108.02	143.437	0.75
147.092	107.086	145.821	0.766667
145.71	106.135	148.154	0.783333
144.395	105.169	150.436	0.8
143.144	104.189	152.667	0.816667
141.957	103.197	154.847	0.833333
140.831	102.195	156.975	0.85
139.765	101.183	159.052	0.866667
138.757	100.165	161.078	0.883333
137.806	99.14	163.053	0.9
136.911	98.1106	164.978	0.916667
136.069	97.0778	166.853	0.933333
135.279	96.0427	168.678	0.95
134.541	95.0064	170.453	0.966667
133.851	93.97	172.179	0.983333
133.209	92.9346	173.856	1
132.614	91.901	175.485	1.01667
132.063	90.8702	177.066	1.03333
131.557	89.8429	178.6	1.05
131.093	88.82	180.087	1.06667
