S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
297.005	100.99	2.00493	0	0	0	0	0.01
294.016	101.961	4.02284	0	0	0	0	0.02
291.04	102.911	6.04991	0	0	0	0	0.03
288.076	103.838	8.08566	0	0	0	0	0.04
285.127	104.743	10.1296	0	0	0	0	0.05
282.194	105.625	12.1812	0	0	0	0	0.06
279.276	106.484	14.24	0	0	0	0	0.07
276.377	107.318	16.3055	0	0	0	0	0.08
273.496	108.127	18.3772	0	0	0	0	0.09
270.635	108.911	20.4544	0	0	0	0	0.1
267.794	109.67	22.5368	0	0	0	0	0.11
264.974	110.402	24.6236	0	0	0	0	0.12
262.177	111.109	26.7145	0	0	0	0	0.13
259.403	111.788	28.8089	0	0	0	0	0.14
256.653	112.441	30.9061	0	0	0	0	0.15
253.927	113.067	33.0057	0	0	0	0	0.16
251.228	113.665	35.107	0	0	0	0	0.17
248.554	114.236	37.2096	0	0	0	0	0.18
245.908	114.779	39.3129	0	0	0	0	0.19
243.289	115.295	41.4163	0	0	0	0	0.2
240.699	115.782	43.5192	0	0	0	0	0.21
238.137	116.242	45.6212	0	0	0	0	0.22
235.605	116.673	47.7216	0	0	0	0	0.23
233.103	117.077	49.8199	0	0	0	0	0.24
230.631	117.453	51.9155	0	0	0	0	0.25
228.191	117.801	54.008	0	0	0	0	0.26
225.781	118.122	56.0967	0	0	0	0	0.27
223.404	118.415	58.1812	0	0	0	0	0.28
221.058	118.681	60.2609	0	0	0	0	0.29
218.745	118.92	62.3353	0	0	0	0	0.3
216.465	119.131	64.4038	0	0	0	0	0.31
214.217	119.317	66.466	0	0	0	0	0.32
212.003	119.475	68.5214	0	0	0	0	0.33
209.823	119.608	70.5695	0	0	0	0	0.34
207.676	119.715	72.6098	0	0	0	0	0.35
205.562	119.796	74.6418	0	0	0	0	0.36
203.483	119.852	76.665	0	0	0	0	0.37
201.437	119.884	78.6791	0	0	0	0	0.38
199.426	119.891	80.6835	0	0	0	0	0.39
197.448	119.874	82.6778	0	0	0	0	0.4
195.504	119.834	84.6616	0	0	0	0	0.41
193.595	119.771	86.6345	0	0	0	0	0.42
191.719	119.684	88.5961	0	0	0	0	0.43
189.878	119.576	90.546	0	0	0	0	0.44
188.07	119.446	92.4837	0	0	0	0	0.45
186.296	119.295	94.409	0	0	0	0	0.46
184.556	119.123	96.3215	0	0	0	0	0.47
182.849	118.931	98.2208	0	0	0	0	0.48
181.175	118.718	100.107	0	0	0	0	0.49
179.534	118.487	101.979	0	0	0	0	0.5
177.927	118.237	103.836	0	0	0	0	0.51
176.352	117.968	105.68	0	0	0	0	0.52
174.81	117.682	107.508	0	0	0	0	0.53
173.3	117.378	109.322	0	0	0	0	0.54
171.822	117.058	111.12	0	0	0	0	0.55
170.375	116.722	112.903	0	0	0	0	0.56
168.961	116.369	114.67	0	0	0	0	0.57
167.577	116.002	116.421	0	0	0	0	0.58
166.224	115.62	118.156	0	0	0	0	0.59
164.902	115.223	119.874	0	0	0	0	0.6
163.611	114.813	121.576	0	0	0	0	0.61
162.349	114.39	123.261	0	0	0	0	0.62
161.117	113.954	124.929	0	0	0	0	0.63
159.914	113.506	126.58	0	0	0	0	0.64
158.741	113.046	128.213	0	0	0	0	0.65
157.596	112.575	129.829	0	0	0	0	0.66
156.479	112.094	131.427	0	0	0	0	0.67
155.39	111.602	133.008	0	0	0	0	0.68
154.329	111.1	134.571	0	0	0	0	0.69
153.296	110.589	136.116	0	0	0	0	0.7
152.289	110.068	137.643	0	0	0	0	0.71
151.309	109.54	139.151	0	0	0	0	0.72
150.355	109.003	140.642	0	0	0	0	0.73
149.427	108.459	142.114	0	0	0	0	0.74
148.524	107.908	143.568	0	0	0	0	0.75
147.647	107.349	145.004	0	0	0	0	0.76
146.794	106.785	146.421	0	0	0	0	0.77
145.966	106.214	147.82	0	0	0	0	0.78
145.162	105.638	149.201	0	0	0	0	0.79
144.381	105.057	150.562	0	0	0	0	0.8
143.624	104.47	151.906	0	0	0	0	0.81
142.89	103.88	153.231	0	0	0	0	0.82
142.178	103.285	154.537	0	0	0	0	0.83
141.489	102.686	155.825	0	0	0	0	0.84
140.821	102.084	157.095	0	0	0	0	0.85
140.176	101.478	158.346	0	0	0	0	0.86
139.551	100.87	159.579	0	0	0	0	0.87
138.947	100.259	160.793	0	0	0	0	0.88
138.364	99.6463	161.989	0	0	0	0	0.89
137.801	99.0314	163.167	0	0	0	0	0.9
137.258	98.4148	164.327	0	0	0	0	0.91
136.735	97.7968	165.468	0	0	0	0	0.92
136.23	97.1776	166.592	0	0	0	0	0.93
135.745	96.5576	167.697	0	0	0	0	0.94
135.278	95.937	168.785	0	0	0	0	0.95
134.83	95.3159	169.854	0	0	0	0	0.96
134.399	94.6947	170.906	0	0	0	0	0.97
133.986	94.0736	171.941	0	0	0	0	0.98
133.59	93.4527	172.957	0	0	0	0	0.99
133.211	92.8323	173.956	0	0	0	0	1
132.849	92.2127	174.938	0	0	0	0	1.01
132.504	91.5938	175.902	0	0	0	0	1.02
132.174	90.9761	176.85	0	0	0	0	1.03
131.861	90.3596	177.78	0	0	0	0	1.04
131.563	89.7445	178.693	0	0	0	0	1.05
131.28	89.131	179.589	0	0	0	0	1.06
131.012	88.5193	180.469	0	0	0	0	1.07
130.759	87.9094	181.332	0	0	0	0	1.08
130.52	87.3016	182.178	0	0	0	0	1.09
130.296	86.696	183.008	0	0	0	0	1.1
