S	I	R	t
300	100	0	0
290.018	106.636	3.34655	0.0333333
279.679	113.408	6.91253	0.0666667
269.155	120.199	10.646	0.1
258.504	126.953	14.5423	0.133333
247.789	133.614	18.5967	0.166667
237.07	140.127	22.8028	0.2
226.409	146.439	27.1524	0.233333
215.867	152.498	31.6358	0.266667
205.501	158.257	36.2416	0.3
195.366	163.677	40.9574	0.333333
185.511	168.72	45.7696	0.366667
175.979	173.358	50.6636	0.4
166.806	177.57	55.6243	0.433333
158.024	181.34	60.6364	0.466667
149.655	184.661	65.6841	0.5
141.716	187.532	70.7521	0.533333
134.219	189.956	75.8249	0.566667
127.167	191.945	80.888	0.6
120.562	193.511	85.9272	0.633333
114.398	194.673	90.9291	0.666667
108.666	195.453	95.8813	0.7
103.355	195.872	100.772	0.733333
98.4519	195.957	105.591	0.766667
93.9393	195.732	110.329	0.8
89.8001	195.223	114.977	0.833333
86.0161	194.457	119.527	0.866667
82.5684	193.458	123.973	0.9
79.4379	192.252	128.31	0.933333
76.6059	190.862	132.532	0.966667
74.0536	189.31	136.636	1
71.7631	187.618	140.619	1.03333
69.7169	185.806	144.478	1.06667
67.8984	183.891	148.211	1.1
66.2917	181.89	151.818	1.13333
64.8817	179.82	155.298	1.16667
63.6543	177.694	158.651	1.2
62.5961	175.526	161.878	1.23333
61.6945	173.327	164.979	1.26667
60.9379	171.107	167.955	1.3
60.3154	168.876	170.809	1.33333
59.8166	166.642	173.541	1.36667
59.4322	164.414	176.154	1.4
59.1533	162.196	178.65	1.43333
58.9718	159.996	181.032	1.46667
58.8799	157.818	183.302	1.5
58.8707	155.667	185.462	1.53333
58.9375	153.546	187.516	1.56667
59.0744	151.459	189.466	1.6
59.2755	149.409	191.316	1.63333
59.5357	147.397	193.067	1.66667
59.8501	145.427	194.723	1.7
60.2142	143.498	196.287	1.73333
60.6237	141.614	197.762	1.76667
61.0747	139.774	199.151	1.8
61.5635	137.98	200.457	1.83333
62.0867	136.231	201.682	1.86667
62.6413	134.529	202.83	1.9
63.2241	132.873	203.903	1.93333
63.8324	131.264	204.904	1.96667
64.4637	129.7	205.836	2
65.1156	128.183	206.701	2.03333
65.7856	126.712	207.503	2.06667
66.4718	125.285	208.243	2.1
67.1722	123.904	208.924	2.13333
67.8848	122.566	209.549	2.16667
68.608	121.272	210.12	2.2
69.3401	120.021	210.639	2.23333
70.0795	118.812	211.109	2.26667
70.8249	117.644	211.531	2.3
71.5748	116.517	211.908	2.33333
72.3279	115.429	212.243	2.36667
73.0831	114.381	212.536	2.4
73.8392	113.37	212.791	2.43333
74.5952	112.397	213.008	2.46667
75.35	111.46	213.19	2.5
76.1027	110.559	213.338	2.53333
76.8524	109.693	213.455	2.56667
77.5982	108.861	213.541	2.6
78.3395	108.061	213.599	2.63333
79.0754	107.294	213.63	2.66667
79.8052	106.559	213.636	2.7
80.5283	105.854	213.617	2.73333
81.2441	105.18	213.576	2.76667
81.952	104.534	213.514	2.8
82.6514	103.917	213.432	2.83333
83.3419	103.328	213.331	2.86667
84.023	102.765	213.212	2.9
84.6942	102.228	213.077	2.93333
85.3552	101.717	212.928	2.96667
86.0055	101.231	212.764	3
86.6449	100.769	212.587	3.03333
87.2729	100.33	212.397	3.06667
87.8894	99.9133	212.197	3.1
88.494	99.519	211.987	3.13333
89.0865	99.1461	211.767	3.16667
89.6666	98.794	211.539	3.2
90.2343	98.462	211.304	3.23333
