S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
296.998	101.997	1.00498	0	0	0	0	0.01
293.962	104.01	2.02827	0	0	0	0	0.02
290.903	106.03	3.06664	0	0	0	0	0.03
287.823	108.057	4.12004	0	0	0	0	0.04
284.723	110.088	5.18847	0	0	0	0	0.05
281.605	112.123	6.27189	0	0	0	0	0.06
278.47	114.16	7.37024	0	0	0	0	0.07
275.319	116.197	8.48348	0	0	0	0	0.08
272.154	118.234	9.61153	0	0	0	0	0.09
268.977	120.268	10.7543	0	0	0	0	0.1
265.789	122.299	11.9117	0	0	0	0	0.11
262.592	124.324	13.0835	0	0	0	0	0.12
259.388	126.342	14.2698	0	0	0	0	0.13
256.177	128.352	15.4702	0	0	0	0	0.14
252.962	130.353	16.6848	0	0	0	0	0.15
249.745	132.342	17.9132	0	0	0	0	0.16
246.527	134.318	19.1553	0	0	0	0	0.17
243.309	136.28	20.4109	0	0	0	0	0.18
240.094	138.226	21.6797	0	0	0	0	0.19
236.883	140.155	22.9617	0	0	0	0	0.2
233.678	142.066	24.2564	0	0	0	0	0.21
230.48	143.957	25.5637	0	0	0	0	0.22
227.291	145.826	26.8833	0	0	0	0	0.23
224.113	147.672	28.2148	0	0	0	0	0.24
220.947	149.495	29.5581	0	0	0	0	0.25
217.795	151.293	30.9128	0	0	0	0	0.26
214.658	153.064	32.2786	0	0	0	0	0.27
211.538	154.807	33.6551	0	0	0	0	0.28
208.436	156.521	35.0421	0	0	0	0	0.29
205.355	158.206	36.4391	0	0	0	0	0.3
202.294	159.86	37.8459	0	0	0	0	0.31
199.256	161.482	39.2621	0	0	0	0	0.32
196.242	163.071	40.6873	0	0	0	0	0.33
193.253	164.626	42.1211	0	0	0	0	0.34
190.29	166.147	43.5631	0	0	0	0	0.35
187.355	167.632	45.013	0	0	0	0	0.36
184.448	169.081	46.4703	0	0	0	0	0.37
181.571	170.494	47.9347	0	0	0	0	0.38
178.725	171.869	49.4058	0	0	0	0	0.39
175.911	173.206	50.8831	0	0	0	0	0.4
173.129	174.505	52.3662	0	0	0	0	0.41
170.38	175.765	53.8547	0	0	0	0	0.42
167.666	176.986	55.3482	0	0	0	0	0.43
164.987	178.167	56.8463	0	0	0	0	0.44
162.343	179.308	58.3486	0	0	0	0	0.45
159.736	180.409	59.8545	0	0	0	0	0.46
157.166	181.47	61.3638	0	0	0	0	0.47
154.633	182.491	62.876	0	0	0	0	0.48
152.138	183.471	64.3907	0	0	0	0	0.49
149.682	184.411	65.9074	0	0	0	0	0.5
147.264	185.31	67.4258	0	0	0	0	0.51
144.885	186.169	68.9454	0	0	0	0	0.52
142.546	186.988	70.4658	0	0	0	0	0.53
140.246	187.767	71.9867	0	0	0	0	0.54
137.986	188.507	73.5075	0	0	0	0	0.55
135.766	189.206	75.028	0	0	0	0	0.56
133.586	189.867	76.5478	0	0	0	0	0.57
131.445	190.488	78.0663	0	0	0	0	0.58
129.345	191.071	79.5834	0	0	0	0	0.59
127.285	191.616	81.0985	0	0	0	0	0.6
125.265	192.124	82.6113	0	0	0	0	0.61
123.285	192.594	84.1215	0	0	0	0	0.62
121.345	193.027	85.6287	0	0	0	0	0.63
119.444	193.424	87.1325	0	0	0	0	0.64
117.582	193.785	88.6326	0	0	0	0	0.65
115.76	194.111	90.1287	0	0	0	0	0.66
113.977	194.403	91.6205	0	0	0	0	0.67
112.232	194.661	93.1075	0	0	0	0	0.68
110.525	194.885	94.5896	0	0	0	0	0.69
108.857	195.077	96.0663	0	0	0	0	0.7
107.226	195.236	97.5374	0	0	0	0	0.71
105.633	195.364	99.0027	0	0	0	0	0.72
104.076	195.462	100.462	0	0	0	0	0.73
102.557	195.529	101.914	0	0	0	0	0.74
101.073	195.567	103.36	0	0	0	0	0.75
99.6247	195.576	104.799	0	0	0	0	0.76
98.2118	195.557	106.231	0	0	0	0	0.77
96.8338	195.511	107.655	0	0	0	0	0.78
95.4901	195.438	109.072	0	0	0	0	0.79
94.1803	195.339	110.48	0	0	0	0	0.8
92.9038	195.215	111.881	0	0	0	0	0.81
91.6603	195.067	113.273	0	0	0	0	0.82
90.4492	194.894	114.657	0	0	0	0	0.83
89.2699	194.698	116.032	0	0	0	0	0.84
88.1221	194.48	117.398	0	0	0	0	0.85
87.0052	194.24	118.754	0	0	0	0	0.86
85.9188	193.979	120.102	0	0	0	0	0.87
84.8622	193.698	121.44	0	0	0	0	0.88
83.835	193.396	122.769	0	0	0	0	0.89
82.8366	193.076	124.087	0	0	0	0	0.9
81.8666	192.737	125.396	0	0	0	0	0.91
80.9245	192.38	126.695	0	0	0	0	0.92
80.0098	192.006	127.984	0	0	0	0	0.93
