S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
299.97	100.02	0.0100005	0	0	0	0	0.0001
299.94	100.04	0.0200028	0	0	0	0	0.0002
299.91	100.06	0.0300067	0	0	0	0	0.0003
299.88	100.08	0.040012	0	0	0	0	0.0004
299.85	100.1	0.0500188	0	0	0	0	0.0005
299.82	100.12	0.0600272	0	0	0	0	0.0006
299.79	100.14	0.070037	0	0	0	0	0.0007
299.76	100.16	0.0800483	0	0	0	0	0.0008
299.73	100.18	0.0900612	0	0	0	0	0.0009
299.7	100.2	0.100076	0	0	0	0	0.001
299.67	100.22	0.110091	0	0	0	0	0.0011
299.64	100.24	0.120109	0	0	0	0	0.0012
299.61	100.26	0.130128	0	0	0	0	0.0013
299.58	100.28	0.140148	0	0	0	0	0.0014
299.55	100.3	0.15017	0	0	0	0	0.0015
299.52	100.32	0.160193	0	0	0	0	0.0016
299.49	100.34	0.170218	0	0	0	0	0.0017
299.46	100.36	0.180244	0	0	0	0	0.0018
299.43	100.38	0.190272	0	0	0	0	0.0019
299.4	100.4	0.200301	0	0	0	0	0.002
299.369	100.42	0.210332	0	0	0	0	0.0021
299.339	100.44	0.220365	0	0	0	0	0.0022
299.309	100.46	0.230398	0	0	0	0	0.0023
299.279	100.48	0.240434	0	0	0	0	0.0024
299.249	100.5	0.250471	0	0	0	0	0.0025
299.219	100.52	0.260509	0	0	0	0	0.0026
299.189	100.54	0.270549	0	0	0	0	0.0027
299.159	100.56	0.28059	0	0	0	0	0.0028
299.129	100.58	0.290633	0	0	0	0	0.0029
299.099	100.6	0.300677	0	0	0	0	0.003
299.069	100.62	0.310723	0	0	0	0	0.0031
299.039	100.641	0.32077	0	0	0	0	0.0032
299.009	100.661	0.330819	0	0	0	0	0.0033
298.979	100.681	0.34087	0	0	0	0	0.0034
298.948	100.701	0.350922	0	0	0	0	0.0035
298.918	100.721	0.360975	0	0	0	0	0.0036
298.888	100.741	0.37103	0	0	0	0	0.0037
298.858	100.761	0.381086	0	0	0	0	0.0038
298.828	100.781	0.391144	0	0	0	0	0.0039
298.798	100.801	0.401203	0	0	0	0	0.004
298.768	100.821	0.411264	0	0	0	0	0.0041
298.738	100.841	0.421326	0	0	0	0	0.0042
298.708	100.861	0.43139	0	0	0	0	0.0043
298.678	100.881	0.441456	0	0	0	0	0.0044
298.647	100.901	0.451523	0	0	0	0	0.0045
298.617	100.921	0.461591	0	0	0	0	0.0046
298.587	100.941	0.471661	0	0	0	0	0.0047
298.557	100.961	0.481732	0	0	0	0	0.0048
298.527	100.981	0.491805	0	0	0	0	0.0049
298.497	101.001	0.501879	0	0	0	0	0.005
298.467	101.021	0.511955	0	0	0	0	0.0051
298.437	101.041	0.522033	0	0	0	0	0.0052
298.407	101.061	0.532111	0	0	0	0	0.0053
298.376	101.081	0.542192	0	0	0	0	0.0054
298.346	101.101	0.552274	0	0	0	0	0.0055
298.316	101.122	0.562357	0	0	0	0	0.0056
298.286	101.142	0.572442	0	0	0	0	0.0057
298.256	101.162	0.582528	0	0	0	0	0.0058
298.226	101.182	0.592616	0	0	0	0	0.0059
298.196	101.202	0.602706	0	0	0	0	0.006
298.165	101.222	0.612796	0	0	0	0	0.0061
298.135	101.242	0.622889	0	0	0	0	0.0062
298.105	101.262	0.632983	0	0	0	0	0.0063
298.075	101.282	0.643078	0	0	0	0	0.0064
298.045	101.302	0.653175	0	0	0	0	0.0065
298.015	101.322	0.663273	0	0	0	0	0.0066
297.984	101.342	0.673373	0	0	0	0	0.0067
297.954	101.362	0.683475	0	0	0	0	0.0068
297.924	101.382	0.693577	0	0	0	0	0.0069
297.894	101.402	0.703682	0	0	0	0	0.007
297.864	101.422	0.713788	0	0	0	0	0.0071
297.834	101.443	0.723895	0	0	0	0	0.0072
297.803	101.463	0.734004	0	0	0	0	0.0073
297.773	101.483	0.744114	0	0	0	0	0.0074
297.743	101.503	0.754226	0	0	0	0	0.0075
297.713	101.523	0.76434	0	0	0	0	0.0076
297.683	101.543	0.774455	0	0	0	0	0.0077
297.652	101.563	0.784571	0	0	0	0	0.0078
297.622	101.583	0.794689	0	0	0	0	0.0079
297.592	101.603	0.804808	0	0	0	0	0.008
297.562	101.623	0.814929	0	0	0	0	0.0081
297.532	101.643	0.825052	0	0	0	0	0.0082
297.502	101.663	0.835176	0	0	0	0	0.0083
297.471	101.683	0.845301	0	0	0	0	0.0084
297.441	101.703	0.855428	0	0	0	0	0.0085
297.411	101.724	0.865556	0	0	0	0	0.0086
297.381	101.744	0.875686	0	0	0	0	0.0087
297.35	101.764	0.885818	0	0	0	0	0.0088
297.32	101.784	0.895951	0	0	0	0	0.0089
297.29	101.804	0.906085	0	0	0	0	0.009
297.26	101.824	0.916221	0	0	0	0	0.0091
297.23	101.844	0.926358	0	0	0	0	0.0092
297.199	101.864	0.936497	0	0	0	0	0.0093
297.169	101.884	0.946638	0	0	0	0	0.0094
297.139	101.904	0.95678	0	0	0	0	0.0095
297.109	101.924	0.966923	0	0	0	0	0.0096
297.078	101.945	0.977068	0	0	0	0	0.0097
297.048	101.965	0.987214	0	0	0	0	0.0098
297.018	101.985	0.997362	0	0	0	0	0.0099
296.988	102.005	1.00751	0	0	0	0	0.01
296.957	102.025	1.01766	0	0	0	0	0.0101
296.927	102.045	1.02782	0	0	0	0	0.0102
296.897	102.065	1.03797	0	0	0	0	0.0103
296.867	102.085	1.04812	0	0	0	0	0.0104
296.836	102.105	1.05828	0	0	0	0	0.0105
296.806	102.125	1.06844	0	0	0	0	0.0106
296.776	102.145	1.0786	0	0	0	0	0.0107
296.746	102.166	1.08876	0	0	0	0	0.0108
296.715	102.186	1.09892	0	0	0	0	0.0109
296.685	102.206	1.10909	0	0	0	0	0.011
296.655	102.226	1.11925	0	0	0	0	0.0111
296.625	102.246	1.12942	0	0	0	0	0.0112
296.594	102.266	1.13959	0	0	0	0	0.0113
296.564	102.286	1.14976	0	0	0	0	0.0114
296.534	102.306	1.15993	0	0	0	0	0.0115
296.504	102.326	1.17011	0	0	0	0	0.0116
296.473	102.346	1.18028	0	0	0	0	0.0117
296.443	102.367	1.19046	0	0	0	0	0.0118
296.413	102.387	1.20064	0	0	0	0	0.0119
296.382	102.407	1.21082	0	0	0	0	0.012
296.352	102.427	1.221	0	0	0	0	0.0121
296.322	102.447	1.23118	0	0	0	0	0.0122
296.291	102.467	1.24136	0	0	0	0	0.0123
296.261	102.487	1.25155	0	0	0	0	0.0124
296.231	102.507	1.26174	0	0	0	0	0.0125
296.201	102.528	1.27192	0	0	0	0	0.0126
296.17	102.548	1.28211	0	0	0	0	0.0127
296.14	102.568	1.29231	0	0	0	0	0.0128
296.11	102.588	1.3025	0	0	0	0	0.0129
296.079	102.608	1.31269	0	0	0	0	0.013
296.049	102.628	1.32289	0	0	0	0	0.0131
296.019	102.648	1.33309	0	0	0	0	0.0132
295.988	102.668	1.34329	0	0	0	0	0.0133
295.958	102.688	1.35349	0	0	0	0	0.0134
295.928	102.709	1.36369	0	0	0	0	0.0135
295.897	102.729	1.37389	0	0	0	0	0.0136
295.867	102.749	1.3841	0	0	0	0	0.0137
295.837	102.769	1.3943	0	0	0	0	0.0138
295.806	102.789	1.40451	0	0	0	0	0.0139
295.776	102.809	1.41472	0	0	0	0	0.014
295.746	102.829	1.42493	0	0	0	0	0.0141
295.715	102.849	1.43514	0	0	0	0	0.0142
295.685	102.87	1.44536	0	0	0	0	0.0143
295.655	102.89	1.45557	0	0	0	0	0.0144
295.624	102.91	1.46579	0	0	0	0	0.0145
295.594	102.93	1.47601	0	0	0	0	0.0146
295.564	102.95	1.48623	0	0	0	0	0.0147
295.533	102.97	1.49645	0	0	0	0	0.0148
295.503	102.99	1.50667	0	0	0	0	0.0149
295.473	103.011	1.5169	0	0	0	0	0.015
295.442	103.031	1.52712	0	0	0	0	0.0151
295.412	103.051	1.53735	0	0	0	0	0.0152
295.381	103.071	1.54758	0	0	0	0	0.0153
295.351	103.091	1.55781	0	0	0	0	0.0154
295.321	103.111	1.56804	0	0	0	0	0.0155
295.29	103.131	1.57828	0	0	0	0	0.0156
295.26	103.151	1.58851	0	0	0	0	0.0157
295.23	103.172	1.59875	0	0	0	0	0.0158
295.199	103.192	1.60899	0	0	0	0	0.0159
295.169	103.212	1.61923	0	0	0	0	0.016
295.138	103.232	1.62947	0	0	0	0	0.0161
295.108	103.252	1.63971	0	0	0	0	0.0162
295.078	103.272	1.64995	0	0	0	0	0.0163
295.047	103.293	1.6602	0	0	0	0	0.0164
295.017	103.313	1.67045	0	0	0	0	0.0165
294.987	103.333	1.6807	0	0	0	0	0.0166
294.956	103.353	1.69095	0	0	0	0	0.0167
294.926	103.373	1.7012	0	0	0	0	0.0168
294.895	103.393	1.71145	0	0	0	0	0.0169
294.865	103.413	1.72171	0	0	0	0	0.017
294.834	103.434	1.73196	0	0	0	0	0.0171
294.804	103.454	1.74222	0	0	0	0	0.0172
294.774	103.474	1.75248	0	0	0	0	0.0173
294.743	103.494	1.76274	0	0	0	0	0.0174
294.713	103.514	1.773	0	0	0	0	0.0175
294.682	103.534	1.78326	0	0	0	0	0.0176
294.652	103.554	1.79353	0	0	0	0	0.0177
294.622	103.575	1.8038	0	0	0	0	0.0178
294.591	103.595	1.81406	0	0	0	0	0.0179
294.561	103.615	1.82433	0	0	0	0	0.018
294.53	103.635	1.8346	0	0	0	0	0.0181
294.5	103.655	1.84488	0	0	0	0	0.0182
294.469	103.675	1.85515	0	0	0	0	0.0183
294.439	103.696	1.86543	0	0	0	0	0.0184
294.409	103.716	1.8757	0	0	0	0	0.0185
294.378	103.736	1.88598	0	0	0	0	0.0186
294.348	103.756	1.89626	0	0	0	0	0.0187
294.317	103.776	1.90654	0	0	0	0	0.0188
294.287	103.796	1.91683	0	0	0	0	0.0189
294.256	103.817	1.92711	0	0	0	0	0.019
294.226	103.837	1.9374	0	0	0	0	0.0191
294.195	103.857	1.94769	0	0	0	0	0.0192
294.165	103.877	1.95798	0	0	0	0	0.0193
294.134	103.897	1.96827	0	0	0	0	0.0194
294.104	103.917	1.97856	0	0	0	0	0.0195
294.074	103.938	1.98885	0	0	0	0	0.0196
294.043	103.958	1.99915	0	0	0	0	0.0197
294.013	103.978	2.00944	0	0	0	0	0.0198
293.982	103.998	2.01974	0	0	0	0	0.0199
293.952	104.018	2.03004	0	0	0	0	0.02
293.921	104.038	2.04034	0	0	0	0	0.0201
293.891	104.059	2.05065	0	0	0	0	0.0202
293.86	104.079	2.06095	0	0	0	0	0.0203
293.83	104.099	2.07126	0	0	0	0	0.0204
293.799	104.119	2.08156	0	0	0	0	0.0205
293.769	104.139	2.09187	0	0	0	0	0.0206
293.738	104.16	2.10218	0	0	0	0	0.0207
293.708	104.18	2.11249	0	0	0	0	0.0208
293.677	104.2	2.12281	0	0	0	0	0.0209
293.647	104.22	2.13312	0	0	0	0	0.021
293.616	104.24	2.14344	0	0	0	0	0.0211
293.586	104.26	2.15375	0	0	0	0	0.0212
293.555	104.281	2.16407	0	0	0	0	0.0213
293.525	104.301	2.17439	0	0	0	0	0.0214
293.494	104.321	2.18472	0	0	0	0	0.0215
293.464	104.341	2.19504	0	0	0	0	0.0216
293.433	104.361	2.20537	0	0	0	0	0.0217
293.403	104.382	2.21569	0	0	0	0	0.0218
293.372	104.402	2.22602	0	0	0	0	0.0219
293.342	104.422	2.23635	0	0	0	0	0.022
293.311	104.442	2.24668	0	0	0	0	0.0221
293.281	104.462	2.25701	0	0	0	0	0.0222
293.25	104.483	2.26735	0	0	0	0	0.0223
293.22	104.503	2.27768	0	0	0	0	0.0224
293.189	104.523	2.28802	0	0	0	0	0.0225
293.159	104.543	2.29836	0	0	0	0	0.0226
293.128	104.563	2.3087	0	0	0	0	0.0227
293.097	104.583	2.31904	0	0	0	0	0.0228
293.067	104.604	2.32939	0	0	0	0	0.0229
293.036	104.624	2.33973	0	0	0	0	0.023
293.006	104.644	2.35008	0	0	0	0	0.0231
292.975	104.664	2.36042	0	0	0	0	0.0232
292.945	104.684	2.37077	0	0	0	0	0.0233
292.914	104.705	2.38112	0	0	0	0	0.0234
292.884	104.725	2.39148	0	0	0	0	0.0235
292.853	104.745	2.40183	0	0	0	0	0.0236
292.823	104.765	2.41219	0	0	0	0	0.0237
292.792	104.785	2.42254	0	0	0	0	0.0238
292.761	104.806	2.4329	0	0	0	0	0.0239
292.731	104.826	2.44326	0	0	0	0	0.024
292.7	104.846	2.45362	0	0	0	0	0.0241
292.67	104.866	2.46398	0	0	0	0	0.0242
292.639	104.886	2.47435	0	0	0	0	0.0243
292.609	104.907	2.48471	0	0	0	0	0.0244
292.578	104.927	2.49508	0	0	0	0	0.0245
292.547	104.947	2.50545	0	0	0	0	0.0246
292.517	104.967	2.51582	0	0	0	0	0.0247
292.486	104.987	2.52619	0	0	0	0	0.0248
292.456	105.008	2.53657	0	0	0	0	0.0249
292.425	105.028	2.54694	0	0	0	0	0.025
292.395	105.048	2.55732	0	0	0	0	0.0251
292.364	105.068	2.56769	0	0	0	0	0.0252
292.333	105.089	2.57807	0	0	0	0	0.0253
292.303	105.109	2.58845	0	0	0	0	0.0254
292.272	105.129	2.59884	0	0	0	0	0.0255
292.242	105.149	2.60922	0	0	0	0	0.0256
292.211	105.169	2.61961	0	0	0	0	0.0257
292.18	105.19	2.62999	0	0	0	0	0.0258
292.15	105.21	2.64038	0	0	0	0	0.0259
292.119	105.23	2.65077	0	0	0	0	0.026
292.089	105.25	2.66116	0	0	0	0	0.0261
292.058	105.27	2.67155	0	0	0	0	0.0262
292.027	105.291	2.68195	0	0	0	0	0.0263
291.997	105.311	2.69235	0	0	0	0	0.0264
291.966	105.331	2.70274	0	0	0	0	0.0265
291.935	105.351	2.71314	0	0	0	0	0.0266
291.905	105.372	2.72354	0	0	0	0	0.0267
291.874	105.392	2.73394	0	0	0	0	0.0268
291.844	105.412	2.74435	0	0	0	0	0.0269
291.813	105.432	2.75475	0	0	0	0	0.027
291.782	105.452	2.76516	0	0	0	0	0.0271
291.752	105.473	2.77557	0	0	0	0	0.0272
291.721	105.493	2.78598	0	0	0	0	0.0273
291.69	105.513	2.79639	0	0	0	0	0.0274
291.66	105.533	2.8068	0	0	0	0	0.0275
291.629	105.554	2.81721	0	0	0	0	0.0276
291.599	105.574	2.82763	0	0	0	0	0.0277
291.568	105.594	2.83804	0	0	0	0	0.0278
291.537	105.614	2.84846	0	0	0	0	0.0279
291.507	105.635	2.85888	0	0	0	0	0.028
291.476	105.655	2.8693	0	0	0	0	0.0281
291.445	105.675	2.87973	0	0	0	0	0.0282
291.415	105.695	2.89015	0	0	0	0	0.0283
291.384	105.715	2.90058	0	0	0	0	0.0284
291.353	105.736	2.911	0	0	0	0	0.0285
291.323	105.756	2.92143	0	0	0	0	0.0286
291.292	105.776	2.93186	0	0	0	0	0.0287
291.261	105.796	2.9423	0	0	0	0	0.0288
291.231	105.817	2.95273	0	0	0	0	0.0289
291.2	105.837	2.96316	0	0	0	0	0.029
291.169	105.857	2.9736	0	0	0	0	0.0291
291.139	105.877	2.98404	0	0	0	0	0.0292
291.108	105.898	2.99448	0	0	0	0	0.0293
291.077	105.918	3.00492	0	0	0	0	0.0294
291.047	105.938	3.01536	0	0	0	0	0.0295
291.016	105.958	3.0258	0	0	0	0	0.0296
290.985	105.979	3.03625	0	0	0	0	0.0297
290.955	105.999	3.0467	0	0	0	0	0.0298
290.924	106.019	3.05714	0	0	0	0	0.0299
290.893	106.039	3.06759	0	0	0	0	0.03
290.862	106.059	3.07805	0	0	0	0	0.0301
290.832	106.08	3.0885	0	0	0	0	0.0302
290.801	106.1	3.09895	0	0	0	0	0.0303
290.77	106.12	3.10941	0	0	0	0	0.0304
290.74	106.14	3.11987	0	0	0	0	0.0305
290.709	106.161	3.13033	0	0	0	0	0.0306
290.678	106.181	3.14079	0	0	0	0	0.0307
290.648	106.201	3.15125	0	0	0	0	0.0308
290.617	106.221	3.16171	0	0	0	0	0.0309
290.586	106.242	3.17218	0	0	0	0	0.031
