S	I	R	e	d	dI	f	t
300	100	0	0.264	0.24	0.6	0	0
281.342	130.226	6.63646	0.276015	0.250923	0.781354	0	0.06
259.44	162.169	14.939	0.288121	0.261928	0.973011	0	0.12
236.248	189.065	24.7543	0.297044	0.27004	1.13439	0	0.18
213.399	206.429	35.6214	0.300597	0.27327	1.23858	0	0.24
192.101	212.971	46.9158	0.298311	0.271192	1.27782	0	0.3
173.021	210.194	58.0274	0.29122	0.264746	1.26117	0	0.36
156.382	201.125	68.4893	0.281157	0.255598	1.20675	0	0.42
142.11	189.076	78.0315	0.270083	0.24553	1.13446	0	0.48
129.968	176.867	86.574	0.25965	0.236045	1.0612	0	0.54
119.645	166.499	94.1848	0.251017	0.228197	0.998993	0	0.6
110.813	159.141	101.028	0.244848	0.222589	0.954849	0	0.66
103.172	155.269	107.315	0.241399	0.219453	0.931616	0	0.72
96.4658	154.824	113.266	0.240607	0.218733	0.928943	0	0.78
90.5043	157.33	119.083	0.242165	0.22015	0.943978	0	0.84
85.1616	161.97	124.924	0.245557	0.223234	0.971823	0	0.9
80.3724	167.668	130.888	0.250093	0.227357	1.00601	0	0.96
76.1174	173.209	137.003	0.254977	0.231797	1.03925	0	1.02
72.404	177.425	143.227	0.259417	0.235834	1.06455	0	1.08
69.2478	179.389	149.454	0.26274	0.238855	1.07634	0	1.14
66.6589	178.556	155.539	0.264498	0.240453	1.07134	0	1.2
64.6343	174.825	161.319	0.264514	0.240468	1.04895	0	1.26
63.156	168.512	166.64	0.262884	0.238985	1.01107	0	1.32
62.1922	160.251	171.38	0.259923	0.236294	0.961505	0	1.38
61.6996	150.866	175.461	0.256098	0.232816	0.905196	0	1.44
61.6257	141.233	178.859	0.251934	0.229031	0.847401	0	1.5
61.91	132.162	181.599	0.247943	0.225403	0.792974	0	1.56
62.4863	124.31	183.75	0.244561	0.222328	0.745859	0	1.62
63.2836	118.136	185.414	0.24211	0.2201	0.708815	0	1.68
64.2295	113.892	186.71	0.240789	0.218899	0.683354	0	1.74
65.2532	111.63	187.764	0.240667	0.218788	0.669779	0	1.8
