S	I	R	e	d	dI	f	t
300	100	0	0	0	0	0	0
295.487	103.74	0.773271	0	0	0	0	0.015
290.856	107.515	1.62912	0	0	0	0	0.03
286.141	111.272	2.58735	0	0	0	0	0.045
281.352	114.976	3.67225	0	0	0	0	0.06
276.498	118.594	4.90784	0	0	0	0	0.075
271.592	122.091	6.3171	0	0	0	0	0.09
266.646	125.432	7.92141	0	0	0	0	0.105
261.675	128.585	9.73989	0	0	0	0	0.12
256.692	131.519	11.7889	0	0	0	0	0.135
251.713	134.205	14.0813	0	0	0	0	0.15
246.754	136.619	16.6265	0	0	0	0	0.165
241.831	138.74	19.4296	0	0	0	0	0.18
236.957	140.551	22.4915	0	0	0	0	0.195
232.149	142.042	25.809	0	0	0	0	0.21
227.42	143.205	29.3745	0	0	0	0	0.225
222.784	144.039	33.1766	0	0	0	0	0.24
218.252	144.548	37.2001	0	0	0	0	0.255
213.835	144.738	41.4269	0	0	0	0	0.27
209.542	144.622	45.8358	0	0	0	0	0.285
205.382	144.214	50.4036	0	0	0	0	0.3
201.361	143.533	55.1056	0	0	0	0	0.315
197.485	142.6	59.9158	0	0	0	0	0.33
193.757	141.436	64.8078	0	0	0	0	0.345
190.179	140.065	69.7552	0	0	0	0	0.36
186.755	138.513	74.7319	0	0	0	0	0.375
183.483	136.805	79.7129	0	0	0	0	0.39
180.362	134.963	84.6741	0	0	0	0	0.405
177.393	133.014	89.5931	0	0	0	0	0.42
174.571	130.98	94.4488	0	0	0	0	0.435
171.894	128.884	99.2222	0	0	0	0	0.45
169.358	126.746	103.896	0	0	0	0	0.465
166.959	124.585	108.455	0	0	0	0	0.48
164.693	122.421	112.886	0	0	0	0	0.495
162.554	120.268	117.178	0	0	0	0	0.51
160.537	118.143	121.321	0	0	0	0	0.525
158.637	116.057	125.306	0	0	0	0	0.54
156.848	114.022	129.13	0	0	0	0	0.555
155.166	112.049	132.785	0	0	0	0	0.57
153.583	110.146	136.271	0	0	0	0	0.585
152.096	108.32	139.584	0	0	0	0	0.6
150.698	106.578	142.725	0	0	0	0	0.615
149.383	104.923	145.693	0	0	0	0	0.63
148.148	103.361	148.491	0	0	0	0	0.645
146.986	101.893	151.121	0	0	0	0	0.66
145.893	100.521	153.586	0	0	0	0	0.675
144.863	99.2466	155.89	0	0	0	0	0.69
143.893	98.0695	158.038	0	0	0	0	0.705
142.977	96.9891	160.034	0	0	0	0	0.72
142.112	96.0043	161.884	0	0	0	0	0.735
141.292	95.1132	163.595	0	0	0	0	0.75
140.515	94.3133	165.171	0	0	0	0	0.765
139.777	93.6017	166.621	0	0	0	0	0.78
139.074	92.9749	167.951	0	0	0	0	0.795
138.403	92.4289	169.168	0	0	0	0	0.81
137.761	91.9594	170.28	0	0	0	0	0.825
137.145	91.5614	171.294	0	0	0	0	0.84
136.552	91.2296	172.218	0	0	0	0	0.855
135.981	90.9585	173.06	0	0	0	0	0.87
135.429	90.742	173.829	0	0	0	0	0.885
134.894	90.5736	174.532	0	0	0	0	0.9
134.374	90.4468	175.179	0	0	0	0	0.915
133.869	90.3544	175.777	0	0	0	0	0.93
133.376	90.2893	176.334	0	0	0	0	0.945
132.895	90.244	176.86	0	0	0	0	0.96
132.426	90.2109	177.363	0	0	0	0	0.975
131.967	90.1823	177.851	0	0	0	0	0.99
131.519	90.1504	178.331	0	0	0	0	1.005
131.08	90.1075	178.812	0	0	0	0	1.02
130.653	90.0461	179.301	0	0	0	0	1.035
130.236	89.9587	179.806	0	0	0	0	1.05
129.83	89.8383	180.332	0	0	0	0	1.065
129.436	89.6781	180.886	0	0	0	0	1.08
129.056	89.4717	181.473	0	0	0	0	1.095
128.689	89.2135	182.098	0	0	0	0	1.11
128.337	88.8982	182.765	0	0	0	0	1.125
128.001	88.5215	183.478	0	0	0	0	1.14
127.682	88.0795	184.238	0	0	0	0	1.155
127.383	87.5695	185.048	0	0	0	0	1.17
127.103	86.9892	185.907	0	0	0	0	1.185
126.846	86.3375	186.817	0	0	0	0	1.2
126.611	85.614	187.775	0	0	0	0	1.215
126.4	84.8194	188.78	0	0	0	0	1.23
126.216	83.9549	189.829	0	0	0	0	1.245
126.058	83.0229	190.919	0	0	0	0	1.26
125.928	82.0264	192.045	0	0	0	0	1.275
125.828	80.9691	193.203	0	0	0	0	1.29
125.758	79.8554	194.387	0	0	0	0	1.305
125.719	78.6902	195.591	0	0	0	0	1.32
125.711	77.4792	196.81	0	0	0	0	1.335
125.736	76.2281	198.036	0	0	0	0	1.35
125.793	74.9432	199.264	0	0	0	0	1.365
125.883	73.631	200.486	0	0	0	0	1.38
126.006	72.2978	201.696	0	0	0	0	1.395
126.163	70.9505	202.887	0	0	0	0	1.41
126.351	69.5956	204.053	0	0	0	0	1.425
126.573	68.2396	205.188	0	0	0	0	1.44
126.825	66.8887	206.286	0	0	0	0	1.455
127.11	65.549	207.341	0	0	0	0	1.47
127.424	64.2264	208.349	0	0	0	0	1.485
127.768	62.9263	209.305	0	0	0	0	1.5
128.141	61.6536	210.206	0	0	0	0	1.515
128.541	60.4133	211.046	0	0	0	0	1.53
128.967	59.2094	211.824	0	0	0	0	1.545
129.418	58.0459	212.536	0	0	0	0	1.56
129.893	56.9262	213.181	0	0	0	0	1.575
130.39	55.8534	213.757	0	0	0	0	1.59
130.907	54.83	214.263	0	0	0	0	1.605
131.444	53.8582	214.698	0	0	0	0	1.62
131.998	52.9398	215.062	0	0	0	0	1.635
132.568	52.0763	215.356	0	0	0	0	1.65
133.153	51.2686	215.579	0	0	0	0	1.665
133.75	50.5176	215.732	0	0	0	0	1.68
134.358	49.8237	215.818	0	0	0	0	1.695
134.977	49.1868	215.837	0	0	0	0	1.71
135.603	48.607	215.79	0	0	0	0	1.725
136.235	48.0836	215.681	0	0	0	0	1.74
136.872	47.616	215.512	0	0	0	0	1.755
137.513	47.2031	215.284	0	0	0	0	1.77
138.155	46.8438	215.001	0	0	0	0	1.785
138.798	46.5367	214.666	0	0	0	0	1.8
139.439	46.2799	214.281	0	0	0	0	1.815
140.079	46.0716	213.85	0	0	0	0	1.83
140.714	45.9097	213.376	0	0	0	0	1.845
141.345	45.7918	212.863	0	0	0	0	1.86
141.969	45.7151	212.315	0	0	0	0	1.875
142.587	45.677	211.736	0	0	0	0	1.89
143.196	45.6743	211.129	0	0	0	0	1.905
143.797	45.7038	210.499	0	0	0	0	1.92
144.388	45.7618	209.85	0	0	0	0	1.935
144.968	45.8447	209.187	0	0	0	0	1.95
145.538	45.9484	208.514	0	0	0	0	1.965
146.096	46.0689	207.835	0	0	0	0	1.98
146.642	46.2017	207.156	0	0	0	0	1.995
147.177	46.3425	206.481	0	0	0	0	2.01
147.699	46.4865	205.814	0	0	0	0	2.025
148.21	46.6292	205.16	0	0	0	0	2.04
148.71	46.7658	204.525	0	0	0	0	2.055
149.198	46.8916	203.911	0	0	0	0	2.07
149.675	47.002	203.323	0	0	0	0	2.085
150.143	47.0924	202.765	0	0	0	0	2.1
150.601	47.1585	202.241	0	0	0	0	2.115
151.05	47.1962	201.753	0	0	0	0	2.13
151.493	47.2018	201.305	0	0	0	0	2.145
151.929	47.1718	200.899	0	0	0	0	2.16
152.36	47.1032	200.537	0	0	0	0	2.175
152.787	46.9935	200.219	0	0	0	0	2.19
153.212	46.8408	199.947	0	0	0	0	2.205
153.635	46.6435	199.721	0	0	0	0	2.22
154.059	46.4008	199.54	0	0	0	0	2.235
154.485	46.1125	199.402	0	0	0	0	2.25
154.914	45.7789	199.307	0	0	0	0	2.265
155.347	45.4009	199.252	0	0	0	0	2.28
155.786	44.9801	199.234	0	0	0	0	2.295
156.233	44.5184	199.249	0	0	0	0	2.31
156.687	44.0186	199.294	0	0	0	0	2.325
157.151	43.4835	199.365	0	0	0	0	2.34
157.626	42.9167	199.458	0	0	0	0	2.355
158.111	42.3218	199.567	0	0	0	0	2.37
158.609	41.7029	199.688	0	0	0	0	2.385
159.12	41.0642	199.816	0	0	0	0	2.4
159.643	40.4101	199.947	0	0	0	0	2.415
160.18	39.7451	200.075	0	0	0	0	2.43
160.731	39.0736	200.195	0	0	0	0	2.445
161.296	38.4	200.304	0	0	0	0	2.46
161.875	37.7286	200.397	0	0	0	0	2.475
162.467	37.0637	200.469	0	0	0	0	2.49
163.073	36.4092	200.518	0	0	0	0	2.505
163.691	35.7688	200.54	0	0	0	0	2.52
164.322	35.1462	200.532	0	0	0	0	2.535
164.964	34.5446	200.491	0	0	0	0	2.55
165.618	33.967	200.415	0	0	0	0	2.565
166.282	33.4161	200.302	0	0	0	0	2.58
166.955	32.8944	200.151	0	0	0	0	2.595
167.636	32.404	199.96	0	0	0	0	2.61
168.324	31.9469	199.729	0	0	0	0	2.625
169.019	31.5247	199.457	0	0	0	0	2.64
169.718	31.1388	199.143	0	0	0	0	2.655
170.421	30.7903	198.788	0	0	0	0	2.67
171.127	30.4802	198.392	0	0	0	0	2.685
171.835	30.2093	197.956	0	0	0	0	2.7
172.542	29.9779	197.48	0	0	0	0	2.715
173.248	29.7865	196.965	0	0	0	0	2.73
173.952	29.6352	196.413	0	0	0	0	2.745
174.652	29.5239	195.825	0	0	0	0	2.76
175.346	29.4525	195.201	0	0	0	0	2.775
176.035	29.4205	194.544	0	0	0	0	2.79
176.716	29.4275	193.856	0	0	0	0	2.805
177.388	29.4726	193.139	0	0	0	0	2.82
178.051	29.555	192.394	0	0	0	0	2.835
178.702	29.6734	191.625	0	0	0	0	2.85
179.341	29.8267	190.832	0	0	0	0	2.865
179.967	30.0132	190.02	0	0	0	0	2.88
180.578	30.2311	189.191	0	0	0	0	2.895
181.174	30.4785	188.347	0	0	0	0	2.91
181.754	30.7531	187.492	0	0	0	0	2.925
182.318	31.0523	186.63	0	0	0	0	2.94
182.864	31.3735	185.763	0	0	0	0	2.955
183.392	31.7134	184.895	0	0	0	0	2.97
183.901	32.0688	184.03	0	0	0	0	2.985
184.391	32.4362	183.173	0	0	0	0	3
184.863	32.8116	182.326	0	0	0	0	3.015
185.315	33.1911	181.494	0	0	0	0	3.03
185.748	33.5704	180.681	0	0	0	0	3.045
186.163	33.9453	179.892	0	0	0	0	3.06
186.559	34.3111	179.13	0	0	0	0	3.075
186.937	34.6634	178.399	0	0	0	0	3.09
187.298	34.9977	177.704	0	0	0	0	3.105
187.643	35.3095	177.047	0	0	0	0	3.12
187.973	35.5946	176.432	0	0	0	0	3.135
188.289	35.8488	175.862	0	0	0	0	3.15
188.592	36.0685	175.339	0	0	0	0	3.165
188.884	36.2502	174.866	0	0	0	0	3.18
189.166	36.391	174.443	0	0	0	0	3.195
189.44	36.4883	174.072	0	0	0	0	3.21
189.707	36.5403	173.753	0	0	0	0	3.225
189.97	36.5457	173.485	0	0	0	0	3.24
190.229	36.5035	173.267	0	0	0	0	3.255
190.487	36.4139	173.099	0	0	0	0	3.27
190.746	36.2773	172.977	0	0	0	0	3.285
191.007	36.0948	172.899	0	0	0	0	3.3
191.271	35.8682	172.861	0	0	0	0	3.315
191.541	35.5998	172.859	0	0	0	0	3.33
191.818	35.2925	172.89	0	0	0	0	3.345
192.102	34.9493	172.949	0	0	0	0	3.36
192.396	34.5741	173.03	0	0	0	0	3.375
192.7	34.1707	173.129	0	0	0	0	3.39
193.015	33.7434	173.241	0	0	0	0	3.405
193.342	33.2965	173.361	0	0	0	0	3.42
193.681	32.8345	173.484	0	0	0	0	3.435
194.034	32.3618	173.605	0	0	0	0	3.45
194.399	31.883	173.718	0	0	0	0	3.465
194.777	31.4024	173.82	0	0	0	0	3.48
195.168	30.9243	173.907	0	0	0	0	3.495
195.572	30.4527	173.975	0	0	0	0	3.51
195.989	29.9916	174.02	0	0	0	0	3.525
196.417	29.5444	174.039	0	0	0	0	3.54
196.856	29.1147	174.029	0	0	0	0	3.555
197.306	28.7055	173.988	0	0	0	0	3.57
197.765	28.3197	173.915	0	0	0	0	3.585
198.233	27.9598	173.807	0	0	0	0	3.6
198.709	27.6282	173.663	0	0	0	0	3.615
199.191	27.3269	173.482	0	0	0	0	3.63
199.678	27.0577	173.264	0	0	0	0	3.645
200.17	26.8223	173.008	0	0	0	0	3.66
200.664	26.6221	172.714	0	0	0	0	3.675
201.159	26.4581	172.383	0	0	0	0	3.69
201.655	26.3314	172.014	0	0	0	0	3.705
202.149	26.2428	171.609	0	0	0	0	3.72
202.64	26.1929	171.167	0	0	0	0	3.735
203.127	26.1822	170.691	0	0	0	0	3.75
203.608	26.211	170.181	0	0	0	0	3.765
204.083	26.2793	169.638	0	0	0	0	3.78
204.549	26.3873	169.064	0	0	0	0	3.795
205.004	26.5346	168.461	0	0	0	0	3.81
205.449	26.7208	167.83	0	0	0	0	3.825
205.881	26.9455	167.174	0	0	0	0	3.84
206.299	27.2077	166.494	0	0	0	0	3.855
206.701	27.5065	165.793	0	0	0	0	3.87
207.087	27.8405	165.073	0	0	0	0	3.885
207.455	28.2082	164.337	0	0	0	0	3.9
207.804	28.6078	163.588	0	0	0	0	3.915
208.133	29.0371	162.83	0	0	0	0	3.93
208.441	29.4936	162.065	0	0	0	0	3.945
208.728	29.9745	161.298	0	0	0	0	3.96
208.992	30.4766	160.531	0	0	0	0	3.975
209.234	30.9963	159.77	0	0	0	0	3.99
209.452	31.5298	159.019	0	0	0	0	4.005
209.646	32.073	158.281	0	0	0	0	4.02
209.817	32.6211	157.562	0	0	0	0	4.035
209.965	33.1695	156.866	0	0	0	0	4.05
210.089	33.7132	156.198	0	0	0	0	4.065
210.191	34.2468	155.562	0	0	0	0	4.08
210.271	34.7651	154.964	0	0	0	0	4.095
210.33	35.2628	154.407	0	0	0	0	4.11
210.369	35.7345	153.897	0	0	0	0	4.125
210.39	36.175	153.435	0	0	0	0	4.14
210.393	36.5796	153.027	0	0	0	0	4.155
210.382	36.9435	152.675	0	0	0	0	4.17
210.356	37.2627	152.381	0	0	0	0	4.185
210.32	37.5334	152.147	0	0	0	0	4.2
210.274	37.7526	151.973	0	0	0	0	4.215
210.221	37.9179	151.861	0	0	0	0	4.23
210.162	38.0277	151.81	0	0	0	0	4.245
210.101	38.0808	151.818	0	0	0	0	4.26
210.04	38.0772	151.883	0	0	0	0	4.275
209.98	38.0175	152.002	0	0	0	0	4.29
209.924	37.9029	152.173	0	0	0	0	4.305
209.874	37.7355	152.391	0	0	0	0	4.32
209.832	37.518	152.65	0	0	0	0	4.335
209.799	37.2538	152.947	0	0	0	0	4.35
209.778	36.9467	153.276	0	0	0	0	4.365
209.769	36.601	153.63	0	0	0	0	4.38
209.774	36.2214	154.004	0	0	0	0	4.395
209.795	35.8129	154.392	0	0	0	0	4.41
209.831	35.3805	154.788	0	0	0	0	4.425
209.884	34.9295	155.186	0	0	0	0	4.44
209.954	34.4653	155.58	0	0	0	0	4.455
210.042	33.9929	155.965	0	0	0	0	4.47
210.147	33.5176	156.336	0	0	0	0	4.485
210.269	33.0441	156.687	0	0	0	0	4.5
210.407	32.5773	157.015	0	0	0	0	4.515
210.563	32.1216	157.316	0	0	0	0	4.53
210.733	31.6811	157.585	0	0	0	0	4.545
210.919	31.2598	157.821	0	0	0	0	4.56
211.119	30.8611	158.02	0	0	0	0	4.575
211.331	30.4885	158.18	0	0	0	0	4.59
211.555	30.1447	158.3	0	0	0	0	4.605
211.79	29.8326	158.378	0	0	0	0	4.62
212.033	29.5544	158.412	0	0	0	0	4.635
212.284	29.3122	158.403	0	0	0	0	4.65
212.541	29.1079	158.351	0	0	0	0	4.665
212.803	28.9432	158.254	0	0	0	0	4.68
213.067	28.8193	158.113	0	0	0	0	4.695
213.333	28.7374	157.93	0	0	0	0	4.71
213.598	28.6986	157.703	0	0	0	0	4.725
213.861	28.7036	157.436	0	0	0	0	4.74
214.12	28.7529	157.127	0	0	0	0	4.755
214.373	28.847	156.78	0	0	0	0	4.77
214.619	28.986	156.394	0	0	0	0	4.785
214.857	29.1701	155.973	0	0	0	0	4.8
215.083	29.399	155.518	0	0	0	0	4.815
215.297	29.6723	155.031	0	0	0	0	4.83
215.497	29.9893	154.514	0	0	0	0	4.845
215.681	30.3491	153.969	0	0	0	0	4.86
215.849	30.7505	153.401	0	0	0	0	4.875
215.998	31.1921	152.81	0	0	0	0	4.89
216.127	31.6719	152.202	0	0	0	0	4.905
216.234	32.1878	151.578	0	0	0	0	4.92
216.32	32.7372	150.943	0	0	0	0	4.935
216.382	33.3169	150.301	0	0	0	0	4.95
216.419	33.9238	149.657	0	0	0	0	4.965
216.432	34.5537	149.014	0	0	0	0	4.98
216.419	35.2026	148.378	0	0	0	0	4.995
216.38	35.8656	147.754	0	0	0	0	5.01
216.316	36.5376	147.147	0	0	0	0	5.025
216.225	37.2131	146.562	0	0	0	0	5.04
216.108	37.8864	146.005	0	0	0	0	5.055
215.966	38.5514	145.482	0	0	0	0	5.07
215.8	39.2018	144.998	0	0	0	0	5.085
215.611	39.8312	144.558	0	0	0	0	5.1
215.399	40.4333	144.168	0	0	0	0	5.115
215.166	41.0018	143.832	0	0	0	0	5.13
214.915	41.5307	143.554	0	0	0	0	5.145
214.647	42.0142	143.339	0	0	0	0	5.16
214.364	42.4472	143.189	0	0	0	0	5.175
214.069	42.8248	143.107	0	0	0	0	5.19
213.763	43.143	143.094	0	0	0	0	5.205
213.45	43.3985	143.151	0	0	0	0	5.22
213.132	43.5888	143.279	0	0	0	0	5.235
212.812	43.7122	143.475	0	0	0	0	5.25
212.493	43.768	143.739	0	0	0	0	5.265
212.177	43.7564	144.067	0	0	0	0	5.28
211.866	43.6784	144.456	0	0	0	0	5.295
211.564	43.536	144.9	0	0	0	0	5.31
211.272	43.332	145.396	0	0	0	0	5.325
210.993	43.0699	145.937	0	0	0	0	5.34
210.729	42.7539	146.517	0	0	0	0	5.355
210.482	42.3888	147.129	0	0	0	0	5.37
210.253	41.9798	147.767	0	0	0	0	5.385
210.044	41.5327	148.424	0	0	0	0	5.4
209.855	41.0534	149.092	0	0	0	0	5.415
209.688	40.5478	149.764	0	0	0	0	5.43
209.543	40.0223	150.435	0	0	0	0	5.445
209.421	39.4828	151.097	0	0	0	0	5.46
209.321	38.9355	151.744	0	0	0	0	5.475
209.244	38.3862	152.37	0	0	0	0	5.49
209.189	37.8404	152.971	0	0	0	0	5.505
209.156	37.3036	153.54	0	0	0	0	5.52
209.144	36.7808	154.075	0	0	0	0	5.535
209.153	36.2766	154.571	0	0	0	0	5.55
209.18	35.7954	155.025	0	0	0	0	5.565
209.226	35.341	155.433	0	0	0	0	5.58
209.288	34.9171	155.795	0	0	0	0	5.595
209.365	34.5269	156.108	0	0	0	0	5.61
209.456	34.1733	156.37	0	0	0	0	5.625
209.559	33.8588	156.582	0	0	0	0	5.64
209.673	33.5857	156.741	0	0	0	0	5.655
209.795	33.3559	156.849	0	0	0	0	5.67
209.924	33.171	156.905	0	0	0	0	5.685
210.058	33.0324	156.909	0	0	0	0	5.7
210.195	32.9414	156.863	0	0	0	0	5.715
210.334	32.8988	156.768	0	0	0	0	5.73
210.471	32.9053	156.623	0	0	0	0	5.745
210.606	32.9614	156.432	0	0	0	0	5.76
210.737	33.0673	156.196	0	0	0	0	5.775
210.861	33.223	155.916	0	0	0	0	5.79
210.977	33.4284	155.595	0	0	0	0	5.805
211.082	33.6831	155.235	0	0	0	0	5.82
211.176	33.9862	154.838	0	0	0	0	5.835
211.256	34.3368	154.407	0	0	0	0	5.85
211.321	34.7335	153.945	0	0	0	0	5.865
211.369	35.1748	153.456	0	0	0	0	5.88
211.398	35.6587	152.943	0	0	0	0	5.895
211.408	36.1828	152.409	0	0	0	0	5.91
211.396	36.7442	151.859	0	0	0	0	5.925
211.362	37.3398	151.298	0	0	0	0	5.94
211.305	37.966	150.729	0	0	0	0	5.955
211.224	38.6185	150.157	0	0	0	0	5.97
211.118	39.2929	149.589	0	0	0	0	5.985
210.987	39.984	149.029	0	0	0	0	6
210.831	40.6865	148.483	0	0	0	0	6.015
210.649	41.3946	147.957	0	0	0	0	6.03
210.442	42.1019	147.457	0	0	0	0	6.045
210.21	42.802	146.988	0	0	0	0	6.06
209.954	43.4882	146.558	0	0	0	0	6.075
209.676	44.1537	146.171	0	0	0	0	6.09
209.376	44.7916	145.833	0	0	0	0	6.105
