S	I	R	e	d	dI	f	t
300	100	0	0	0	0	6	0
288.141	103.939	7.92053	0	0	0	5.76281	0.02
276.573	107.808	15.6185	0	0	0	5.53146	0.04
265.344	111.568	23.0877	0	0	0	5.30688	0.06
254.46	115.205	30.3348	0	0	0	5.0892	0.08
243.927	118.707	37.3662	0	0	0	4.87854	0.1
233.749	122.062	44.1885	0	0	0	4.67499	0.12
223.93	125.262	50.8078	0	0	0	4.4786	0.14
214.471	128.298	57.2302	0	0	0	4.28943	0.16
205.374	131.165	63.4615	0	0	0	4.10747	0.18
196.636	133.856	69.5075	0	0	0	3.93272	0.2
188.257	136.369	75.3736	0	0	0	3.76514	0.22
180.233	138.702	81.0651	0	0	0	3.60467	0.24
172.56	140.852	86.5874	0	0	0	3.45121	0.26
165.233	142.822	91.9453	0	0	0	3.30466	0.28
158.245	144.611	97.1438	0	0	0	3.16491	0.3
151.59	146.222	102.188	0	0	0	3.0318	0.32
145.259	147.66	107.081	0	0	0	2.90518	0.34
139.244	148.927	111.83	0	0	0	2.78488	0.36
133.536	150.028	116.437	0	0	0	2.67072	0.38
128.125	150.969	120.906	0	0	0	2.5625	0.4
123.002	151.755	125.243	0	0	0	2.46004	0.42
118.157	152.392	129.451	0	0	0	2.36313	0.44
113.578	152.888	133.534	0	0	0	2.27157	0.46
109.257	153.248	137.495	0	0	0	2.18514	0.48
105.182	153.48	141.338	0	0	0	2.10364	0.5
101.344	153.59	145.067	0	0	0	2.02687	0.52
97.7308	153.584	148.685	0	0	0	1.95462	0.54
94.3339	153.471	152.195	0	0	0	1.88668	0.56
91.1429	153.256	155.601	0	0	0	1.82286	0.58
88.1481	152.946	158.906	0	0	0	1.76296	0.6
85.3401	152.548	162.112	0	0	0	1.7068	0.62
82.7096	152.068	165.223	0	0	0	1.65419	0.64
80.2478	151.511	168.241	0	0	0	1.60496	0.66
77.9461	150.885	171.169	0	0	0	1.55892	0.68
75.7962	150.193	174.011	0	0	0	1.51592	0.7
73.7902	149.442	176.767	0	0	0	1.4758	0.72
71.9205	148.637	179.442	0	0	0	1.43841	0.74
70.1798	147.783	182.037	0	0	0	1.4036	0.76
68.561	146.884	184.555	0	0	0	1.37122	0.78
67.0576	145.944	186.998	0	0	0	1.34115	0.8
65.6632	144.968	189.368	0	0	0	1.31326	0.82
64.3718	143.96	191.668	0	0	0	1.28744	0.84
63.1776	142.923	193.9	0	0	0	1.26355	0.86
62.0751	141.86	196.065	0	0	0	1.2415	0.88
61.0592	140.776	198.165	0	0	0	1.22118	0.9
60.1249	139.672	200.203	0	0	0	1.2025	0.92
59.2677	138.552	202.181	0	0	0	1.18535	0.94
58.4831	137.418	204.099	0	0	0	1.16966	0.96
57.7669	136.272	205.961	0	0	0	1.15534	0.98
57.1152	135.118	207.767	0	0	0	1.1423	1
56.5243	133.957	209.519	0	0	0	1.13049	1.02
55.9906	132.79	211.219	0	0	0	1.11981	1.04
55.5108	131.62	212.869	0	0	0	1.11022	1.06
55.0817	130.449	214.47	0	0	0	1.10163	1.08
54.7005	129.277	216.023	0	0	0	1.09401	1.1
54.3642	128.107	217.529	0	0	0	1.08728	1.12
54.0703	126.939	218.991	0	0	0	1.08141	1.14
53.8161	125.774	220.41	0	0	0	1.07632	1.16
53.5995	124.615	221.786	0	0	0	1.07199	1.18
53.4181	123.461	223.121	0	0	0	1.06836	1.2
53.2699	122.314	224.417	0	0	0	1.0654	1.22
53.1528	121.174	225.674	0	0	0	1.06306	1.24
53.065	120.042	226.893	0	0	0	1.0613	1.26
53.0047	118.919	228.076	0	0	0	1.06009	1.28
52.9703	117.805	229.225	0	0	0	1.05941	1.3
52.9602	116.701	230.339	0	0	0	1.0592	1.32
52.9729	115.608	231.419	0	0	0	1.05946	1.34
53.0071	114.525	232.468	0	0	0	1.06014	1.36
