S	I	R	e	d	dI	f	t
380	20	0	0.044	0.04	0.2	0	0
379.244	20.359	0.201065	0.0439784	0.0399804	0.20359	0	0.01
378.474	20.7243	0.40472	0.0439563	0.0399603	0.207243	0	0.02
377.692	21.0949	0.611007	0.0439338	0.0399398	0.210949	0	0.03
376.899	21.4709	0.819965	0.0439108	0.0399189	0.214709	0	0.04
376.093	21.8523	1.03163	0.0438875	0.0398977	0.218523	0	0.05
375.276	22.2391	1.24605	0.0438637	0.0398761	0.222391	0	0.06
374.446	22.6313	1.46326	0.0438395	0.0398541	0.226313	0	0.07
373.605	23.029	1.68331	0.0438149	0.0398317	0.23029	0	0.08
372.751	23.4322	1.90622	0.0437898	0.0398089	0.234322	0	0.09
371.884	23.841	2.13205	0.0437643	0.0397857	0.23841	0	0.1
371.005	24.2552	2.36083	0.0437383	0.0397621	0.242552	0	0.11
370.113	24.6751	2.5926	0.0437119	0.0397381	0.246751	0	0.12
369.208	25.1005	2.8274	0.043685	0.0397136	0.251005	0	0.13
368.291	25.5314	3.06528	0.0436576	0.0396887	0.255314	0	0.14
367.36	25.968	3.30627	0.0436298	0.0396634	0.25968	0	0.15
366.416	26.4102	3.55041	0.0436014	0.0396377	0.264102	0	0.16
365.459	26.858	3.79775	0.0435726	0.0396115	0.26858	0	0.17
364.488	27.3113	4.04832	0.0435433	0.0395848	0.273113	0	0.18
363.505	27.7703	4.30216	0.0435135	0.0395577	0.277703	0	0.19
362.507	28.2349	4.55932	0.0434832	0.0395301	0.282349	0	0.2
361.496	28.7051	4.81982	0.0434523	0.0395021	0.287051	0	0.21
360.471	29.1809	5.08372	0.043421	0.0394736	0.291809	0	0.22
359.433	29.6623	5.35104	0.0433891	0.0394446	0.296623	0	0.23
358.38	30.1493	5.62183	0.0433567	0.0394152	0.301493	0	0.24
357.314	30.6417	5.89612	0.0433237	0.0393852	0.306417	0	0.25
356.234	31.1397	6.17396	0.0432902	0.0393547	0.311397	0	0.26
355.139	31.6432	6.45537	0.0432562	0.0393238	0.316432	0	0.27
354.031	32.1522	6.7404	0.0432216	0.0392923	0.321522	0	0.28
352.908	32.6666	7.02907	0.0431864	0.0392604	0.326666	0	0.29
351.771	33.1864	7.32144	0.0431507	0.0392279	0.331864	0	0.3
350.62	33.7115	7.61752	0.0431144	0.0391949	0.337115	0	0.31
349.454	34.2419	7.91737	0.0430775	0.0391613	0.342419	0	0.32
348.274	34.7776	8.221	0.04304	0.0391273	0.347776	0	0.33
347.079	35.3186	8.52845	0.0430019	0.0390926	0.353186	0	0.34
345.871	35.8646	8.83975	0.0429632	0.0390575	0.358646	0	0.35
344.647	36.4157	9.15495	0.042924	0.0390218	0.364157	0	0.36
343.409	36.9719	9.47405	0.0428841	0.0389855	0.369719	0	0.37
342.157	37.533	9.79711	0.0428436	0.0389487	0.37533	0	0.38
340.89	38.0989	10.1241	0.0428025	0.0389114	0.380989	0	0.39
339.609	38.6697	10.4552	0.0427607	0.0388734	0.386697	0	0.4
338.314	39.2451	10.7902	0.0427184	0.0388349	0.392451	0	0.41
337.003	39.8252	11.1294	0.0426754	0.0387958	0.398252	0	0.42
335.679	40.4097	11.4726	0.0426317	0.0387561	0.404097	0	0.43
334.34	40.9987	11.8199	0.0425874	0.0387159	0.409987	0	0.44
332.987	41.592	12.1713	0.0425425	0.038675	0.41592	0	0.45
331.619	42.1895	12.5269	0.0424969	0.0386335	0.421895	0	0.46
330.237	42.7911	12.8866	0.0424506	0.0385915	0.427911	0	0.47
328.841	43.3967	13.2506	0.0424037	0.0385488	0.433967	0	0.48
327.431	44.0061	13.6187	0.0423561	0.0385056	0.440061	0	0.49
326.007	44.6192	13.9911	0.0423079	0.0384617	0.446192	0	0.5
324.569	45.2359	14.3677	0.0422589	0.0384172	0.452359	0	0.51
323.117	45.856	14.7486	0.0422093	0.0383721	0.45856	0	0.52
321.651	46.4794	15.1337	0.042159	0.0383264	0.464794	0	0.53
320.171	47.106	15.5231	0.042108	0.03828	0.47106	0	0.54
318.678	47.7355	15.9168	0.0420563	0.038233	0.477355	0	0.55
317.172	48.3679	16.3147	0.042004	0.0381854	0.483679	0	0.56
315.652	49.003	16.717	0.0419509	0.0381372	0.49003	0	0.57
314.119	49.6405	17.1236	0.0418971	0.0380883	0.496405	0	0.58
312.573	50.2803	17.5344	0.0418427	0.0380388	0.502803	0	0.59
311.014	50.9223	17.9496	0.0417875	0.0379886	0.509223	0	0.6
309.443	51.5662	18.3691	0.0417316	0.0379378	0.515662	0	0.61
307.859	52.2119	18.7928	0.041675	0.0378863	0.522119	0	0.62
306.262	52.8592	19.2209	0.0416177	0.0378342	0.528592	0	0.63
