S	I	R	e	d	dI	f	t
380	20	0	0.044	0.04	0.2	1.9	0
377.355	20.3574	2.09152	0.0439784	0.0399804	0.203574	1.88677	0.01
374.723	20.7171	4.16281	0.0439563	0.0399603	0.207171	1.87361	0.02
372.106	21.0782	6.21405	0.0439338	0.0399398	0.210782	1.86053	0.03
369.504	21.4403	8.24543	0.0439109	0.039919	0.214403	1.84752	0.04
366.917	21.8034	10.2571	0.0438876	0.0398978	0.218034	1.83459	0.05
364.346	22.1674	12.2494	0.0438638	0.0398762	0.221674	1.82173	0.06
361.789	22.5321	14.2223	0.0438397	0.0398543	0.225321	1.80894	0.07
359.247	22.8974	16.1761	0.0438152	0.039832	0.228974	1.79623	0.08
356.72	23.2632	18.1109	0.0437903	0.0398094	0.232632	1.7836	0.09
354.207	23.6293	20.027	0.043765	0.0397864	0.236293	1.77104	0.1
351.709	23.9957	21.9245	0.0437393	0.039763	0.239957	1.75855	0.11
349.226	24.3622	23.8035	0.0437131	0.0397392	0.243622	1.74613	0.12
346.758	24.7287	25.6643	0.0436866	0.0397151	0.247287	1.73379	0.13
344.304	25.095	27.507	0.0436597	0.0396906	0.25095	1.72152	0.14
341.865	25.4609	29.3317	0.0436323	0.0396658	0.254609	1.70933	0.15
339.44	25.8265	31.1387	0.0436046	0.0396406	0.258265	1.6972	0.16
337.03	26.1915	32.928	0.0435765	0.039615	0.261915	1.68515	0.17
334.635	26.5558	34.6999	0.0435479	0.039589	0.265558	1.67317	0.18
332.253	26.9193	36.4545	0.043519	0.0395627	0.269193	1.66127	0.19
329.887	27.2819	38.1919	0.0434896	0.039536	0.272819	1.64943	0.2
327.534	27.6433	39.9123	0.0434599	0.039509	0.276433	1.63767	0.21
325.197	28.0036	41.6159	0.0434298	0.0394816	0.280036	1.62598	0.22
322.873	28.3625	43.3027	0.0433992	0.0394539	0.283625	1.61437	0.23
320.564	28.7199	44.973	0.0433683	0.0394257	0.287199	1.60282	0.24
318.27	29.0758	46.6268	0.043337	0.0393973	0.290758	1.59135	0.25
315.99	29.4299	48.2644	0.0433053	0.0393684	0.294299	1.57995	0.26
313.725	29.7821	49.8858	0.0432732	0.0393393	0.297821	1.56862	0.27
311.474	30.1324	51.4912	0.0432407	0.0393097	0.301324	1.55737	0.28
309.237	30.4806	53.0807	0.0432078	0.0392798	0.304806	1.54619	0.29
307.015	30.8265	54.6544	0.0431746	0.0392496	0.308265	1.53508	0.3
304.808	31.1701	56.2125	0.0431409	0.039219	0.311701	1.52404	0.31
302.615	31.5113	57.7551	0.0431069	0.0391881	0.315113	1.51307	0.32
300.436	31.8498	59.2824	0.0430725	0.0391568	0.318498	1.50218	0.33
298.272	32.1857	60.7944	0.0430378	0.0391252	0.321857	1.49136	0.34
296.123	32.5187	62.2913	0.0430026	0.0390933	0.325187	1.48062	0.35
293.989	32.8488	63.7732	0.0429672	0.0390611	0.328488	1.46994	0.36
291.869	33.1758	65.2402	0.0429313	0.0390285	0.331758	1.45934	0.37
289.763	33.4997	66.6924	0.0428951	0.0389955	0.334997	1.44882	0.38
287.673	33.8204	68.13	0.0428585	0.0389623	0.338204	1.43836	0.39
285.597	34.1376	69.5531	0.0428216	0.0389287	0.341376	1.42798	0.4
283.535	34.4514	70.9617	0.0427843	0.0388949	0.344514	1.41768	0.41
281.489	34.7617	72.3561	0.0427467	0.0388607	0.347617	1.40744	0.42
279.457	35.0682	73.7362	0.0427088	0.0388262	0.350682	1.39729	0.43
