S	I	R	e	d	dI	f	t
380	20	0	0.176	0.16	0.8	15.2	0
362.224	21.3958	15.5913	0.175653	0.159685	0.855832	14.489	0.04
345.361	22.7558	30.2325	0.175274	0.15934	0.910232	13.8144	0.08
329.404	24.0519	43.9766	0.17487	0.158973	0.962075	13.1762	0.12
314.319	25.2719	56.8744	0.174445	0.158586	1.01088	12.5728	0.16
300.071	26.4058	68.9739	0.173998	0.15818	1.05623	12.0028	0.2
286.626	27.4455	80.3204	0.173532	0.157757	1.09782	11.465	0.24
273.952	28.3845	90.9564	0.173049	0.157317	1.13538	10.9581	0.28
262.018	29.2184	100.922	0.17255	0.156863	1.16873	10.4807	0.32
250.792	29.9442	110.257	0.172037	0.156397	1.19777	10.0317	0.36
240.243	30.561	118.995	0.171512	0.15592	1.22244	9.60972	0.4
230.342	31.0691	127.172	0.170976	0.155433	1.24276	9.21367	0.44
221.058	31.4702	134.819	0.170433	0.154939	1.25881	8.84234	0.48
212.364	31.7674	141.967	0.169883	0.154439	1.2707	8.49454	0.52
204.229	31.9646	148.646	0.169329	0.153936	1.27858	8.16914	0.56
196.625	32.0664	154.881	0.168772	0.153429	1.28266	7.865	0.6
189.526	32.0784	160.7	0.168214	0.152922	1.28314	7.58103	0.64
182.904	32.0065	166.127	0.167656	0.152415	1.28026	7.31614	0.68
176.732	31.8567	171.185	0.167101	0.15191	1.27427	7.06929	0.72
170.987	31.6356	175.896	0.166548	0.151407	1.26543	6.83947	0.76
165.642	31.3496	180.28	0.166	0.150909	1.25399	6.62569	0.8
160.676	31.0052	184.358	0.165457	0.150415	1.24021	6.42702	0.84
156.064	30.6085	188.147	0.164921	0.149928	1.22434	6.24254	0.88
151.785	30.1659	191.666	0.164391	0.149447	1.20663	6.07139	0.92
147.819	29.683	194.932	0.163871	0.148973	1.18732	5.91274	0.96
144.145	29.1655	197.959	0.163358	0.148508	1.16662	5.7658	1
140.745	28.6187	200.762	0.162856	0.148051	1.14475	5.62982	1.04
137.602	28.0474	203.357	0.162363	0.147602	1.12189	5.50407	1.08
134.698	27.4561	205.755	0.16188	0.147163	1.09824	5.3879	1.12
132.017	26.8492	207.969	0.161407	0.146734	1.07397	5.28067	1.16
129.544	26.2303	210.012	0.160946	0.146314	1.04921	5.18176	1.2
127.265	25.603	211.894	0.160495	0.145905	1.02412	5.09062	1.24
125.168	24.9705	213.625	0.160056	0.145505	0.998819	5.00671	1.28
123.238	24.3355	215.216	0.159627	0.145116	0.97342	4.92953	1.32
121.466	23.7006	216.675	0.15921	0.144737	0.948023	4.85862	1.36
119.838	23.068	218.013	0.158804	0.144367	0.922719	4.79353	1.4
118.346	22.4396	219.235	0.158409	0.144008	0.897586	4.73385	1.44
116.98	21.8173	220.351	0.158025	0.143659	0.872692	4.6792	1.48
115.73	21.2024	221.368	0.157652	0.14332	0.848096	4.62921	1.52
114.589	20.5963	222.292	0.15729	0.142991	0.823851	4.58356	1.56
113.548	20	223.13	0.156938	0.142671	0.799998	4.54191	1.6
112.6	19.4144	223.888	0.156597	0.142361	0.776575	4.504	1.64
111.738	18.8403	224.571	0.156266	0.14206	0.753611	4.46953	1.68
110.956	18.2783	225.185	0.155945	0.141768	0.731131	4.43826	1.72
