S	I	R	e	d	dI	f	t
300	100	0	0.176	0.16	4	96	0
207.24	102.363	86.4067	0.174244	0.158404	4.09451	66.3168	0.04
144.522	101.578	145.81	0.172441	0.156764	4.06312	46.2471	0.08
102.338	98.6749	186.876	0.170671	0.155156	3.947	32.7481	0.12
74.0314	94.4781	215.505	0.168966	0.153606	3.77912	23.69	0.16
55.064	89.578	235.684	0.167343	0.15213	3.58312	17.6205	0.2
42.368	84.3719	250.103	0.165811	0.150737	3.37488	13.5578	0.24
33.8809	79.1151	260.575	0.164371	0.149428	3.1646	10.8419	0.28
28.2192	73.9644	268.326	0.163024	0.148204	2.95857	9.03015	0.32
24.4558	69.0112	274.184	0.161766	0.14706	2.76045	7.82586	0.36
21.9687	64.305	278.713	0.160594	0.145995	2.5722	7.03	0.4
20.3405	59.8682	282.298	0.159503	0.145003	2.39473	6.50897	0.44
19.2904	55.707	285.203	0.158488	0.14408	2.22828	6.17292	0.48
18.6291	51.8175	287.608	0.157544	0.143222	2.0727	5.96132	0.52
18.2291	48.1901	289.641	0.156666	0.142424	1.9276	5.8333	0.56
18.0039	44.8122	291.39	0.155851	0.141682	1.79249	5.76125	0.6
17.8952	41.6695	292.918	0.155093	0.140993	1.66678	5.72648	0.64
17.8635	38.7475	294.271	0.154388	0.140353	1.5499	5.71632	0.68
17.8819	36.0316	295.481	0.153733	0.139758	1.44126	5.7222	0.72
17.9321	33.5077	296.572	0.153125	0.139205	1.34031	5.73828	0.76
18.002	31.1625	297.562	0.15256	0.138691	1.2465	5.76065	0.8
18.0832	28.9833	298.466	0.152034	0.138213	1.15933	5.78663	0.84
18.1702	26.9584	299.294	0.151546	0.137769	1.07834	5.81446	0.88
18.2592	25.0766	300.055	0.151092	0.137356	1.00307	5.84294	0.92
18.3478	23.3278	300.757	0.15067	0.136973	0.933113	5.87129	0.96
18.4344	21.7024	301.405	0.150278	0.136617	0.868096	5.899	1
18.518	20.1915	302.005	0.149914	0.136286	0.80766	5.92577	1.04
18.5981	18.7869	302.56	0.149576	0.135978	0.751477	5.95139	1.08
18.6743	17.481	303.075	0.149261	0.135692	0.699242	5.97577	1.12
18.7465	16.2668	303.553	0.148969	0.135426	0.650673	5.99887	1.16
18.8146	15.1377	303.996	0.148697	0.135179	0.605509	6.02068	1.2
18.8788	14.0877	304.409	0.148445	0.13495	0.563507	6.04123	1.24
18.9392	13.111	304.792	0.148211	0.134737	0.524442	6.06055	1.28
18.9959	12.2026	305.149	0.147993	0.134539	0.488106	6.07869	1.32
19.0491	11.3576	305.481	0.147791	0.134355	0.454306	6.09571	1.36
19.0989	10.5715	305.79	0.147603	0.134184	0.422862	6.11166	1.4
19.1456	9.8402	306.078	0.147428	0.134026	0.393608	6.1266	1.44
19.1893	9.15975	306.347	0.147266	0.133878	0.36639	6.14059	1.48
19.2303	8.52662	306.597	0.147116	0.133742	0.341065	6.15368	1.52
19.2685	7.93748	306.831	0.146976	0.133615	0.317499	6.16593	1.56
19.3043	7.38924	307.049	0.146847	0.133497	0.29557	6.17739	1.6
19.3378	6.87905	307.252	0.146726	0.133388	0.275162	6.18811	1.64
19.3692	6.40423	307.442	0.146615	0.133286	0.256169	6.19813	1.68
19.3984	5.96231	307.62	0.146511	0.133192	0.238492	6.2075	1.72
19.4258	5.551	307.786	0.146416	0.133105	0.22204	6.21626	1.76
19.4514	5.16817	307.941	0.146327	0.133024	0.206727	6.22446	1.8
19.4754	4.81182	308.086	0.146244	0.132949	0.192473	6.23212	1.84
19.4978	4.48012	308.222	0.146168	0.13288	0.179205	6.23928	1.88
19.5187	4.17135	308.35	0.146097	0.132816	0.166854	6.24598	1.92
19.5383	3.88391	308.469	0.146032	0.132756	0.155357	6.25224	1.96
19.5566	3.61634	308.581	0.145972	0.132702	0.144653	6.2581	2
19.5737	3.36723	308.686	0.145916	0.132651	0.134689	6.26358	2.04
19.5897	3.13533	308.784	0.145864	0.132604	0.125413	6.26871	2.08
19.6047	2.91942	308.877	0.145816	0.13256	0.116777	6.2735	2.12
19.6187	2.71842	308.964	0.145773	0.13252	0.108737	6.27799	2.16
19.6319	2.53127	309.046	0.145732	0.132484	0.101251	6.28219	2.2
19.6441	2.35703	309.123	0.145695	0.13245	0.0942814	6.28612	2.24
19.6556	2.19481	309.195	0.14566	0.132418	0.0877923	6.28981	2.28
19.6664	2.04376	309.264	0.145629	0.13239	0.0817505	6.29326	2.32
19.6765	1.90312	309.328	0.145599	0.132363	0.076125	6.29649	2.36
19.686	1.77218	309.389	0.145573	0.132339	0.0708871	6.29952	2.4
19.6949	1.65025	309.447	0.145548	0.132317	0.06601	6.30236	2.44
19.7032	1.53672	309.501	0.145526	0.132296	0.0614688	6.30502	2.48
19.711	1.43101	309.553	0.145506	0.132278	0.0572404	6.30752	2.52
19.7183	1.33258	309.601	0.145487	0.132261	0.0533031	6.30986	2.56
19.7252	1.24092	309.648	0.14547	0.132246	0.0496368	6.31207	2.6
19.7317	1.15557	309.692	0.145455	0.132232	0.0462229	6.31414	2.64
19.7378	1.0761	309.734	0.145441	0.132219	0.043044	6.31608	2.68
19.7435	1.0021	309.773	0.145428	0.132208	0.0400839	6.31791	2.72
