S	I	R	e	d	dI	f	t
300	100	0	0.176	0.16	4	24	0
266.065	99.3867	30.5627	0.174246	0.158406	3.97547	21.2852	0.04
236.572	97.6139	57.8777	0.172508	0.156825	3.90456	18.9258	0.08
211.057	94.8844	82.2627	0.17081	0.155282	3.79537	16.8845	0.12
189.06	91.4013	104.008	0.169166	0.153788	3.65605	15.1248	0.16
170.152	87.357	123.378	0.16759	0.152355	3.49428	13.6121	0.2
153.936	82.9253	140.614	0.166089	0.15099	3.31701	12.3149	0.24
140.057	78.2566	155.935	0.164669	0.149699	3.13027	11.2045	0.28
128.195	73.4771	169.539	0.163333	0.148485	2.93908	10.2556	0.32
118.072	68.689	181.607	0.162082	0.147347	2.74756	9.44572	0.36
109.442	63.9727	192.301	0.160915	0.146286	2.55891	8.75534	0.4
102.094	59.3892	201.768	0.15983	0.1453	2.37557	8.16749	0.44
95.8442	54.9829	210.14	0.158825	0.144387	2.19932	7.66754	0.48
90.536	50.7845	217.536	0.157897	0.143542	2.03138	7.24288	0.52
86.0339	46.8133	224.063	0.15704	0.142764	1.87253	6.88271	0.56
82.2221	43.0797	229.817	0.156252	0.142047	1.72319	6.57777	0.6
79.0014	39.5873	234.884	0.155528	0.141389	1.58349	6.32011	0.64
76.287	36.3341	239.341	0.154863	0.140785	1.45337	6.10296	0.68
74.0062	33.3146	243.257	0.154254	0.140231	1.33258	5.92049	0.72
72.0967	30.5203	246.693	0.153696	0.139724	1.22081	5.76773	0.76
70.5051	27.9407	249.704	0.153186	0.13926	1.11763	5.64041	0.8
69.1857	25.5645	252.34	0.15272	0.138836	1.02258	5.53485	0.84
68.099	23.3793	254.643	0.152293	0.138449	0.935173	5.44792	0.88
67.2114	21.3729	256.653	0.151904	0.138095	0.854914	5.37691	0.92
66.4937	19.5327	258.403	0.151549	0.137772	0.781308	5.3195	0.96
65.9209	17.8468	259.926	0.151225	0.137477	0.713871	5.27367	1
65.4714	16.3035	261.247	0.150929	0.137209	0.652138	5.23771	1.04
