S	I	R	e	d	dI	f	t
380	20	0	0.132	1.2	0.006	0	0
376.703	21.0185	1.21614	0.131649	1.19681	0.00630555	0	0.03
373.313	22.0822	2.47262	0.131296	1.1936	0.00662467	0	0.06
369.847	23.1833	3.77092	0.130944	1.1904	0.00695498	0	0.09
366.302	24.321	5.11252	0.130593	1.18721	0.00729629	0	0.12
362.68	25.4947	6.49879	0.130242	1.18402	0.0076484	0	0.15
358.979	26.7034	7.93105	0.129893	1.18084	0.00801102	0	0.18
355.2	27.9461	9.41056	0.129544	1.17767	0.00838384	0	0.21
351.341	29.2214	10.9384	0.129195	1.1745	0.00876641	0	0.24
347.405	30.5275	12.5157	0.128848	1.17135	0.00915825	0	0.27
343.393	31.8626	14.1434	0.128501	1.1682	0.00955877	0	0.3
339.304	33.2243	15.8221	0.128156	1.16505	0.0099673	0	0.33
335.142	34.6103	17.5525	0.127811	1.16192	0.0103831	0	0.36
330.909	36.0178	19.335	0.127466	1.15879	0.0108053	0	0.39
326.608	37.4435	21.17	0.127123	1.15566	0.0112331	0	0.42
322.241	38.8843	23.0575	0.12678	1.15255	0.0116653	0	0.45
317.813	40.3365	24.9973	0.126438	1.14944	0.0121009	0	0.48
313.327	41.7961	26.9891	0.126097	1.14634	0.0125388	0	0.51
308.789	43.2593	29.0324	0.125757	1.14324	0.0129778	0	0.54
304.204	44.7215	31.1262	0.125417	1.14015	0.0134165	0	0.57
299.576	46.1785	33.2696	0.125078	1.13707	0.0138535	0	0.6
294.913	47.6254	35.4612	0.12474	1.134	0.0142876	0	0.63
290.22	49.0577	37.6994	0.124402	1.13093	0.0147173	0	0.66
285.504	50.4706	39.9824	0.124066	1.12787	0.0151412	0	0.69
280.771	51.8591	42.3082	0.12373	1.12482	0.0155577	0	0.72
276.03	53.2184	44.6744	0.123394	1.12177	0.0159655	0	0.75
271.287	54.5439	47.0784	0.12306	1.11873	0.0163632	0	0.78
266.55	55.8308	49.5174	0.122726	1.11569	0.0167492	0	0.81
261.826	57.0745	51.9884	0.122393	1.11267	0.0171224	0	0.84
257.123	58.2709	54.4882	0.122061	1.10965	0.0174813	0	0.87
252.449	59.4156	57.0132	0.12173	1.10663	0.0178247	0	0.9
247.81	60.505	59.5599	0.121399	1.10363	0.0181515	0	0.93
243.215	61.5355	62.1245	0.121069	1.10063	0.0184606	0	0.96
238.671	62.5038	64.7031	0.12074	1.09763	0.0187511	0	0.99
234.184	63.4071	67.2917	0.120411	1.09465	0.0190221	0	1.02
229.761	64.2429	69.8862	0.120084	1.09167	0.0192729	0	1.05
225.408	65.0093	72.4823	0.119757	1.0887	0.0195028	0	1.08
221.131	65.7044	75.0759	0.119431	1.08573	0.0197113	0	1.11
216.936	66.3272	77.6628	0.119106	1.08278	0.0198982	0	1.14
212.827	66.8767	80.2387	0.118781	1.07983	0.020063	0	1.17
208.81	67.3526	82.7995	0.118457	1.07689	0.0202058	0	1.2
204.888	67.7548	85.3411	0.118135	1.07395	0.0203264	0	1.23
201.065	68.0837	87.8593	0.117813	1.07102	0.0204251	0	1.26
197.344	68.3402	90.3504	0.117492	1.0681	0.0205021	0	1.29
193.729	68.5252	92.8105	0.117171	1.06519	0.0205576	0	1.32
190.22	68.6403	95.2359	0.116852	1.06229	0.0205921	0	1.35
186.82	68.6871	97.6231	0.116533	1.05939	0.0206061	0	1.38
183.531	68.6677	99.9688	0.116215	1.0565	0.0206003	0	1.41
180.353	68.5842	102.27	0.115898	1.05362	0.0205753	0	1.44
