S	I	R	e	d	dI	f	t
380	20	0	0.176	0.16	0.8	0	0
376.984	20.6268	1.60709	0.175656	0.159687	0.825072	0	0.04
373.91	21.2571	3.23164	0.175296	0.15936	0.850283	0	0.08
370.795	21.8864	4.8733	0.174924	0.159022	0.875455	0	0.12
367.64	22.5132	6.53158	0.174541	0.158674	0.900527	0	0.16
364.448	23.136	8.20591	0.174147	0.158316	0.925438	0	0.2
361.221	23.7532	9.89557	0.173743	0.157948	0.950129	0	0.24
357.962	24.3634	11.5998	0.173327	0.15757	0.974535	0	0.28
354.674	24.9649	13.3176	0.172901	0.157183	0.998594	0	0.32
351.359	25.5561	15.0481	0.172464	0.156785	1.02224	0	0.36
348.022	26.1354	16.7901	0.172017	0.156379	1.04542	0	0.4
344.664	26.7013	18.5423	0.17156	0.155963	1.06805	0	0.44
341.291	27.2523	20.3035	0.171092	0.155539	1.09009	0	0.48
337.904	27.7867	22.0722	0.170616	0.155105	1.11147	0	0.52
334.508	28.3032	23.8469	0.17013	0.154663	1.13213	0	0.56
331.107	28.8002	25.626	0.169634	0.154213	1.15201	0	0.6
327.704	29.2765	27.4079	0.169131	0.153755	1.17106	0	0.64
324.303	29.7308	29.1908	0.168619	0.15329	1.18923	0	0.68
320.909	30.1617	30.9729	0.168099	0.152817	1.20647	0	0.72
317.525	30.5684	32.7523	0.167572	0.152338	1.22273	0	0.76
314.154	30.9496	34.5272	0.167038	0.151852	1.23798	0	0.8
310.802	31.3046	36.2955	0.166497	0.151361	1.25218	0	0.84
307.472	31.6325	38.0552	0.16595	0.150864	1.2653	0	0.88
304.167	31.9327	39.8045	0.165398	0.150362	1.27731	0	0.92
300.891	32.2046	41.5413	0.16484	0.149855	1.28818	0	0.96
297.648	32.4478	43.2636	0.164278	0.149344	1.29791	0	1
294.441	32.6619	44.9693	0.163712	0.148829	1.30648	0	1.04
291.274	32.8468	46.6566	0.163142	0.148311	1.31387	0	1.08
288.15	33.0025	48.3234	0.162569	0.14779	1.3201	0	1.12
285.071	33.1289	49.9679	0.161994	0.147267	1.32516	0	1.16
282.041	33.2263	51.5882	0.161416	0.146742	1.32905	0	1.2
279.062	33.2951	53.1825	0.160837	0.146216	1.3318	0	1.24
276.137	33.3355	54.749	0.160257	0.145689	1.33342	0	1.28
273.268	33.3481	56.2862	0.159677	0.145161	1.33392	0	1.32
270.457	33.3335	57.7924	0.159096	0.144633	1.33334	0	1.36
267.706	33.2925	59.266	0.158516	0.144106	1.3317	0	1.4
265.016	33.2257	60.7058	0.157937	0.143579	1.32903	0	1.44
262.39	33.1341	62.1103	0.157359	0.143054	1.32537	0	1.48
259.828	33.0187	63.4784	0.156783	0.14253	1.32075	0	1.52
257.332	32.8803	64.8088	0.156209	0.142008	1.31521	0	1.56
254.901	32.72	66.1007	0.155638	0.141489	1.3088	0	1.6
252.538	32.5389	67.353	0.155069	0.140972	1.30156	0	1.64
250.243	32.3381	68.565	0.154504	0.140458	1.29353	0	1.68
248.015	32.1188	69.7359	0.153943	0.139948	1.28475	0	1.72
245.856	31.8821	70.8652	0.153385	0.139441	1.27528	0	1.76
243.765	31.6291	71.9523	0.152832	0.138938	1.26517	0	1.8
241.741	31.3611	72.9969	0.152284	0.13844	1.25444	0	1.84
239.785	31.0792	73.9986	0.15174	0.137945	1.24317	0	1.88
237.897	30.7846	74.9573	0.151201	0.137456	1.23138	0	1.92
236.075	30.4783	75.8728	0.150668	0.136971	1.21913	0	1.96
234.319	30.1616	76.7452	0.15014	0.13649	1.20646	0	2
232.629	29.8355	77.5745	0.149617	0.136016	1.19342	0	2.04
231.003	29.5011	78.3609	0.1491	0.135546	1.18005	0	2.08
229.44	29.1595	79.1046	0.14859	0.135082	1.16638	0	2.12
227.939	28.8115	79.806	0.148085	0.134623	1.15246	0	2.16
226.5	28.4583	80.4654	0.147587	0.13417	1.13833	0	2.2
225.121	28.1006	81.0833	0.147094	0.133722	1.12403	0	2.24
223.801	27.7395	81.6602	0.146608	0.13328	1.10958	0	2.28
222.538	27.3757	82.1968	0.146129	0.132844	1.09503	0	2.32
221.332	27.0101	82.6935	0.145655	0.132414	1.0804	0	2.36
220.18	26.6433	83.1512	0.145189	0.13199	1.06573	0	2.4
219.081	26.2761	83.5705	0.144728	0.131571	1.05104	0	2.44
218.035	25.9092	83.9522	0.144274	0.131159	1.03637	0	2.48
217.039	25.5432	84.2971	0.143827	0.130752	1.02173	0	2.52
216.092	25.1786	84.6061	0.143386	0.130351	1.00714	0	2.56
215.193	24.816	84.8799	0.142951	0.129956	0.99264	0	2.6
214.34	24.4559	85.1196	0.142523	0.129566	0.978237	0	2.64
213.532	24.0988	85.3259	0.142101	0.129183	0.963952	0	2.68
212.767	23.745	85.4999	0.141685	0.128805	0.949801	0	2.72
212.044	23.395	85.6423	0.141276	0.128432	0.935801	0	2.76
211.361	23.0491	85.7543	0.140872	0.128066	0.921964	0	2.8
210.716	22.7076	85.8367	0.140475	0.127704	0.908304	0	2.84
210.11	22.3708	85.8906	0.140083	0.127348	0.894832	0	2.88
209.539	22.0389	85.9167	0.139698	0.126998	0.881557	0	2.92
209.003	21.7122	85.9162	0.139318	0.126653	0.868488	0	2.96
208.501	21.3908	85.89	0.138944	0.126313	0.855634	0	3
208.03	21.075	85.839	0.138575	0.125978	0.843	0	3.04
207.59	20.7648	85.7642	0.138212	0.125648	0.830593	0	3.08
207.179	20.4604	85.6664	0.137855	0.125322	0.818418	0	3.12
206.797	20.1619	85.5467	0.137502	0.125002	0.806478	0	3.16
206.441	19.8694	85.4059	0.137155	0.124687	0.794776	0	3.2
206.112	19.5829	85.245	0.136813	0.124376	0.783316	0	3.24
205.806	19.3025	85.0648	0.136476	0.124069	0.772098	0	3.28
205.524	19.0281	84.8662	0.136144	0.123767	0.761125	0	3.32
205.265	18.7599	84.6501	0.135817	0.12347	0.750396	0	3.36
205.026	18.4978	84.4172	0.135494	0.123176	0.739911	0	3.4
204.808	18.2418	84.1685	0.135176	0.122887	0.729672	0	3.44
204.608	17.9919	83.9047	0.134862	0.122602	0.719675	0	3.48
204.427	17.748	83.6266	0.134553	0.122321	0.709921	0	3.52
204.263	17.5102	83.335	0.134248	0.122043	0.700407	0	3.56
204.115	17.2783	83.0307	0.133947	0.12177	0.691132	0	3.6
203.983	17.0523	82.7143	0.13365	0.1215	0.682094	0	3.64
203.865	16.8322	82.3865	0.133357	0.121233	0.673289	0	3.68
203.76	16.6179	82.0481	0.133067	0.12097	0.664716	0	3.72
203.668	16.4093	81.6998	0.132782	0.120711	0.656372	0	3.76
203.588	16.2063	81.3421	0.1325	0.120455	0.648252	0	3.8
203.519	16.0089	80.9758	0.132222	0.120201	0.640355	0	3.84
203.46	15.8169	80.6014	0.131947	0.119952	0.632677	0	3.88
203.412	15.6303	80.2195	0.131675	0.119705	0.625213	0	3.92
203.372	15.4491	79.8307	0.131407	0.119461	0.617962	0	3.96
203.34	15.273	79.4356	0.131141	0.119219	0.610919	0	4
203.316	15.102	79.0346	0.130879	0.118981	0.60408	0	4.04
203.299	14.936	78.6284	0.13062	0.118745	0.597441	0	4.08
203.288	14.775	78.2174	0.130363	0.118512	0.591	0	4.12
203.283	14.6188	77.8021	0.13011	0.118282	0.584752	0	4.16
203.284	14.4673	77.3829	0.129859	0.118054	0.578693	0	4.2
203.289	14.3205	76.9604	0.129611	0.117828	0.572819	0	4.24
203.298	14.1782	76.5349	0.129365	0.117605	0.567127	0	4.28
203.311	14.0403	76.1069	0.129122	0.117383	0.561613	0	4.32
203.327	13.9068	75.6768	0.128881	0.117164	0.556273	0	4.36
203.346	13.7776	75.2449	0.128642	0.116947	0.551103	0	4.4
203.368	13.6525	74.8116	0.128406	0.116733	0.5461	0	4.44
203.391	13.5315	74.3773	0.128172	0.11652	0.54126	0	4.48
203.415	13.4145	73.9423	0.12794	0.116309	0.536579	0	4.52
203.441	13.3013	73.507	0.12771	0.1161	0.532054	0	4.56
203.467	13.192	73.0716	0.127481	0.115892	0.527681	0	4.6
203.493	13.0864	72.6365	0.127255	0.115687	0.523457	0	4.64
203.52	12.9845	72.2019	0.127031	0.115483	0.519379	0	4.68
203.546	12.886	71.7682	0.126808	0.11528	0.515442	0	4.72
203.571	12.7911	71.3355	0.126587	0.115079	0.511644	0	4.76
203.596	12.6995	70.9042	0.126368	0.11488	0.507981	0	4.8
203.619	12.6113	70.4744	0.12615	0.114682	0.504451	0	4.84
203.641	12.5262	70.0464	0.125934	0.114485	0.501049	0	4.88
203.66	12.4443	69.6205	0.125719	0.11429	0.497774	0	4.92
203.678	12.3655	69.1967	0.125506	0.114096	0.494621	0	4.96
203.693	12.2897	68.7754	0.125294	0.113903	0.491588	0	5
203.706	12.2168	68.3567	0.125083	0.113712	0.488673	0	5.04
203.716	12.1468	67.9408	0.124874	0.113521	0.485871	0	5.08
203.723	12.0795	67.5278	0.124665	0.113332	0.483181	0	5.12
203.727	12.015	67.1179	0.124458	0.113144	0.4806	0	5.16
203.727	11.9531	66.7113	0.124252	0.112957	0.478125	0	5.2
203.724	11.8938	66.3081	0.124047	0.11277	0.475753	0	5.24
203.717	11.8371	65.9085	0.123844	0.112585	0.473482	0	5.28
203.706	11.7827	65.5125	0.123641	0.112401	0.471309	0	5.32
203.691	11.7308	65.1202	0.123439	0.112217	0.469233	0	5.36
203.672	11.6812	64.7319	0.123237	0.112034	0.467249	0	5.4
203.649	11.6339	64.3475	0.123037	0.111852	0.465357	0	5.44
203.621	11.5888	63.9673	0.122838	0.111671	0.463553	0	5.48
203.588	11.5459	63.5913	0.122639	0.11149	0.461836	0	5.52
203.551	11.5051	63.2195	0.122441	0.11131	0.460203	0	5.56
203.509	11.4663	62.852	0.122244	0.111131	0.458653	0	5.6
203.462	11.4296	62.489	0.122047	0.110952	0.457182	0	5.64
203.41	11.3947	62.1305	0.121851	0.110774	0.455789	0	5.68
203.352	11.3618	61.7765	0.121656	0.110596	0.454472	0	5.72
203.29	11.3307	61.4272	0.121461	0.110419	0.453229	0	5.76
203.222	11.3014	61.0825	0.121267	0.110243	0.452058	0	5.8
203.15	11.2739	60.7425	0.121073	0.110066	0.450956	0	5.84
203.071	11.2481	60.4072	0.12088	0.109891	0.449923	0	5.88
202.987	11.2239	60.0768	0.120687	0.109715	0.448955	0	5.92
202.898	11.2013	59.7511	0.120494	0.10954	0.448052	0	5.96
202.803	11.1803	59.4304	0.120302	0.109366	0.447211	0	6
202.703	11.1608	59.1144	0.12011	0.109191	0.446432	0	6.04
202.597	11.1428	58.8034	0.119919	0.109017	0.445711	0	6.08
202.485	11.1262	58.4973	0.119728	0.108843	0.445047	0	6.12
202.368	11.111	58.1961	0.119537	0.10867	0.444439	0	6.16
202.245	11.0971	57.8998	0.119346	0.108497	0.443884	0	6.2
202.116	11.0846	57.6085	0.119156	0.108324	0.443382	0	6.24
201.981	11.0733	57.3221	0.118966	0.108151	0.442931	0	6.28
201.841	11.0632	57.0407	0.118776	0.107978	0.442529	0	6.32
201.695	11.0543	56.7642	0.118586	0.107805	0.442174	0	6.36
201.543	11.0466	56.4926	0.118396	0.107633	0.441865	0	6.4
201.385	11.04	56.2259	0.118206	0.10746	0.441601	0	6.44
201.222	11.0345	55.9641	0.118017	0.107288	0.441379	0	6.48
201.053	11.03	55.7073	0.117828	0.107116	0.441199	0	6.52
200.878	11.0265	55.4553	0.117638	0.106944	0.441059	0	6.56
200.697	11.0239	55.2081	0.117449	0.106772	0.440957	0	6.6
200.511	11.0223	54.9658	0.11726	0.1066	0.440892	0	6.64
200.319	11.0216	54.7283	0.11707	0.106428	0.440863	0	6.68
200.122	11.0217	54.4955	0.116881	0.106256	0.440869	0	6.72
199.919	11.0227	54.2675	0.116692	0.106084	0.440907	0	6.76
199.71	11.0244	54.0442	0.116503	0.105911	0.440977	0	6.8
199.496	11.0269	53.8256	0.116313	0.105739	0.441077	0	6.84
199.276	11.0301	53.6117	0.116124	0.105567	0.441205	0	6.88
199.051	11.034	53.4023	0.115934	0.105395	0.441362	0	6.92
198.82	11.0386	53.1975	0.115745	0.105223	0.441544	0	6.96
198.584	11.0438	52.9972	0.115555	0.10505	0.441752	0	7
198.343	11.0496	52.8015	0.115365	0.104878	0.441983	0	7.04
198.097	11.0559	52.6101	0.115176	0.104705	0.442236	0	7.08
197.845	11.0628	52.4232	0.114986	0.104532	0.442511	0	7.12
197.588	11.0701	52.2405	0.114795	0.104359	0.442805	0	7.16
