S	I	R	t
300	100	0	0
204.799	161.231	33.9699	0.333333
115.966	199.999	84.0358	0.666667
69.1536	196.111	134.735	1
55.0237	172.559	172.417	1.33333
55.7784	148.275	195.947	1.66667
62.3113	128.936	208.752	2
70.7398	114.984	214.276	2.33333
79.2314	105.525	215.244	2.66667
86.8446	99.529	213.626	3
93.1042	96.1161	210.78	3.33333
97.8266	94.5765	207.597	3.66667
101.033	94.3358	204.631	4
102.891	94.9235	202.185	4.33333
103.661	95.9574	200.381	4.66667
103.644	97.1406	199.215	5
103.138	98.2619	198.601	5.33333
102.395	99.1929	198.412	5.66667
101.611	99.8775	198.512	6
100.909	100.315	198.776	6.33333
100.356	100.539	199.105	6.66667
99.9701	100.601	199.428	7
99.7392	100.557	199.704	7.33333
99.6345	100.453	199.912	7.66667
99.6208	100.328	200.051	8
99.6644	100.207	200.129	8.33333
99.7368	100.105	200.159	8.66667
99.817	100.028	200.155	9
99.8909	99.9776	200.131	9.33333
99.9509	99.9499	200.099	9.66667
99.9942	99.9398	200.066	10
100.021	99.9419	200.037	10.3333
100.035	99.9511	200.014	10.6667
100.039	99.9634	199.998	11
100.036	99.976	199.989	11.3333
100.029	99.9869	199.984	11.6667
100.021	99.9953	199.984	12
100.013	100.001	199.986	12.3333
100.006	100.005	199.989	12.6667
100.002	100.006	199.992	13
99.9984	100.006	199.996	13.3333
99.9967	100.005	199.998	13.6667
99.9961	100.004	200	14
99.9963	100.003	200.001	14.3333
99.9969	100.002	200.002	14.6667
99.9977	100.001	200.002	15
99.9985	100	200.001	15.3333
99.9992	99.9996	200.001	15.6667
99.9997	99.9994	200.001	16
100	99.9994	200.001	16.3333
100	99.9994	200	16.6667
100	99.9996	200	17
100	99.9997	200	17.3333
100	99.9998	200	17.6667
100	99.9999	200	18
100	100	200	18.3333
100	100	200	18.6667
100	100	200	19
100	100	200	19.3333
100	100	200	19.6667
100	100	200	20
100	100	200	20.3333
100	100	200	20.6667
100	100	200	21
100	100	200	21.3333
100	100	200	21.6667
100	100	200	22
100	100	200	22.3333
100	100	200	22.6667
100	100	200	23
100	100	200	23.3333
100	100	200	23.6667
100	100	200	24
100	100	200	24.3333
100	100	200	24.6667
100	100	200	25
100	100	200	25.3333
100	100	200	25.6667
100	100	200	26
100	100	200	26.3333
100	100	200	26.6667
100	100	200	27
100	100	200	27.3333
100	100	200	27.6667
100	100	200	28
100	100	200	28.3333
100	100	200	28.6667
100	100	200	29
100	100	200	29.3333
100	100	200	29.6667
100	100	200	30
100	100	200	30.3333
100	100	200	30.6667
100	100	200	31
100	100	200	31.3333
100	100	200	31.6667
100	100	200	32
100	100	200	32.3333
100	100	200	32.6667
100	100	200	33
100	100	200	33.3333
100	100	200	33.6667
100	100	200	34
100	100	200	34.3333
100	100	200	34.6667
100	100	200	35
100	100	200	35.3333
100	100	200	35.6667
100	100	200	36
100	100	200	36.3333
100	100	200	36.6667
100	100	200	37
100	100	200	37.3333
100	100	200	37.6667
100	100	200	38
100	100	200	38.3333
100	100	200	38.6667
100	100	200	39
100	100	200	39.3333
100	100	200	39.6667
100	100	200	40
100	100	200	40.3333
100	100	200	40.6667
100	100	200	41
100	100	200	41.3333
100	100	200	41.6667
100	100	200	42
100	100	200	42.3333
100	100	200	42.6667
100	100	200	43
100	100	200	43.3333
100	100	200	43.6667
100	100	200	44
100	100	200	44.3333
100	100	200	44.6667
100	100	200	45
100	100	200	45.3333
100	100	200	45.6667
100	100	200	46
100	100	200	46.3333
100	100	200	46.6667
100	100	200	47
100	100	200	47.3333
100	100	200	47.6667
100	100	200	48
100	100	200	48.3333
100	100	200	48.6667
100	100	200	49
100	100	200	49.3333
100	100	200	49.6667
100	100	200	50
100	100	200	50.3333
100	100	200	50.6667
100	100	200	51
100	100	200	51.3333
100	100	200	51.6667
100	100	200	52
100	100	200	52.3333
100	100	200	52.6667
100	100	200	53
100	100	200	53.3333
100	100	200	53.6667
100	100	200	54
100	100	200	54.3333
100	100	200	54.6667
100	100	200	55
100	100	200	55.3333
100	100	200	55.6667
100	100	200	56
100	100	200	56.3333
100	100	200	56.6667
100	100	200	57
100	100	200	57.3333
100	100	200	57.6667
100	100	200	58
100	100	200	58.3333
100	100	200	58.6667
100	100	200	59
100	100	200	59.3333
100	100	200	59.6667
100	100	200	60
100	100	200	60.3333
100	100	200	60.6667
100	100	200	61
100	100	200	61.3333
100	100	200	61.6667
100	100	200	62
100	100	200	62.3333
100	100	200	62.6667
100	100	200	63
100	100	200	63.3333
100	100	200	63.6667
100	100	200	64
100	100	200	64.3333
100	100	200	64.6667
100	100	200	65
100	100	200	65.3333
100	100	200	65.6667
100	100	200	66
100	100	200	66.3333
100	100	200	66.6667
100	100	200	67
100	100	200	67.3333
100	100	200	67.6667
100	100	200	68
100	100	200	68.3333
100	100	200	68.6667
100	100	200	69
100	100	200	69.3333
100	100	200	69.6667
100	100	200	70
100	100	200	70.3333
100	100	200	70.6667
100	100	200	71
100	100	200	71.3333
100	100	200	71.6667
100	100	200	72
100	100	200	72.3333
100	100	200	72.6667
100	100	200	73
100	100	200	73.3333
100	100	200	73.6667
100	100	200	74
100	100	200	74.3333
100	100	200	74.6667
100	100	200	75
100	100	200	75.3333
100	100	200	75.6667
100	100	200	76
100	100	200	76.3333
100	100	200	76.6667
100	100	200	77
100	100	200	77.3333
100	100	200	77.6667
100	100	200	78
100	100	200	78.3333
100	100	200	78.6667
100	100	200	79
100	100	200	79.3333
100	100	200	79.6667
100	100	200	80
100	100	200	80.3333
100	100	200	80.6667
100	100	200	81
100	100	200	81.3333
100	100	200	81.6667
100	100	200	82
100	100	200	82.3333
100	100	200	82.6667
100	100	200	83
100	100	200	83.3333
100	100	200	83.6667
100	100	200	84
100	100	200	84.3333
100	100	200	84.6667
100	100	200	85
100	100	200	85.3333
100	100	200	85.6667
100	100	200	86
100	100	200	86.3333
100	100	200	86.6667
100	100	200	87
100	100	200	87.3333
100	100	200	87.6667
100	100	200	88
100	100	200	88.3333
100	100	200	88.6667
100	100	200	89
100	100	200	89.3333
100	100	200	89.6667
100	100	200	90
100	100	200	90.3333
100	100	200	90.6667
100	100	200	91
100	100	200	91.3333
100	100	200	91.6667
100	100	200	92
100	100	200	92.3333
100	100	200	92.6667
100	100	200	93
100	100	200	93.3333
100	100	200	93.6667
100	100	200	94
100	100	200	94.3333
100	100	200	94.6667
100	100	200	95
100	100	200	95.3333
100	100	200	95.6667
100	100	200	96
100	100	200	96.3333
100	100	200	96.6667
100	100	200	97
100	100	200	97.3333
100	100	200	97.6667
100	100	200	98
100	100	200	98.3333
100	100	200	98.6667
100	100	200	99
100	100	200	99.3333
100	100	200	99.6667
