S	I	R	t
300	100	0	0
290.114	103.221	6.66435	0.0333333
280.31	106.217	13.4724	0.0666667
270.692	108.948	20.3598	0.1
261.298	111.396	27.3064	0.133333
252.16	113.548	34.292	0.166667
243.309	115.395	41.2961	0.2
234.77	116.932	48.298	0.233333
226.564	118.159	55.2772	0.266667
218.708	119.079	62.2136	0.3
211.214	119.698	69.0877	0.333333
204.092	120.027	75.881	0.366667
197.347	120.077	82.5757	0.4
190.98	119.864	89.1555	0.433333
184.991	119.404	95.6053	0.466667
179.374	118.714	101.911	0.5
174.125	117.814	108.061	0.533333
169.235	116.721	114.044	0.566667
164.694	115.455	119.851	0.6
160.491	114.036	125.474	0.633333
156.615	112.48	130.905	0.666667
153.052	110.808	136.14	0.7
149.79	109.035	141.175	0.733333
146.816	107.178	146.006	0.766667
144.116	105.251	150.633	0.8
141.676	103.27	155.054	0.833333
139.484	101.247	159.269	0.866667
137.526	99.1944	163.28	0.9
135.79	97.1226	167.087	0.933333
134.264	95.0418	170.694	0.966667
132.935	92.9606	174.104	1
131.794	90.8869	177.319	1.03333
130.827	88.8278	180.345	1.06667
130.026	86.7893	183.184	1.1
129.381	84.7768	185.842	1.13333
128.881	82.7947	188.324	1.16667
128.519	80.847	190.634	1.2
128.285	78.937	192.778	1.23333
128.171	77.0674	194.762	1.26667
128.17	75.2404	196.589	1.3
128.275	73.4578	198.267	1.33333
128.479	71.7209	199.8	1.36667
128.775	70.0308	201.195	1.4
129.157	68.3881	202.455	1.43333
129.619	66.7933	203.587	1.46667
130.157	65.2464	204.597	1.5
130.765	63.7475	205.488	1.53333
131.437	62.2962	206.267	1.56667
132.17	60.8922	206.938	1.6
132.959	59.5349	207.506	1.63333
133.8	58.2236	207.976	1.66667
134.689	56.9577	208.353	1.7
135.622	55.7362	208.642	1.73333
136.597	54.5582	208.845	1.76667
137.608	53.4228	208.969	1.8
138.655	52.329	209.016	1.83333
139.732	51.2758	208.992	1.86667
140.839	50.262	208.899	1.9
141.971	49.2868	208.742	1.93333
143.128	48.3489	208.524	1.96667
144.305	47.4474	208.248	2
145.501	46.5811	207.918	2.03333
146.714	45.749	207.537	2.06667
147.941	44.9501	207.109	2.1
149.181	44.1834	206.635	2.13333
150.433	43.4478	206.12	2.16667
151.693	42.7424	205.565	2.2
152.961	42.0662	204.973	2.23333
154.234	41.4183	204.347	2.26667
155.512	40.7977	203.69	2.3
156.793	40.2037	203.003	2.33333
158.076	39.6352	202.289	2.36667
159.359	39.0916	201.549	2.4
160.641	38.5719	200.787	2.43333
161.921	38.0754	200.003	2.46667
163.198	37.6014	199.2	2.5
164.471	37.1491	198.38	2.53333
165.738	36.7178	197.544	2.56667
167	36.3068	196.694	2.6
168.254	35.9156	195.831	2.63333
169.5	35.5434	194.957	2.66667
170.737	35.1896	194.073	2.7
171.965	34.8537	193.181	2.73333
173.182	34.5351	192.282	2.76667
174.389	34.2333	191.378	2.8
175.584	33.9478	190.469	2.83333
176.766	33.678	189.556	2.86667
177.936	33.4234	188.641	2.9
179.091	33.1837	187.725	2.93333
180.233	32.9584	186.808	2.96667
181.361	32.747	185.892	3
182.473	32.5491	184.978	3.03333
183.57	32.3643	184.066	3.06667
184.65	32.1923	183.157	3.1
185.715	32.0327	182.253	3.13333
186.762	31.8851	181.353	3.16667
187.793	31.7493	180.458	3.2
188.806	31.6248	179.57	3.23333
189.801	31.5113	178.688	3.26667
190.778	31.4086	177.814	3.3
191.736	31.3164	176.947	3.33333
192.676	31.2343	176.09	3.36667
193.597	31.1621	175.241	3.4
194.499	31.0996	174.402	3.43333
195.381	31.0464	173.572	3.46667
196.244	31.0024	172.754	3.5
197.087	30.9672	171.946	3.53333
197.91	30.9407	171.149	3.56667
198.713	30.9226	170.364	3.6
199.496	30.9127	169.592	3.63333
200.258	30.9108	168.831	3.66667
201	30.9166	168.083	3.7
201.722	30.9301	167.348	3.73333
202.422	30.9508	166.627	3.76667
203.103	30.9788	165.919	3.8
203.762	31.0137	165.224	3.83333
204.401	31.0554	164.544	3.86667
205.019	31.1036	163.878	3.9
205.616	31.1583	163.226	3.93333
206.192	31.2192	162.589	3.96667
206.747	31.2861	161.967	4
207.282	31.3588	161.359	4.03333
207.796	31.4373	160.767	4.06667
208.29	31.5212	160.189	4.1
208.762	31.6105	159.627	4.13333
209.215	31.705	159.08	4.16667
209.646	31.8044	158.549	4.2
210.058	31.9086	158.033	4.23333
210.449	32.0175	157.533	4.26667
210.82	32.1308	157.049	4.3
211.172	32.2485	156.58	4.33333
211.503	32.3703	156.126	4.36667
211.815	32.496	155.689	4.4
212.107	32.6255	155.267	4.43333
212.381	32.7587	154.861	4.46667
212.635	32.8953	154.47	4.5
212.87	33.0351	154.095	4.53333
213.086	33.1781	153.736	4.56667
213.284	33.324	153.392	4.6
213.464	33.4727	153.063	4.63333
213.626	33.624	152.75	4.66667
213.77	33.7777	152.452	4.7
213.897	33.9336	152.169	4.73333
214.007	34.0916	151.902	4.76667
214.1	34.2516	151.649	4.8
214.176	34.4132	151.411	4.83333
214.236	34.5765	151.188	4.86667
214.28	34.7411	150.979	4.9
214.308	34.9069	150.785	4.93333
214.321	35.0738	150.605	4.96667
214.32	35.2416	150.439	5
214.303	35.4101	150.287	5.03333
214.273	35.5791	150.148	5.06667
214.228	35.7485	150.023	5.1
214.17	35.9181	149.912	5.13333
214.099	36.0877	149.813	5.16667
214.016	36.2572	149.727	5.2
213.919	36.4265	149.654	5.23333
213.811	36.5953	149.593	5.26667
213.692	36.7635	149.545	5.3
213.561	36.9309	149.508	5.33333
213.419	37.0974	149.483	5.36667
213.267	37.2629	149.47	5.4
213.105	37.4272	149.468	5.43333
212.934	37.5901	149.476	5.46667
212.753	37.7515	149.495	5.5
212.564	37.9113	149.525	5.53333
212.367	38.0693	149.564	5.56667
212.161	38.2254	149.613	5.6
211.948	38.3795	149.672	5.63333
211.729	38.5314	149.74	5.66667
211.502	38.6811	149.817	5.7
211.27	38.8284	149.902	5.73333
211.031	38.9732	149.996	5.76667
210.787	39.1154	150.097	5.8
210.539	39.2549	150.206	5.83333
210.285	39.3916	150.323	5.86667
210.028	39.5255	150.447	5.9
209.767	39.6563	150.577	5.93333
209.502	39.7842	150.714	5.96667
209.235	39.9089	150.857	6
208.964	40.0304	151.005	6.03333
208.692	40.1486	151.159	6.06667
208.418	40.2635	151.319	6.1
208.142	40.3751	151.483	6.13333
207.865	40.4833	151.652	6.16667
207.587	40.5879	151.825	6.2
207.309	40.6891	152.002	6.23333
207.03	40.7868	152.183	6.26667
206.752	40.8809	152.367	6.3
206.474	40.9714	152.554	6.33333
206.198	41.0583	152.744	6.36667
205.922	41.1416	152.937	6.4
205.647	41.2213	153.131	6.43333
205.375	41.2974	153.328	6.46667
205.104	41.3699	153.526	6.5
204.835	41.4388	153.726	6.53333
204.569	41.5041	153.927	6.56667
204.305	41.5658	154.129	6.6
204.045	41.624	154.331	6.63333
203.787	41.6786	154.534	6.66667
203.533	41.7298	154.737	6.7
203.282	41.7775	154.94	6.73333
203.035	41.8218	155.143	6.76667
